projectname,classification,commenttext
ArgoUML,DESIGN,/* TODO: MVW: Why is this not done in GEF? */
ArgoUML,DESIGN,// TODO: This is a temporary crutch to use until all Figs are updated // to use the constructor that accepts a DiagramSettings object
ArgoUML,DESIGN,// TODO: There is a cyclic dependency between SelectionRerouteEdge // and FigEdgeModelElement
ArgoUML,DESIGN,// TODO: We need to rethrow this as some other exception // type but that is too much change for the moment.
ArgoUML,DESIGN,// TODO: It's probably worthwhile to abstract and factor // this chooser and directory stuff. More file handling is // coming I'm sure.
ArgoUML,DESIGN,// TODO: complete this implementation - tfm
ArgoUML,DESIGN,// TODO: This will vary based on the type of the TagDefinition
ArgoUML,DESIGN,//setFontFamily("dialog"); /* TODO: Is this needed?*/
ArgoUML,DESIGN,"/**     * TODO: Move this into the toolbar project.     */"
ArgoUML,DESIGN,"/*     * TODO: This is a temporary method of making sure the model is updated     * on loss of focus of a combo box. In the long term we should attempt to     * update the model on each keypress.     *      * @see java.awt.event.FocusListener#focusLost(java.awt.event.FocusEvent)     */"
ArgoUML,DESIGN,// These methods are based on the GraphEvents. These need replacing by // more specic meaningful requests of the diagram interface model
ArgoUML,DESIGN,// TODO: All super constrcutors should take a GraphModel
ArgoUML,DESIGN,// workaround for missing ability to parse "*"
ArgoUML,DESIGN,// TODO: Needs to be tidied up after stable release. Graph model // should be created in constructor
ArgoUML,DESIGN,// this is wrongly called with a null handle // as a workaround we return an empty collection
ArgoUML,DESIGN,// TODO: not navigable this direction? - tfm
ArgoUML,DESIGN,// TODO: this doesn't look right - review - tfm
ArgoUML,DESIGN,"/**     * @return the statemachine     *     * TODO: If this method is called by any of the Figs it will introduce     * a dependency cycle.  It would be much better if they could just     * use {@link org.argouml.uml.diagram.ArgoDiagram#getOwner()} which does     * the same thing.     */"
ArgoUML,DESIGN,// TODO: Need to clean up objectToId // (can we do it based on modelelement delete // notifications?)
ArgoUML,DESIGN,"/**     * The constructor.     * TODO: Why does this method not handle all settings     * (KEY_DEFAULT_SHADOW_WIDTH is missing)?     */"
ArgoUML,DESIGN,// TODO: Performance critical method
ArgoUML,DESIGN,// TODO: Needs work. Must determine which Figs enclosed // in the pool are within the bounds of this Fig // and translate those.
ArgoUML,DESIGN,// TODO: Optimize for root model case? - tfm
ArgoUML,DESIGN,// TODO: Do we really need to do this? Carried over from old behavior
ArgoUML,DESIGN,// TODO ElementOwnership is not in ModelSubsys!!
ArgoUML,DESIGN,// TODO: This seems like a brute force workaround (and a very // indirect one at that).  It appears to be needed though until // we fix the problem properly. - tfm 20070904
ArgoUML,DESIGN,// TODO: Is this really needed?
ArgoUML,DESIGN,// TODO: UML 1.4 spec requires both client and supplier to be // in the same model - tfm
ArgoUML,DESIGN,// TODO: Unused?
ArgoUML,DESIGN,// These may not actually make any difference at present (the code // behind addTrigger needs more work).
ArgoUML,DESIGN,// TODO: temporary - let tree expand implicitly - tfm
ArgoUML,DESIGN,//TODO: split into an inherited attr critic and a local //attr critic
ArgoUML,DESIGN,// TODO: Should throw if the string is not good?
ArgoUML,DESIGN,// TODO Handle multiple top level packages
ArgoUML,DESIGN,"/**  * A wizard which adjust the threshold for critics. <p> *  * TODO: Make the treshold setting adjustable without using the wizard  * and make it persistent.  * Maybe by using the ""Configure"" button on the Browse Critics dialog. * * @see org.argouml.uml.cognitive.critics.AbstractCrTooMany * @author mkl * */"
