projectname,classification,commenttext
EMF,DESIGN,// TODO factor up into GenBaseImpl //
EMF,DESIGN,// EATM Call the deprecated method which does the same thing  // but might have an override in older code.
EMF,DESIGN,// Unused?
EMF,DESIGN,// TODO factor up into GenBaseImpl? //
EMF,DESIGN,// call workaround
EMF,DESIGN,// TODO deprecate (since getPluginClass() is no longer called) //
EMF,DESIGN,// Ensure that this race condition is thread safe; it doesn't matter who wins the race. //
EMF,DESIGN,// TODO // This assumes we only get a SET notification which isn't a good assumption. //
EMF,DESIGN,//DMS handle this well.
EMF,DESIGN,//FB TBD can we come up with a better algorithm for choosing the default label feature?
EMF,DESIGN,//DMS should we let this exception out?
EMF,DESIGN,//DMS What if Eclipse is running but an invalid facade has been specified?  We still should format code use encoding...
EMF,DESIGN,//DMS  Do a better job with specific exceptions? Just use chained RuntimeExceptions?
EMF,DESIGN,// If the delegate URI can be handled as a file  // we'll hope that renaming it will be really efficient. //
EMF,DESIGN,//DMS Why not this? //new SubProgressMonitor(progressMonitor 1));
EMF,DESIGN,// Assume that it's an attribute for now. // It will/could become a reference if the type resolves to an EClass. //
EMF,DESIGN,// Do nothing for now and avoid propagating the exception.   // How should builders handle cancel?
EMF,DESIGN,// this is a fall-back however this should never be called
EMF,DESIGN,// TODO fix the space above
EMF,DESIGN,// TODO REMOVE THIS BOGUS EMPTY LINE
EMF,DESIGN,// TODO handle class cast exception better.
EMF,DESIGN,// I don't know if we should be run this deferred  // because we might have to give the editor a chance to process the viewer update events  // and hence to update the views first. //  //
EMF,DESIGN,// This is a big festering hack to make the images the right size from the start. //
EMF,DESIGN,// EATM Demand create metadata; needs to depend on processing mode...
EMF,DESIGN,// TODO This is really quite attrocious since there is code that will assume an iterator that returns strings!
EMF,DESIGN,//TBD return (user selected subset?) of referenced packages that contain super classes of classes in this package.
EMF,DESIGN,// call the workaround
EMF,DESIGN,// //TBD rethink where exactly some of the following methods belong (GenModel or GenPackage) //
EMF,DESIGN,// if there are multiple variables in declaration  // separate this variable fragment into a separate declaration
EMF,DESIGN,// EATM this would be wrong.
EMF,DESIGN,// REVISIT: Remove this code.
EMF,DESIGN,// The label is not used. //
EMF,DESIGN,// Motif kludge: we would get something random instead of null. //
EMF,DESIGN,// TODO So what should be the eType be now? //
EMF,DESIGN,// This runs the operation and shows progress. // (It appears to be a bad thing to fork this onto another thread.) //
EMF,DESIGN,// EATM Kind of hacky.
EMF,DESIGN,// This is a kludge to deal with enumerators which crash the doSwitch. //
EMF,DESIGN,// This is copied from ItemProviderAdapterFactory. //
EMF,DESIGN,// EATM This might be better written as a single loop for the EObject case? //
EMF,DESIGN,// Second alternative should be getModelProject()?
EMF,DESIGN,// TODO Hack that should be removed.
EMF,DESIGN,// TODO // Specialize this to return a resource locator for messages specific to this validator. // Ensure that you remove @generated or mark it @generated NOT
EMF,DESIGN,// TODO // I'm concerned that folders will often return 401 or even 403. // So should we consider something to exist even though access if unauthorized or forbidden? //
EMF,DESIGN,// Only file-scheme URIs will be re-encoded. If a URI was decoded in the workaround // above and Platform.resolve() didn't return a file-scheme URI then this will return // an decoded URI. //
EMF,DESIGN,// This functionality should eventually go away as it is replaced by model exporters. // We'll just delegate to the deprecated GenPackage method. The monitor isn't used so we won't pass it. //
EMF,DESIGN,// The eAnnotations and eGenericType are possible containment references.  // We'll move them instead of copying //
EMF,DESIGN,// Note: Registry based authority is being removed from a // new spec for URI which would obsolete RFC 2396. If the // spec is added to XML errata processing of reg_name // needs to be removed. - mrglavas.
EMF,DESIGN,// temporary structure to hold node's attributes + namespaces in scope
EMF,DESIGN,// HACK: reading encoding
EMF,DESIGN,// Because of the old factoring approach in the create method  // it might be the case that the state of the old value has changed by the time we get here // and in that case we don't want to duplicate the removals in this code. //
EMF,DESIGN,// REVISIT: Remove this code. // Store port value as string instead of integer.
EMF,DESIGN,// TODO // This is faster than many charAt() calls. //
EMF,DESIGN,//REVISIT: do we really need to support block names as in Unicode 3.1 //         or we can just create all the names in IsBLOCKNAME format (XML Schema REC)? //
EMF,DESIGN,// Bubble sort // Why? -- In many cases //         this.ranges has few elements.
EMF,DESIGN,// Per Schema 1.0 it is not clear if the result returned should be a valid URI.  // For the future if we plant to support IRIs then it is better not to massage // the initialValue.  // We should thought consider where would be the best way to validate anyURI values -- EL
