projectname,classification,commenttext
Gradle,SATD,//  TODO this should not be using the default charset because it's not an input and might introduce flakiness 
Gradle,SATD,//  TODO Make this work with pending elements
Gradle,SATD,/*  * The DSL for declaring plugins to inject into an included build. * * TODO: Plugins need to be located in this build's buildSrc. * * @since 4.6  */
Gradle,SATD,//  TODO some kind of context of why the method was attached (e.g. which plugin declared the rule)   TODO some kind of instance state for the method (might be the same as context above) 
Gradle,SATD,//  TODO: Need to track version/implementation of symbol strip tool. 
Gradle,SATD,// TODO move to base-services once the ProgressLogger dependency is removed
Gradle,SATD,//  Return a dummy implementation of this as creating a real hasher drags ~20 more services   along with it and a hasher isn't actually needed on the worker process side at the moment. 
Gradle,SATD,//  there's a risk for some methods that the hash is always   recomputed but it won't be worse than before 
Gradle,SATD,//  This isn't quite right. Should close the worker classpath cache once we're finished with the worker processes. This may be before the end of this build   or they may be used across multiple builds 
Gradle,SATD,//  TODO Need a better mechanism to wire tasks into lifecycle 
Gradle,SATD,//  TODO:Cedric This is not quite right. We assume that if we are asking for a specific binary then we resolve to the assembly instead   of the jar but it should be somehow parameterized 
Gradle,SATD,//  Ensure that at most one action that may have access to the mutable state of the build runs at a given time   TODO - move this to a better home and reuse 
Gradle,SATD,//  TODO(ew): inject BuildOperationIdentifierRegistry instead of static use
Gradle,SATD,//  TODO:HH Use managed views for this only applied when the respective language is applied
Gradle,SATD,//  TODO: There has to be a simpler way to do this.   We want to create a buildable filecollection based on a filtered view of selected source directory sets 
Gradle,SATD,//  Passing null for sha1 - TODO - consider using the etag which is an MD5 hash of the file (when less than 5Gb) 
Gradle,SATD,//  TODO:ADAM - need to do this earlier 
Gradle,SATD,//  TODO - exception when no default type 
Gradle,SATD,//  Don't force evaluation of rules here let the task container do what it needs to
Gradle,SATD,//  result is a scala.util.Either   right is a Seq of files that were generated   left is routes compilation errors   TODO: It might be nice to pass along these errors in some way 
Gradle,SATD,//  TODO deleteOnExit won't clean up non-empty directories (and it leaks memory for long-running processes). 
Gradle,SATD,/*  * Meta-info about a Java component. * * TODO - this is some legacy stuff to be merged into other component interfaces  */
Gradle,SATD,//  TODO: Need to track version/implementation of symbol extraction tool. 
Gradle,SATD,//  TODO: This should be modeled differently perhaps as a dependency on the implementation configuration 
Gradle,SATD,//  This is not super nice but dependencies are created through reflection for decoration   and assume a constructor with 3 arguments (Group Name Version) which is suitable for   most cases. We could create an empty attribute set directly in the AbstractDependencyImpl   but then it wouldn't be mutable. Therefore we proceed with "late injection" of the attributes 
Gradle,SATD,//  TODO(ew): Consider whether this belongs in Console or here
Gradle,SATD,//  TODO - should split this up so that the inputs are attached to an object that represents the binary which is then later used to configure the link/assemble tasks 
Gradle,SATD,//  we need to wrap this into a loop because there's always a risk   that the method which is weakly referenced has been collected   in between the creation time and now 
Gradle,SATD,//  TODO(daniel): Should support in a better way multi file invocation. 
Gradle,SATD,//  It's true right now that this is always coming from the TestKit but might not be in the future.
Gradle,SATD,//  TODO - don't select again here as the selection is already performed to select the toolchain 
Gradle,SATD,//  TODO include link to documentation giving more explanation of what's going on here. 
Gradle,SATD,//  TODO: Migrate this away from here 
Gradle,SATD,//  This looks ugly very ugly but that is apparently what Ant does itself 
Gradle,SATD,//  TODO - should be incremental 
Gradle,SATD,//  TODO: this is terrible 
Gradle,SATD,//  TODO: This should actually be a Routable message with a single handler   but we need some way to correlate a given request with a specific response channel 
Gradle,SATD,//  TODO - this is pretty nasty look at avoiding using a time bomb stub here 
Gradle,SATD,// TODO:rbo Change the parameter type to `Transformer<String @Nullable String>` once we migrate to Java 8
Gradle,SATD,// TODO - make this work on windows  originalIn.close();
Gradle,SATD,//  TODO better exception type 
Gradle,SATD,//  Note: This would be better housed in a scope that encapsulated the tree of Gradle objects. 
Gradle,SATD,/*  * A {@link org.gradle.api.file.ConfigurableFileCollection} that can be used as a task input property. Caches the matching set of files during task execution and discards the result after task execution. * * TODO - disallow further changes to this collection once task has started * TODO - keep the file entries to snapshot later to avoid a stat on each file during snapshot  */
Gradle,SATD,//  TODO This class DefaultBuildOperationQueue and ExecutionPlan have many of the same   behavior and concerns - we should look for a way to generalize this pattern. 
Gradle,SATD,// TODO:instant-execution: remove this 
Gradle,SATD,//  Can only set once: should really be part of the constructor   Can only set once: should really be part of the constructor
Gradle,SATD,//  This isn't quite right as we may lose precision when converting to a double 
Gradle,SATD,//  decimalFormat is not thread safe - synchronize access to the instance 
Gradle,SATD,//  TODO - wire this stuff in properly 
Gradle,SATD,//  TODO:ADAM - need to cleanup completion too if not used 
Gradle,SATD,//  TODO: Need to check for proper type/cast 
Gradle,SATD,//  TODO - should use a resolver so that this method is consistent with Project.uri(string) 
Gradle,SATD,//  TODO wolfs - schedule fingerprinting separately it can be done without having the project lock 
Gradle,SATD,//  Note: don't actually remove this in 6.0 the deprecation is here to encourage people to use ObjectFactory instead. Just remove the overload and the nag and leave the method here
Gradle,SATD,//  todo: consider multithreading/multiprocess issues   Teamcity has the concept of a "wave" of messages   where each thread/process uses a unique wave id 
Gradle,SATD,//  TODO - reduce duplication with Swift binary 
Gradle,SATD,// TODO: move bootclasspath to platform 
Gradle,SATD,//  TODO: This should be modeled as a source set 
Gradle,SATD,//  TODO - the project model should be reachable from ProjectState without another lookup 
Gradle,SATD,//  TODO: Locate this tool from a tool provider   hide main symbol 
Gradle,SATD,//  TODO: This prefix shouldn't be hardcoded 
