projectname,classification,commenttext
Groovy,SATD,//  todo: inner class nodes don't have an objectInitializers field available 
Groovy,SATD,/*          * TODO: Remove after JDK9 is the minimum JDK supported         *         * JDK9+ correctly accounts for the synthetic parameter and when it becomes         * the minimum version this method should no longer be required.          */
Groovy,SATD,//         currently char isn't found due to a bug so go with Object 
Groovy,SATD,//  TODO check specified type is assignable from declared param type?   ClassNode type = getMemberClassValue(namedParam "type"); 
Groovy,SATD,/*  todo these special cases should be special MetaClasses maybe  */
Groovy,SATD,//  @todo - refactor pulling generic parser interface up 
Groovy,SATD,//  hack to reformat other groovydoc block tags (@see @return @param @throws @author @since) into html 
Groovy,SATD,/*  To swap two children of node t...     *     *<pre>     *   (t)     *    |     *    |     *   (a) -- (b)     *     * t.down = firstNode     * a.right = b     * b.right = null     *</pre>     * becomes     *<pre>     *   (t)     *    |     *    |     *   (b) -- (a)     *     * t.down = b     * a.right = null     * b.right = a     *</pre>     *     * todo - build API of basic tree mutations like this method.      */
Groovy,SATD,// TODO: in case of the array we could maybe make a partial check 
Groovy,SATD,//  TODO: maybe define a Throwable and use it here instead of Object 
Groovy,SATD,// TODO: change that to get the correct scope 
Groovy,SATD,/*  * @todo multi threaded compiling of the same class but with different roots * for compilation... T1 compiles A which uses B T2 compiles B... mark A and B * as parsed and then synchronize compilation. Problems: How to synchronize? * How to get error messages? *  */
Groovy,SATD,// workaround for Groovy-835 
Groovy,SATD,// There HAS to be a better way to do this! 
Groovy,SATD,//  Groovy allows more characters than Character.isValidJavaIdentifier() would allow   if we find a good way to encode special chars we could remove (some of) these checks 
Groovy,SATD,//  TODO: this might not do enough or too much   But it is a good start without spreading logic everywhere 
Groovy,SATD,//  hack warning! fragile! TODO find a better way 
Groovy,SATD,/*      * TODO: Should return the URI for this source but we can't know what it is here.     *     * @return null      */
Groovy,SATD,//  TODO includes? excludes? 
Groovy,SATD,//  cast with explicit weaker generics for now to keep jdk6 happy TODO: find better fix 
Groovy,SATD,// TODO: report multiple missing labels of the same name only once? 
Groovy,SATD,//  GROOVY-6337 HACK: in case newly created field is @Lazy 
Groovy,SATD,//  ignore   TODO should use a low priority logger 
Groovy,SATD,//  TODO the buffer is not read up to the end but up to length - 6 
Groovy,SATD,//  FIXME no implementation?          SoftDoubleKeyMap.Entry val = (SoftDoubleKeyMap.Entry) assignableMap.getOrPut(klazz aClass null); 
Groovy,SATD,//  todo: this might not work correctly for absolute paths 
Groovy,SATD,// TODO: don't ignore inner static classes completely 
Groovy,SATD,//  TODO store this on root node? reset bodyText? 
Groovy,SATD,//  TODO use PackageNode instead here? 
Groovy,SATD,//  TODO: move somewhere else GROOVY-1874 
Groovy,SATD,//  TODO consider moving initcode to <clinit> and remaking field final 
Groovy,SATD,// TODO: inner classes mean a different this-type. This is ignored here! 
Groovy,SATD,//  this is only correct in this context here normally   we would have to compile against compareTo if available   but since we don't compile here this one is enough 
Groovy,SATD,//    FIXME: Use List<String> here current version is not safe   
Groovy,SATD,//  temporary hack 
Groovy,SATD,//  todo windows?? 
Groovy,SATD,//    HACK: For now force all classes to compile so we pick up stub changes 
Groovy,SATD,//  TODO instead of catching Object<T> here stop it from being placed into type in first place 
Groovy,SATD,//  TODO should we check package node doesn't already exist? conflict? 
Groovy,SATD,//  TODO: For GROOVY-2599 do we need something like below but it breaks other things              return (String) invokeMethod(arguments "toString" EMPTY_ARGS); 
Groovy,SATD,//  TODO make EmptyExpression work   partially works but not if only thing in script   return EmptyExpression.INSTANCE; 
Groovy,SATD,//  todo - possibly check for line/col with values of 0 or less... 
Groovy,SATD,// TODO: this method should really return some kind of meta ClassNode   representing the combination of all bounds. The code here just picks   something out to be able to proceed and is not actually correct 
Groovy,SATD,/*      * NOTE: as per the class javadoc this class doesn't obey the normal equals/hashCode contract.     * The following field and method could assist some scenarios which required a similar sort of contract     * (but between equals and the custom canonicalHashCode). Currently commented out since we haven't     * found a real need. We will likely remove this commented out code if no usage is identified soon.      */
Groovy,SATD,/*      * Represents GenericsType name     * TODO In order to distinguish GenericsType with same name(See GROOVY-8409) we should add a property to keep the declaring class.     *     * fixing GROOVY-8409 steps:     * 1) change the signature of constructor GenericsTypeName to `GenericsTypeName(String name ClassNode declaringClass)`     * 2) try to fix all compilation errors(if `GenericsType` has declaringClass property the step would be a bit easy to fix...)     * 3) run all tests to see whether the change breaks anything     * 4) if all tests pass congratulations! but if some tests are broken try to debug and find why...     *     * We should find a way to set declaring class for `GenericsType` first it can be completed at the resolving phase.      */
Groovy,SATD,// todo we should flag this when the path is created that this is a field not a prop...   try direct method... 
Groovy,SATD,// TODO: maybe implement the case localDistance==distance 
Groovy,SATD,//  major hack here...! 
Groovy,SATD,//  getTarget(var) can be null in buggy xform code e.g. Spock <= 1.1   TODO consider removing fixVar once Spock 1.2 is released - replace with informational exception? 
Groovy,SATD,//  TODO: enforce stricter behavior?   given Map.Entry is an interface we get a proxy which gives us lots   of flexibility but sometimes the error messages might be unexpected 
Groovy,SATD,// TODO: maybe do something here? 
Groovy,SATD,// TODO: more cases here 
Groovy,SATD,//  TODO refactor to retain richer type information rather than converting to String 
Groovy,SATD,//  FIXME: all labeled arguments should follow any unlabeled arguments 
Groovy,SATD,// @todo - is this useful? 
Groovy,SATD,//  @todo refactor this path 
Groovy,SATD,//    FIXME: For now just save the first error should really roll a new message with all of the details   
Groovy,SATD,//  should we use a finer grained lock than this? 
Groovy,SATD,//  it's better to cache class instances by the source code   GCL will load the unique class instance for the same source code   and avoid occupying Permanent Area/Metaspace repeatedly 
Groovy,SATD,//  is method object correct type? 
Groovy,SATD,//  A little bit of paranoid checking here? Most drivers will throw BatchUpdateException perhaps? 
Groovy,SATD,// TODO After 1.1 we should introspect the meta property and set editable to false if the property is read only 
Groovy,SATD,// TODO: replace with normal String p not needed 
Groovy,SATD,//  @todo should try with just a node as the child 
Groovy,SATD,//  hack warning!   TODO handle  and ) when they occur within Strings 
