projectname,classification,commenttext
Hive,SATD,//  FIXME: probably this should also be integrated with isSame() logics 
Hive,SATD,//  Wait for t1 to block just be sure. Not ideal... 
Hive,SATD,// HIVE-17328: not sure this is correct... I don't think is gets wrapped in UDFToInteger.... 
Hive,SATD,//  We expect this to never happen in practice. Can pool paths even have angled braces? 
Hive,SATD,//  TODO: This does not work correctly. None of the partitions is created but the folder   for the first two is created. It is because in HiveMetaStore.add_partitions_core when   going through the partitions the first two are already put and started in the thread   pool when the exception occurs in the third one. When the exception occurs we go to   the finally part but the map can be empty (it depends on the progress of the other   threads) so the folders won't be deleted.      Assert.assertFalse(metaStore.isPathExists(new Path(tableLocation + "/year=2016"))); 
Hive,SATD,//  TODO: remove this after stashing only rqd pieces from opconverter 
Hive,SATD,//  TODO: should we try to make a giant array for one cache call to avoid overhead? 
Hive,SATD,//  Forward the row to reducer as is.   Discard the row.   Vectorized - may forward the row not sure yet. 
Hive,SATD,//  7. Handle any move session requests. The way move session works right now is   a) sessions get moved to destination pool if there is capacity in destination pool   b) if there is no capacity in destination pool the session gets killed (since we cannot pause a query)   TODO: in future this the process of killing can be delayed until the point where a session is actually required.   We could consider delaying the move (when destination capacity is full) until there is claim in src pool.   May be change command to support ... DELAYED MOVE TO etl ... which will run under src cluster fraction as long 
Hive,SATD,//  Not thread-safe. 
Hive,SATD,// it would be better if AlreadyExistsException had an errorCode field.... 
Hive,SATD,//  TODO: this can probably be replaced with much less code via dynamic dispatch and/or templates. 
Hive,SATD,//  TODO Handle this properly 
Hive,SATD,//  TODO: Do we need maxLength checking? 
Hive,SATD,//  TODO: prewarm and update can probably be merged. 
Hive,SATD,//  @deprecated in favour of {@link HCatTable.#getTblProps()}. To be removed in Hive 0.16. 
Hive,SATD,//  TODO: disabling this test as tez publishes counters only after task completion which will cause write side counters   to be not validated correctly (DAG will be completed before validation)    @Test(timeout = 60000) 
Hive,SATD,//  TODO: might want to increase the default batch size. 1024 is viable; MS gets OOM if too high. 
Hive,SATD,//  TODO: remove when averageTypeValueSize method RelMdSize 
Hive,SATD,//  We store all caches in variables to change the main one based on config.   This is not thread safe between different split generations (and wasn't anyway). 
Hive,SATD,//  $x/$user/appcache/$appId/${dagId}/output/$mapId   TODO: Once Shuffle is out of NM this can use MR APIs to convert   between App and Job 
Hive,SATD,// todo: does this need the finalDestination? 
Hive,SATD,//  todo: add LIMIT 1 instead of count - should be more efficient 
Hive,SATD,/*      * TODO: client.executeStatement do not support listing resources command     * (beeline> list jar)      */
Hive,SATD,//  Note: scheduler will call this based on lack of sources at schedule time and set this         to true... there's no easy way to work around this. Need better classes 
Hive,SATD,//  TODO: will this also fix windowing? try 
Hive,SATD,//  but let's make it a little bit more explicit. 
Hive,SATD,//  TODO: This should inherit from VolcanoCost and should just override isLE   method. 
Hive,SATD,//  TODO: 1) check for duplicates 2) We assume in clause values to be   present in NDV which may not be correct (Range check can find it) 3) We   assume values in NDV set is uniformly distributed over col values   (account for skewness - histogram). 
Hive,SATD,//  TODO: if we didn't care about the column order we could switch join sides here 
Hive,SATD,//  TODO: we could remember if it's unsupported and stop sending calls; although it might         be a bad idea for HS2+standalone metastore that could be updated with support.         Maybe we should just remember this for some time. 
Hive,SATD,//  @deprecated in favour of {@link HCatTable.#location(String)}. To be removed in Hive 0.16. 
Hive,SATD,//  TODO: why is this like that? 
Hive,SATD,/*  TODO Escape handling may be changed by a follow on.     * The largest issue is ; which are treated as statement     * terminators for the cli. Once the cli is fixed this     * code should be re-investigated      */
Hive,SATD,//  Delete data?   Fail if table doesn't exist?   Need results back? 
Hive,SATD,//  TODO: This does not work correctly. None of the partitions is created but the folder   for the first two is created. It is because in HiveMetaStore.add_partitions_core when   going through the partitions the first two are already put and started in the thread   pool when the exception occurs in the third one.   When the exception occurs we go to the finally part but the map can be empty   (it depends on the progress of the other threads) so the folders won't be deleted.   Assert.assertTrue(metaStore.isPathExists(new Path(partition1.getSd().getLocation())));   Assert.assertTrue(metaStore.isPathExists(new Path(partition2.getSd().getLocation())));   Assert.assertTrue(metaStore.isPathExists(new Path(partition3.getSd().getLocation()))); 
Hive,SATD,//  Note: we assume that this isn't an already malformed query;         we don't check for that here - it will fail later anyway. 
Hive,SATD,//  TODO - not clear if we should cache these or not.  For now don't bother 
Hive,SATD,//  TODO: this needs to be removed; see TestReplicationScenarios* comments. 
Hive,SATD,// BUG: This will not work in remote mode - HIVE-5153 
Hive,SATD,//  TODO Change this method to make the output easier to parse (parse programmatically) 
Hive,SATD,//  TODO: remove? 
Hive,SATD,//  Wouldn't it make more sense to return the first element of the list returned by the   previous call? 
Hive,SATD,//  a better logic would be to find the alias 
Hive,SATD,//  we need to enforce the size here even the types are the same 
Hive,SATD,//  This method may not be safe as it can throw an NPE if a key or value is null. 
Hive,SATD,//  TODO: this is an ugly hack because Tez plugin isolation does not make sense for LLAP plugins.         We are going to register a thread-local here for now so that the scheduler initializing         in the same thread after the communicator will pick up. Or the other way around. 
Hive,SATD,//  TODO MS-SPLIT uncomment once we move EventMessage over 
Hive,SATD,//  Follow hive's rules for type inference as oppose to Calcite's   for return type.  TODO: Perhaps we should do this for all functions not just +- 
Hive,SATD,//  TODO: [HIVE-6289] while getting stats from metastore we currently only get one col at         a time; this could be improved - get all necessary columns in advance then use local.   TODO: [HIVE-6292] aggregations could be done directly in metastore. Hive over MySQL! 
Hive,SATD,//  TODO: see planIndexReading; this is not needed here. 
Hive,SATD,//  TODO: why is it stored in both table and dpCtx? 
Hive,SATD,//  TODO: Use threadpool for more concurrency?   TODO: check/set all files or only directories  
Hive,SATD,//  TODO HIVE-15865 Handle additional reasons like OS launch failed 
Hive,SATD,//  TODO: 1) handle Agg Func Name translation 2) is it correct to add func 
Hive,SATD,//  TODO: Both of these are TException why do we need these separate clauses? 
Hive,SATD,//  TODO: if two HS2s start at exactly the same time which could happen during a coordinated         restart they could start generating the same IDs. Should we store the startTime 
