projectname,classification,commenttext
JEdit,DESIGN,"/*			Implement String += value;			According to the JLS value may be anything.			In BeanShell we'll disallow VOID (undefined) values.			(or should we map them to the empty string?)		*/"
JEdit,DESIGN,/* this should be before dockables are initialized */
JEdit,DESIGN,// is this right?
JEdit,DESIGN,// should we do this for both cases above?
JEdit,DESIGN,// need to loosen this to any throwable... do we need to handle // that in interpreter somewhere?  check first...
JEdit,DESIGN,// fucking GTK look and feel
JEdit,DESIGN,"/*		Note: this implementation is temporary. We currently keep a flat		namespace of the base name of classes.  i.e. BeanShell cannot be in the		process of defining two classes in different packages with the same		base name.  To remove this limitation requires that we work through		namespace imports in an analogous (or using the same path) as regular		class import resolution.  This workaround should handle most cases 		so we'll try it for now.	*/"
JEdit,DESIGN,// copy and paste from bsh/classpath/ClassManagerImpl.java...
JEdit,DESIGN,// I wish I could make this "friendly" to only NameSpace
JEdit,DESIGN,// undocumented hack to allow browser actions to work. // XXX - clean up in 4.3
JEdit,DESIGN,// Look for a default invoke() handler method in the namespace // Note: this code duplicates that in NameSpace getCommand() // is that ok?
JEdit,DESIGN,// This should be per instance
JEdit,DESIGN,// Can we use the proxy mechanism to cast a bsh.This to  // the correct interface?
JEdit,DESIGN,// redundant with constructor
JEdit,DESIGN,"/*		Issues to resolve here...		1) In which classloader should we define the class?		if there is a BshClassLoader should we define it there?		2) should we use reflection to set it in a non-bsh classloader		if there is one or should we always create a bsh classloader		(and expose its defineClass)?	*/"
JEdit,DESIGN,// could refactor these a bit
JEdit,DESIGN,"/*	Note: This class essentially just delegates most of its methods to its	parent.  The setVariable() indirection is very small.  We could probably	fold this functionality back into the base NameSpace as a special case.	But this has changed a few times so I'd like to leave this abstraction for	now.*/"
JEdit,DESIGN,// simplified these settings a little...
JEdit,DESIGN,"/*		Should check for strict java here and use isJavaAssignable() instead	*/"
JEdit,DESIGN,// workaround for Swing rendering labels starting // with <html> using the HTML engine
JEdit,DESIGN,// Look for a default invoke() handler method in the namespace // Note: this code duplicates that in This.java... should it? // Call on 'This' can never be a command
JEdit,DESIGN,// this method is a nightmare
JEdit,DESIGN,// ConsoleInterface // The interpreter reflexively implements the console interface that it  // uses.  Should clean this up by using an inner class to implement the // console for us.
JEdit,DESIGN,// Case-insensitive fs workaround
JEdit,DESIGN,"/*			Wrap nulls.			This is a bit of a cludge to address a deficiency in the class			generator whereby it does not wrap nulls on method delegate.  See			Class Generator.java.  If we fix that then we can remove this.			(just have to generate the code there.)		*/"
JEdit,DESIGN,// switch eats a multi-level break here? // not empty statement
JEdit,DESIGN,// Check for field on object  // Note: could eliminate throwing the exception somehow
JEdit,DESIGN,// XXXX re-evaluate this // can getSuper work by itself now? // If we're a class instance and the parent is also a class instance // then super means our parent.
JEdit,DESIGN,"/*		I wish protected access were limited to children and not also 		package scope... I want this to be a singleton implemented by various		children.  	*/"
JEdit,DESIGN,// Imported full name wasn't found as an absolute class // If it is compound try to resolve to an inner class.   // (maybe this should happen in the BshClassManager?)
JEdit,DESIGN,"/*	Can't this be combined with run() ?	run seems to have stuff in it for interactive vs. non-interactive...	compare them side by side and see what they do differently aside from the	exception handling.	*/"
JEdit,DESIGN,// Null value is just a declaration // Note: we might want to keep any existing value here instead of reset
JEdit,DESIGN,// Can this be factored out...?   // Should be be adding the L...; here instead?
JEdit,DESIGN,"/* 							Catch the mismatch and continue to try the next							Note: this is innefficient should have an 							isAssignableFrom() that doesn't throw 						*/"
JEdit,DESIGN,// should use try/finally here to pop ns
JEdit,DESIGN,"/*			Note: this could be made clearer by adding an inner class for the			cases and an object context for the child traversal.		*/"
JEdit,DESIGN,// hack... sticking to first interpreter that resolves this // see comments on type instance variable
JEdit,DESIGN,// Note: incorrect here - we are using the hack in bsh class // manager that allows lookup by base name.  We need to eliminate // this limitation by working through imports.  See notes in class // manager.
JEdit,DESIGN,"/* 		This is the namespace in which the method is set.		It is a back-reference for the node which needs to execute under this 		namespace.  It is not necessary to declare this transient because 		we can only be saved as part of our namespace anyway... (currently).	*/"
JEdit,DESIGN,// Replace this is Cocoa API calls later
JEdit,DESIGN,// Scripting classes currently requires accessibility // This can be eliminated with a bit more work.
JEdit,DESIGN,// This could be static
JEdit,DESIGN,"/*	Thanks to Slava Pestov (of jEdit fame) for import caching enhancements.	Note: This class has gotten too big.  It should be broken down a bit.*/"
JEdit,DESIGN,"/**    * Register an attribute declaration for later retrieval.    * Format:    * - String type    * - String default value    * - int value type    * *TODO: do something with attribute types.    */"
JEdit,DESIGN,"/*				TODO:					to get cast and boxing working e.g.					e.g. Byte [] ia = { 1 2 }					If the baseType is a wrapper type then we need to get the 					primitive TYPE class for the base type here in order for 					the cast to allow it... Then boxing will happen naturally in					the Array.set().					e.g. Integer [] ia = { 1 2 }				*/"
JEdit,DESIGN,"/*		Note: We will ll move this behavior out to a subclass of 		NameSpace but we'll start here.	*/"
JEdit,DESIGN,// This is a particularly nasty bit // of code that checks for a parameter // entity reference but peeks ahead to // catch the '%' in parameter entity // declarations.
JEdit,DESIGN,// Should cache this subject to classloader change message // Evaluation of the formal parameter simply resolves its // type via the specified namespace.. it doesn't modify the // namespace.
JEdit,DESIGN,"/*	Notes:	It would not be hard to eliminate the use of org.objectweb.asm.Type from	this class making the distribution a tiny bit smaller.*/"
JEdit,DESIGN,// stupid: caret will automatically be incremented
JEdit,DESIGN,/* Spacing workaround */
JEdit,DESIGN,// I don't know of any other way to fix this since invoking this // command from a menu results in the focus owner being the menu // until the menu goes away.
