projectname,classification,commenttext
JFreeChart,DESIGN,// this may be negative
JFreeChart,DESIGN,// TODO: to be implemented
JFreeChart,DESIGN,// TODO:  the subplot areas needs to be moved out of the plot into the plot //        state
JFreeChart,DESIGN,//TODO: shift block down to bottom
JFreeChart,DESIGN,// TODO: it might be a good idea to keep a reference to the color // specified in setPaint() or setColor() rather than creating a // new object every time getPaint() is called.
JFreeChart,DESIGN,// TODO: for now we are ignoring the height constraint
JFreeChart,DESIGN,// first determine the size of the chart rendering area... // TODO workout insets for SWT
JFreeChart,DESIGN,// TODO: implement properly
JFreeChart,DESIGN,// TODO: this must be wrong...
JFreeChart,DESIGN,// TODO: we didn't check the width yet
JFreeChart,DESIGN,// hack to ensure the newly created awt fonts will be rendered with the // same height as the swt one
JFreeChart,DESIGN,//TODO: shift block right by half
JFreeChart,DESIGN,// FIXME: need a locale as well as a timezone
JFreeChart,DESIGN,//TODO: shift block over to right
JFreeChart,DESIGN,// do we need to update the crosshair values?
JFreeChart,DESIGN,// TODO find a better localization key
JFreeChart,DESIGN,// TODO:  this attribute should be transferred to the renderer state.
JFreeChart,DESIGN,// FIXME: implement this low priority
JFreeChart,DESIGN,// FIXME: the XYItemRenderer interface doesn't specify the // getAnnotations() method but it should
JFreeChart,DESIGN,// defer argument checking...
JFreeChart,DESIGN,// calculate the adjusted data area taking into account the 3D effect... // this assumes that there is a 3D renderer all this 3D effect is a // bit of an ugly hack...
JFreeChart,DESIGN,// TODO:  add constructors for combinations of number and date formatters.
JFreeChart,DESIGN,// TODO: move to plot state
JFreeChart,DESIGN,// here we tweak the notify flag on the plot so that only // one notification happens even though we update multiple // axes...
JFreeChart,DESIGN,// defer argument checking
JFreeChart,DESIGN,//FIXME we should really assert a value here
JFreeChart,DESIGN,// TO DO:  these annotations only work with XYPlot see if it is possible to // make ContourPlot a subclass of XYPlot (DG);
JFreeChart,DESIGN,//FIXME we should really assert a value
JFreeChart,DESIGN,// not strictly necessary since the // renderer set for the // parent plot is not used
JFreeChart,DESIGN,// TODO : complete this
JFreeChart,DESIGN,// TODO: fix output when this flag is set to true
JFreeChart,DESIGN,// TODO:  move the above to the plot state
JFreeChart,DESIGN,// FIXME:  this code means that it is not possible to use more than // one domain axis for the combined plots...
JFreeChart,DESIGN,// end of workaround
JFreeChart,DESIGN,// TODO: could change this to itemFillPaint().  For backwards // compatibility it might require a useFillPaint flag.
JFreeChart,DESIGN,// a redraw should NOT trigger another change event
JFreeChart,DESIGN,// unused in parent
JFreeChart,DESIGN,// TODO: In JFreeChart 1.2.0 put this method in the // CategoryItemRenderer interface
JFreeChart,DESIGN,// TODO: rotate the image when drawn with horizontal orientation?
JFreeChart,DESIGN,// TODO: implement this properly
JFreeChart,DESIGN,// FIXME: this should generate a series change event
JFreeChart,DESIGN,// CREATE ENTITIES // FIXME:  these methods should be defined
JFreeChart,DESIGN,// FIXME: the renderer interface doesn't have the drawDomainLine() // method so we have to rely on the renderer being a subclass of // AbstractXYItemRenderer (which is lame)
JFreeChart,DESIGN,// FIXME: this attribute is not used - deprecate?
JFreeChart,DESIGN,// TODO: by coding the event with some information about what changed // in the dataset we could make the recalculation of the interval // more efficient in some cases (for instance if the change is // just an update to a y-value then the x-interval doesn't need // updating)...
JFreeChart,DESIGN,// the method we want isn't in the CategoryItemRenderer // interface...
JFreeChart,DESIGN,// FIXME: what if value is null on next line?
JFreeChart,DESIGN,// TODO:  this needs to move into the renderer state
JFreeChart,DESIGN,//TODO: implement this method properly
JFreeChart,DESIGN,// hack to ensure the newly created swt fonts will be rendered with the // same height as the awt one
JFreeChart,DESIGN,// unused but must return something so while we are at it...
JFreeChart,DESIGN,// FIXME: perhaps we should clone the data list
JFreeChart,DESIGN,// if we are rendering the values as percentages we need to calculate // the total for the current item.  Unfortunately here we end up // repeating the calculation more times than is strictly necessary - // hopefully I'll come back to this and find a way to add the // total(s) to the renderer state.  The other problem is we implicitly // assume the dataset has no negative values...perhaps that can be // fixed too.
JFreeChart,DESIGN,// Note: It would be nice to pre-calculate this per series
JFreeChart,DESIGN,// we assume that all other Paint instances implement equals() and // hashCode()...of course that might not be true but what can we // do about it?
JFreeChart,DESIGN,// FIXME: use other fields too
JFreeChart,DESIGN,// all attributes are immutable so we can just return the super.clone() // FIXME: in fact the generator itself is immutable so cloning is // not necessary
JFreeChart,DESIGN,// here's a quirk - the API has been defined in terms of a plain // TimePeriod which cannot make use of the timezone and locale // specified in the constructor...so we only do the time zone // pegging if the period is an instanceof RegularTimePeriod
JFreeChart,DESIGN,// now handle specific plot types (and yes I know this is some // really ugly code that has to be manually updated any time a new // plot type is added - I should have written something much cooler // but I didn't and neither did anyone else).
JFreeChart,DESIGN,// TODO: URLEncode?
JFreeChart,DESIGN,// TODO Revert to SVN revision 2469 in JFreeChart 1.0.16 //      (MultipleGradientPaint's / JDK issues) // TODO THEN: change visibility of ALL darker(...) Methods EXCEPT //      darker(Paint) to private!
JFreeChart,DESIGN,//TODO replace getSize by getBounds ?
JFreeChart,DESIGN,// TODO: check threshold
