projectname,classification,commenttext
JMeter,DESIGN,// TODO turn into parameter?
JMeter,DESIGN,// TODO: should this just call super()?
JMeter,DESIGN,// TODO improve this
JMeter,DESIGN,// TODO do contentType and/or dataEncoding belong in HTTPSampleResult instead?
JMeter,DESIGN,// TODO - needs more work ...
JMeter,DESIGN,// Maybe move to vector if MT problems occur
JMeter,DESIGN,// TODO: This method doesn't appear to be used.
JMeter,DESIGN,// TODO is this really necessary?
JMeter,DESIGN,// Programming error: bail out.
JMeter,DESIGN,// TODO should this throw an error?
JMeter,DESIGN,// houston we have a problem !!
JMeter,DESIGN,//TODO replace with proper Exception
JMeter,DESIGN,// TODO - charset? // TODO this should really be request data but there is none
JMeter,DESIGN,// in milli-seconds // TODO: properties?
JMeter,DESIGN,//TODO - move to JOrphanUtils?
JMeter,DESIGN,// N.B. Needs to implement Visualizer so that TestBeanGUI can find the correct GUI class
JMeter,DESIGN,// Can be null (not sure why)
JMeter,DESIGN,//TODO implement other non-text types
JMeter,DESIGN,// TODO this is not populated currently
JMeter,DESIGN,// N.B. Needs to implement Visualizer so that TestBeanGUI can find the correct GUI class // TODO - remove UnsharedComponent ? Probably does not make sense for a TestBean.
JMeter,DESIGN,// $NON-NLS-1$ // TODO - use a different format here?
JMeter,DESIGN,// NOTUSED: long[] longSample = getSamples(); // load each node
JMeter,DESIGN,//This can lead to code smell meh! Do we care
JMeter,DESIGN,// TODO is this ever used?
JMeter,DESIGN,// TODO is this the best way to do this?
JMeter,DESIGN,// All keys in messages.properties are lowercase (historical reasons?)
JMeter,DESIGN,//NOT USED protected double[][] data = null;
JMeter,DESIGN,//TODO do this more efficiently
JMeter,DESIGN,// TODO - should this use setFirst() ?
JMeter,DESIGN,"/*     *     * A Dom tree panel for to display response as tree view author <a     * href=""mailto:d.maung@mdl.com"">Dave Maung</a>      * TODO implement to find any nodes in the tree using TreePath.     *     */"
JMeter,DESIGN,// TODO: Does this method need to be public? It isn't currently // called outside of this class.
JMeter,DESIGN,"/*         * Does the system support UNC paths? If so may need to fix them up         * later         */"
JMeter,DESIGN,// Not used
JMeter,DESIGN,// TODO should this be indeterminate? // TODO should this be indeterminate? //$NON-NLS-1$ //$NON-NLS-1$
JMeter,DESIGN,// hack to skip processing
JMeter,DESIGN,// TODO should we allow null for non-primitive types?
JMeter,DESIGN,// TODO - not sure this is the best method
JMeter,DESIGN,// TODO - is this needed?
JMeter,DESIGN,// TODO - should we call start() and stop()?
JMeter,DESIGN,// TODO: I believe the following code (to the end of the method) is // obsolete // since NamePanel no longer seems to be the GUI for any component:
JMeter,DESIGN,// Method is broken anyway
JMeter,DESIGN,// TODO is this a sensible number? //$NON-NLS-1$
JMeter,DESIGN,// TODO work out how to search the XML pane
JMeter,DESIGN,// TODO is this sensible?
JMeter,DESIGN,// Should we return fragment as text rather than text of fragment?
JMeter,DESIGN,"/*         * Not clear what can cause this ? conflicting versions perhaps         */"
JMeter,DESIGN,//TODO replace with proper Exception // return with an error
JMeter,DESIGN,//TODO: validate contentType for reasonable types?
JMeter,DESIGN,"/*     * Mask values for TEST_TYPE TODO: remove either MATCH or CONTAINS - they     * are mutually exckusive     */"
JMeter,DESIGN,// TODO ought to be a FileChooser ...
JMeter,DESIGN,// Allow JMeter to render frames (and relative images) // Must be done after setContentType [Why?]
JMeter,DESIGN,// TODO - is this used? (apart from test code)
JMeter,DESIGN,// TODO: should this be clearData()?
JMeter,DESIGN,"/**     * Provide a description of this timer class.     *     * TODO: Is this ever used? I can't remember where. Remove if it isn't --     * TODO: or obtain text from bean's displayName or shortDescription.     *     * @return the description of this timer class.     */"
JMeter,DESIGN,"/*             * Provide dummy implementations to suppress download and display of             * related resources: - FRAMEs - IMAGEs TODO create better dummy             * displays TODO suppress LINK somehow             */"
JMeter,DESIGN,// TODO should this be JTLSAVER? Only seems to be called by MonitorHealthVisualzer
JMeter,DESIGN,// TODO: Make the running indicator its own class instead of a JButton
JMeter,DESIGN,// If child of TransactionController is a ThroughputController and TPC does // not sample its children then we will have this // TODO Should this be at warn level ?
JMeter,DESIGN,// $NON-NLS-1$ // so it agrees with above // TODO perhaps should share code with __time() function for this... // $NON-NLS-1$ $NON-NLS-2$ // $NON-NLS-1$ $NON-NLS-2$
JMeter,DESIGN,// Hack to allow automated tests to find when test has ended //transient boolean testEnded = false;
JMeter,DESIGN,// TODO could these be done earlier (or just once?)
