projectname,classification,commenttext
JRuby,DESIGN,// we basically ignore protocol. let someone report it...
JRuby,DESIGN,// SSS FIXME: Is this correct?
JRuby,DESIGN,// FIXME: I use a for block to implement END node because we need a proc which captures // its enclosing scope.   ForBlock now represents these node and should be renamed.
JRuby,DESIGN,// SSS FIXME: 1. Is the ordering correct? (poll before next)
JRuby,DESIGN,// We use a highly uncommon string to represent the paragraph delimiter (100% soln not worth it)
JRuby,DESIGN,// add a "self" recv here // TODO: is this right?
JRuby,DESIGN,// TODO: // MRI behavior: Call "+" or "add" depending on the call. // But this leads to exceptions when Floats are added. See: // http://blade.nagaokaut.ac.jp/cgi-bin/scat.rb/ruby/ruby-core/17374 // return callCoerced(context op b true); -- this is MRI behavior. // We'll use ours for now thus providing an ability to add Floats.
JRuby,DESIGN,// SSS FIXME: Is this correctly placed ... at the end of the loop iteration?
JRuby,DESIGN,// TODO: Ruby reuses this logic for other "write" behavior by checking if it's an IO and calling write again
JRuby,DESIGN,// SSS FIXME: Where does this go? // m.setLinePosition(arrayNode.getPosition());
JRuby,DESIGN,// it would be nice (and logical!) if exponent form  // behaved like E/e and decimal form behaved like f // but no such luck. hence:
JRuby,DESIGN,// SSS FIXME: These should get normally compiled or initialized some other way ...  // SSS FIXME: Parent/super-type info is incorrect! // These are just placeholders for now .. this needs to be updated with *real* class objects later!
JRuby,DESIGN,// TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here. Confirm. JRUBY-415
JRuby,DESIGN,// SSS FIXME: I could make IR_Loop a scope too ... semantically it is a scope but functionally not sure if this is required yet ...
JRuby,DESIGN,// this covers the rare case of lower-case class names (and thus will // fail 99.999% of the time). fortunately we'll only do this once per // package name. (and seriously folks look into best practices...)
JRuby,DESIGN,// SSS FIXME: Should this be a string literal or a string? // Dummy class for the script
JRuby,DESIGN,// TODO should this be deprecated ? (to be efficient internals should deal with RubyHash directly)
JRuby,DESIGN,// SSS FIXME: Does int suffice or do we need long?
JRuby,DESIGN,// modules are included with a shim class; we must find that shim to handle super() appropriately
JRuby,DESIGN,// Reset value map if this instruction is the start/end of a basic block // // Right now calls are considered hard boundaries for optimization and // information cannot be propagated across them! // // SSS FIXME: Rather than treat all calls with a broad brush what we need // is to capture different attributes about a call : //   - uses closures //   - known call target //   - can modify scope //   - etc. // // This information is probably already present in the AST Inspector
JRuby,DESIGN,// TODO: Determine whether we should perhaps store non-singleton class // in the implementationClass
JRuby,DESIGN,// SSS FIXME: Correct?  Where does closure arg come from?
JRuby,DESIGN,/* FIXME: Consider fixing node_assign itself rather than single case*/
JRuby,DESIGN,// SSS FIXME: Should I have a reference to the IR_loop that is being retried?
JRuby,DESIGN,// temporary hack to handle non-Ruby values // will come up with better solution shortly
JRuby,DESIGN,// Simplify the variables too -- to keep these variables in sync with what is actually used in the when clauses // This is not required for correctness reasons but only for performance reasons.
JRuby,DESIGN,// Must be called from main thread (it is currently but this bothers me)
JRuby,DESIGN,// CON FIXME: I don't know how to make case be an expression...does that // logic need to go here?
JRuby,DESIGN,// FIXME: legal here? may want UnsupportedOperationException
JRuby,DESIGN,// FIXME: This is an ugly hack to resolve JRUBY-1381; I'm not proud of it
JRuby,DESIGN,// Something wrong we don't know the cwd... // TODO: Is this behavior really desirable? /mov
JRuby,DESIGN,// TODO: no java stringity
JRuby,DESIGN,// FIXME:  Total hack to get flash in Rails marshalling/unmarshalling in session ok...We need // to totally change marshalling to work with overridden core classes.
JRuby,DESIGN,// TODO: this method is not present in MRI!
JRuby,DESIGN,// FIXME: Ideally JavaObject instances should be marshallable which means that // the JavaObject metaclass should have an appropriate allocator. JRUBY-414
JRuby,DESIGN,// TODO: public only?
JRuby,DESIGN,// FIXME: This should probably do some translation from Ruby priority levels to Java priority levels (until we have green threads)
JRuby,DESIGN,// TODO: Consider a better way of synchronizing
JRuby,DESIGN,// using IOInputStream may not be the most performance way but it's easy.
JRuby,DESIGN,// FIXME: We should not be regenerating this over and over
JRuby,DESIGN,// XXX: This check previously used callMethod("==") to check for equality between classes // when scanning the hierarchy. However the == check may be safe; we should only ever have // one instance bound to a given type/constant. If it's found to be unsafe examine ways // to avoid the == call.
JRuby,DESIGN,// TODO: why are we duplicating the constants here and then in // File::Constants below? File::Constants is included in IO.
JRuby,DESIGN,// A cloned method now belongs to a new class.  Set it. // TODO: Make DynamicMethod immutable
JRuby,DESIGN,// TODO: These were missing so we're not handling them elsewhere?
JRuby,DESIGN,// TODO: cache?
JRuby,DESIGN,// FIXME: wtf is this? Why would these use the class?
JRuby,DESIGN,// TODO: Figure out how this can happen and possibly remove
JRuby,DESIGN,// FIXME: I don't like this
JRuby,DESIGN,// FIXME: these descriptions should probably be moved out // to Constantine project which deals with all platform-dependent constants.
JRuby,DESIGN,// FIXME this below is temporary but its much safer for COW (it prevents not shared Strings with begin != 0) // this allows now e.g.: ByteList#set not to be begin aware
JRuby,DESIGN,// TODO: what about n arg?
JRuby,DESIGN,// FIXME: I think this chunk is equivalent to MRI id2name (and not our public method  // id2name).  Make into method if used more than once.
JRuby,DESIGN,// FIXME: This is probably not very efficient since it loads all methods for each call
JRuby,DESIGN,/* Hack in to replace usual readline with this */
JRuby,DESIGN,// if we get here we found a matching method use it // TODO: choose narrowest method by continuing to search
JRuby,DESIGN,// TODO: this is kinda gross
JRuby,DESIGN,// FIXME: In order for Thread to play well with the standard 'new' behavior // it must provide an allocator that can create empty object instances which // initialize then fills with appropriate data.
JRuby,DESIGN,// these extra arrays are really unfortunate; split some of these paths out to eliminate?
JRuby,DESIGN,// We clone dynamic scope because this will be a new instance of a block.  Any previously // captured instances of this block may still be around and we do not want to start // overwriting those values when we create a new one. // ENEBO: Once we make self lastClass and lastMethod immutable we can remove duplicate
JRuby,DESIGN,// TODO: protected methods.  this is going to require a rework // of some of the mechanism.
JRuby,DESIGN,// if not overloaded we add a method that guesses at which signature to use // TODO: just adding first one right now...add in signature-guessing logic
JRuby,DESIGN,// SSS FIXME: This should never get called for constant svalues
JRuby,DESIGN,"/*         * TODO: This version is better than the hackish previous one. Windows         *       behavior needs to be defined though. I suppose this version         *       could be improved more too.         * TODO: /etc/passwd is also inadequate for MacOSX since it does not         *       use /etc/passwd for regular user accounts         */"
JRuby,DESIGN,// FIXME: There's some code duplication here with RubyObject#inspect
JRuby,DESIGN,// for visibility checking without requiring frame self // TODO: don't bother passing when fcall or vcall and adjust callsite appropriately
JRuby,DESIGN,// FIXME: figure out why we get null sometimes
JRuby,DESIGN,// Hacky: Advance position to eat newline here....
JRuby,DESIGN,// need to reexamine this
JRuby,DESIGN,// FIXME: This is currently only here because of some problems with IOOutputStream writing to a "bare" runtime without a proper scope
JRuby,DESIGN,// Workaround for JRUBY-4149
JRuby,DESIGN,// using IOOutputStream may not be the most performance way but it's easy.
JRuby,DESIGN,// ignore...bean doesn't get registered // TODO: Why does that bother me?
JRuby,DESIGN,/* ENEBO: Lots of optz in 1.9 parser here*/
JRuby,DESIGN,// FIXME: move out of this class!
JRuby,DESIGN,// IN FACT we should probably raise an error yes?
JRuby,DESIGN,//TODO: ary_sort_check should be done here
JRuby,DESIGN,// TODO: get rid of this (lax returns 0.0 strict will throw)
JRuby,DESIGN,// bit risky if someone changes completor but useful for method calls
JRuby,DESIGN,// TODO: the rest of this...seeking to same position is unnecessary since we share a channel // but some of this may be needed?
JRuby,DESIGN,// TODO: is this the right thing to do?
JRuby,DESIGN,// FIXME: this probably belongs in a different package.
JRuby,DESIGN,// FIXME: not very efficient
JRuby,DESIGN,// This is GROSS but Java API's aren't ISO 8601 compliant at all
JRuby,DESIGN,// TODO: is this correct ?
JRuby,DESIGN,/* Workaround for JRUBY-2326 (MRI does not enter this production for some reason)*/
JRuby,DESIGN,// Create block for this iter node // FIXME: We shouldn't use the current scope if it's not actually from the same hierarchy of static scopes
JRuby,DESIGN,/* SSS FIXME: Do we need to check if l is same as whatever popped? */
JRuby,DESIGN,// SSS FIXME: Where is this set up?  How is this diff from ClassVarDeclNode??
JRuby,DESIGN,// Fixme: Do we need the check or does Main.java not call this...they should consolidate
JRuby,DESIGN,// FIXME: This table will get moved into POSIX library so we can get all actual supported // signals.  This is a quick fix to support basic signals until that happens.
JRuby,DESIGN,// FIXME: This worries me a bit since it could allocate a lot with a large newLength
JRuby,DESIGN,// TODO: This filtering is kind of gross...it would be nice to get some parser help here
JRuby,DESIGN,// TODO: decompose getJavaPackageModule so we don't parse fullName
JRuby,DESIGN,// FIXME: Get rid of laziness and handle restricted access elsewhere
JRuby,DESIGN,// TODO: for now we use a faithful // reimplementation of MRI's algorithm // but should use UTF8Encoding facilities // from Joni once it starts prefroming // UTF-8 content validation.
JRuby,DESIGN,// if we don't have opt args start after args (they will be assigned later) // this is for crap like def foo(a = (b = true; 1)) which numbers b before a // FIXME: only starting after required args since opt args may access others // and rest args conflicts with compileRoot using "0" to indicate [] signature.
JRuby,DESIGN,// FIXME: Determine if a real allocator is needed here. Do people want to extend // JavaClass? Do we want them to do that? Can you Class.new(JavaClass)? Should // you be able to? // TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here since we don't intend for people to monkey with // this type and it can't be marshalled. Confirm. JRUBY-415
JRuby,DESIGN,// grrr arghh want to subclass sun.misc.FloatingDecimal but can't // so we must do all this (the next 70 lines of code) which has already // been done by FloatingDecimal.
JRuby,DESIGN,// FIXME: do we really want 'declared' methods?  includes private/protected and does _not_ // include superclass methods.  also the getDeclared calls may throw SecurityException if // we're running under a restrictive security policy.
JRuby,DESIGN,// small hack to save a cast later on
JRuby,DESIGN,// This is perhaps innefficient timewise?  Optimal spacewise
JRuby,DESIGN,// TODO: confirm expected args are IRubyObject (or similar)
JRuby,DESIGN,// There's not a compelling reason to keep JavaClass instances in a weak map // (any proxies created are [were] kept in a non-weak map so in most cases they will // stick around anyway) and some good reasons not to (JavaClass creation is // expensive for one; many lookups are performed when passing parameters to/from // methods; etc.). // TODO: faster custom concurrent map
JRuby,DESIGN,// TODO: check for Java reserved names and raise exception if encountered
JRuby,DESIGN,// FIXME: JRUBY-3188 ends up with condition returning null...quick fix until I can dig into it
JRuby,DESIGN,// Workaround for a bug in Sun's JDK 1.5.x see // http://bugs.sun.com/bugdatabase/view_bug.do?bug_id=6303753
JRuby,DESIGN,// FIXME weakref.rb also does caller(2) here for the backtrace
JRuby,DESIGN,// FIXME: Remove this from grammars.
JRuby,DESIGN,// TODO: It's perhaps just a coincidence that all the channels for // which we should raise are instanceof SelectableChannel since // stdio is not...so this bothers me slightly. -CON
JRuby,DESIGN,// FIXME: Not sure what the semantics of transfer are //cFiber.defineFastMethod("transfer" cb.getFastOptMethod("transfer"));
JRuby,DESIGN,// FIXME: This is pretty gross; we should have a cleaner initialization // that doesn't depend on package-visible fields and ideally is atomic // probably using an immutable structure we replace all at once. // lazy null when no groups defined
JRuby,DESIGN,// This is a dummy scope; we should find a way to make that more explicit
JRuby,DESIGN,/* FIXME: Resolve what the hell is going on*/
JRuby,DESIGN,"/** rb_obj_id     *     * Return the internal id of an object.     *     * FIXME: Should this be renamed to match its ruby name?     */"
JRuby,DESIGN,// again shouldn't happen. TODO: might want to throw exception instead.
JRuby,DESIGN,// FIXME: Maybe not best place but move it to a good home
JRuby,DESIGN,// TODO: NOT_ALLOCATABLE_ALLOCATOR may be ok here but it's unclear how Structs // work with marshalling. Confirm behavior and ensure we're doing this correctly. JRUBY-415
JRuby,DESIGN,//TODO: Should next and return also catch here?
JRuby,DESIGN,// We always prepend an org.jruby.proxy package to the beginning // because java and javax packages are protected and signed // jars prevent us generating new classes with those package // names. See JRUBY-2439.
JRuby,DESIGN,// TODO: we should be able to optimize this quite a bit post-1.0.  JavaClass already // has all the methods organized by method name; the next version (supporting protected // methods/fields) will have them organized even further. So collectMethods here can // just lookup the overridden methods in the JavaClass map should be much faster.
JRuby,DESIGN,// index for the item // this could probably be more efficient bailing out on assigning args past the end?
JRuby,DESIGN,// TODO: make more efficient by not creating IRubyArray[]
JRuby,DESIGN,"/** rb_mod_remove_cvar     *     * FIXME: any good reason to have two identical methods? (same as remove_class_variable)     */"
JRuby,DESIGN,// from DUP_SETUP // rb_copy_generic_ivar from DUP_SETUP here ...unlikely..
JRuby,DESIGN,// If it's a single-arg when but contains an array we know it's a real literal array // FIXME: This is a gross way to figure it out; parser help similar to yield argument passing (expandArguments) would be better
JRuby,DESIGN,// TODO: Only setAccessible to account for pattern found by // accessing constants included from a non-public interface. // (aka java.util.zip.ZipConstants being implemented by many // classes)
JRuby,DESIGN,// not intended to be called directly by users (private) // OLD TODO from Ruby code: // This should be implemented in JavaClass.java where we can // check for reserved Ruby names conflicting methods etc.
JRuby,DESIGN,// FIXME: Don't allow multiple threads to do this at once
JRuby,DESIGN,// TODO: Bleeding runtime into parser.  Arity may be should be in parser (to keep bleeding oneway)
JRuby,DESIGN,"/** rb_ary_push_m     * FIXME: Whis is this named ""push_m""?     */"
JRuby,DESIGN,// TODO: This probably isn't the best hack but it works until we can have different // root frame setup for 1.9 easily.
JRuby,DESIGN,// TODO: At least ParserSupport.attrset passes argsNode as null.  ImplicitNil is wrong magic for  // setupArgs since it will IRubyObject[] { nil }.  So we need to figure out a nice fast // null pattern for setupArgs. // assert argsNode != null : "receiverNode is not null";
JRuby,DESIGN,// HACK: in order to have stdout/err act like ttys and flush always // we set anything assigned to stdout/stderr to sync
JRuby,DESIGN,// TODO: People extending GzipWriter/reader will break.  Find better way here.
JRuby,DESIGN,// FIXME: set up a call configuration for this
JRuby,DESIGN,"/**     * Process streams get Channel.newChannel()ed into FileChannel but are not actually     * seekable. So instead of just the isSeekable check doing instanceof FileChannel     * we must also add this boolean to check which we set to false when it's known     * that the incoming channel is from a process.     *      * FIXME: This is gross and it's NIO's fault for not providing a nice way to     * tell if a channel is ""really"" seekable.     */"
JRuby,DESIGN,// FIXME: Somehow I'd feel better if this could get the appropriate var index from the ArgumentNode
JRuby,DESIGN,// FIXME: Can get optimized for IEqlNode
JRuby,DESIGN,// TODO: rounding mode should not be hard-coded. See #mode.
JRuby,DESIGN,// FIXME moved this here to get what's obviously a utility method out of IRubyObject. // perhaps security methods should find their own centralized home at some point.
