projectname,classification,commenttext
Maven,SATD,/*                      * TODO Extensions like Flex Mojos use custom scopes like "merged" "internal" "external" etc. In                     * order to don't break backward-compat with those only warn but don't error out.                      */
Maven,SATD,/*      * TODO this needs to accept a {@link OverConstrainedVersionException} as returned by     *       {@link #getVersionRangeViolation(int)} but it's not used like that in     *       DefaultLegacyArtifactCollector      */
Maven,SATD,//  it's the building of the grandchild project having already cached the child project   (but not the parent project) which causes the problem. 
Maven,SATD,//  TODO I would like to get rid of this. jvz. 
Maven,SATD,/*          * NOTE: This should be considered a quirk to support interop with Maven's legacy ArtifactDeployer which         * processes one artifact at a time and hence cannot associate the artifacts from the same project to use the         * same timestamp+buildno for the snapshot versions. Allowing the caller to pass in metadata from a previous         * deployment allows to re-establish the association between the artifacts of the same project.          */
Maven,SATD,//  TODO I'm really wondering where this method belongs; smells like it should be on MavenProject but for some   reason it isn't ? This localization is kind-of a code smell. 
Maven,SATD,//  TODO: hack because metadata isn't generated in m2e correctly and i want to run the maven i have in the 
Maven,SATD,//  TODO this does not belong here. 
Maven,SATD,//  this is FOUL!          snapshotArtifact.isSnapshot(); 
Maven,SATD,//  NOTE: There's java.nio.charset.MalformedInputException and sun.io.MalformedInputException 
Maven,SATD,/*      * Derive the path portion of the given URL.     *     * @param url the repository URL     * @return the basedir of the repository     * TODO need to URL decode for spaces?      */
Maven,SATD,// TODO restore these if it makes sense 
Maven,SATD,//  TODO could the configuration be passed to lookup and the configurator known to plexus via the descriptor   so that this method could entirely be handled by a plexus lookup? 
Maven,SATD,// TODO error reporting 
Maven,SATD,//  TODO This replacing shouldn't be necessary as user.home should be in the 
Maven,SATD,//  TODO currently this is first wins but really we should take the latest by comparing either the   snapshot timestamp or some other timestamp later encoded into the metadata.   TODO this needs to be repeated here so the merging doesn't interfere with the written metadata    - we'd be much better having a pristine input and an ongoing metadata for merging instead 
Maven,SATD,//  TODO what about wildcards? Just specifying groups? versions? 
Maven,SATD,//  TODO Use StringUtils here 
Maven,SATD,//  TODO From a concurrency perspective this class is not good. The combination of mutable/immutable state is not nice 
Maven,SATD,//  TODO we probably want to warn the user that he is building an artifact with   different values than in dependencyManagement 
Maven,SATD,//  ---------------------------------------------------------------------------------   I'm not sure if this last regexp was really intended to disallow the usage of   network paths as user.home directory. Unfortunately it did. I removed it and   have not detected any problems yet.   ---------------------------------------------------------------------------------   path = path.replaceAll( "//" "/" ); 
Maven,SATD,//  TODO better way than static? this might hide messages in a reactor 
Maven,SATD,/*  * This exception is thrown if an application attempts to attach * two of the same artifacts to a single project. * * @author pgier * @author jdcasey * TODO Make this a checked exception and modify the API of MavenProjectHelper. * Currently this modification would create compatibility problems for existing plugins.  */
Maven,SATD,// TODO lifecycles being executed  TODO what runs in each phase  TODO plugins that need downloading  TODO project dependencies that need downloading  TODO unfortunately the plugins need to be downloaded in order to get the plugin.xml file. need to externalize this        from the plugin archive.  TODO this will be the class that people get in IDEs to modify 
Maven,SATD,/*          * NOTE: For plugins that depend on other plugin artifacts the plugin realm contains more than one plugin         * descriptor. However only the first descriptor is of interest.          */
Maven,SATD,//  TODO not sure about this here and may want a getLog on here as well/instead 
Maven,SATD,//  TODO Does this check need to happen here? Had to add the same call   below when we iterate on child nodes -- will that suffice? 
Maven,SATD,//  TODO MNG-5766 changes likely made this redundant 
Maven,SATD,//  TODO Move this to plexus-utils' PathTool. 
Maven,SATD,//  go find the version. This is a total hack. See previous comment. 
