projectname,classification,commenttext
Storm,SATD,// TODO support multiple levels of includes 
Storm,SATD,//  When all nimbodes go down and one or few of them come up   Unfortunately there might not be an exact way to know which one contains the most updated blob 
Storm,SATD,//  TODO: this assumes key is only from the one field   if not we need to have order of fields in PK 
Storm,SATD,//  the following code is duplicated in the constructor of MqttPublisher   we reproduce it here so we fail on the client side if SSL is misconfigured rather than when the topology   is deployed to the cluster 
Storm,SATD,//  should remove the third blob because the first has the reset timestamp 
Storm,SATD,//  Get rid of multiple '/' in url
Storm,SATD,//  Todo: Track file offsets instead of line number 
Storm,SATD,//  TODO support more configuration options for now we're defaulting to the hbase-*.xml files found on the classpath 
Storm,SATD,// This is a bit ugly but it works.  In order to maintain the same directory structure that existed before   we need to have storm conf storm jar and storm code in a shared directory and we need to set the   permissions for that entire directory but the tracking is on a per item basis so we are going to end   up running the permission modification code once for each blob that is downloaded (3 times in this case).   Because the permission modification code runs in a separate process we are doing a global lock to avoid   any races between multiple versions running at the same time.  Ideally this would be on a per topology   basis but that is a lot harder and the changes run fairly quickly so it should not be a big deal. 
Storm,SATD,// Could not find a "fully" compatible version.  Look to see if there is a possibly compatible version right below it 
Storm,SATD,// ResourceUtils.java is not a available on the classpath to let us parse out the resources we want. 
Storm,SATD,//  Files/move with non-empty directory doesn't work well on Windows   This is not atomic but it does work 
Storm,SATD,/*  Not thread safe. Have one instance per producer thread or synchronize externally  */
Storm,SATD,//  TODO substitution implementation is not exactly efficient or kind to memory... 
Storm,SATD,// TODO need a better way to do this 
Storm,SATD,//  TODO: Need to be able to set the tick tuple time to the message timeout ideally without parameterization 
Storm,SATD,/*              * Connection is unavailable. We will drop pending messages and let at-least-once message replay kick in.             *             * Another option would be to buffer the messages in memory.  But this option has the risk of causing OOM errors             * especially for topologies that disable message acking because we don't know whether the connection recovery will             * succeed  or not and how long the recovery will take.              */
Storm,SATD,//  TODO add metrics
Storm,SATD,//  TODO: consider adding a shuffle grouping after the spout to avoid so much routing of the args/return-info all over the place   (at least until its possible to just pack bolt logic into the spout itself) 
Storm,SATD,//  This is a hack for non-ras scheduler topology and worker resources 
Storm,SATD,// TODO move this logic to the model class 
Storm,SATD,// For some reason on the new code if ackers is null we get 0??? 
Storm,SATD,// This is a bit of a hack.  If it is a list then it is [component stream]  we want to format this as component:stream 
Storm,SATD,// TODO: DRY this code up with what's in ChainedAggregatorImpl 
Storm,SATD,//  should we fail the tuple or kill the worker? 
Storm,SATD,// TODO streams should be uniquely identifiable 
Storm,SATD,// TODO I would love to standardize this... 
Storm,SATD,//  FIXME: This class can be moved to webapp once UI porting is done. 
Storm,SATD,//  This isn't strictly necessary but it doesn't hurt and ensures that the machine stays up   to date even if callbacks don't all work exactly right 
Storm,SATD,//  To work around it we should get it an alternative (working) way. 
Storm,SATD,//  read s1 last....  This should cause s2 to be evicted on next put 
Storm,SATD,//  TODO more collection content type checking 
Storm,SATD,//  FIXME: We're using default config since it cannot be serialized   We still needs to provide some options externally 
Storm,SATD,// TODO this can only ever be null if someone is doing something odd with mocking   We should really fix the mocking and remove this 
Storm,SATD,// TODO put in some better exception mapping...  TODO move populateContext to a filter... 
Storm,SATD,//  should we fail the batch or kill the worker? 
Storm,SATD,// Getting the exact response code is a bit more complex.  TODO should use a better client 
Storm,SATD,//  TODO: de-duplicate this logic with the code in nimbus
Storm,SATD,/*      * TODO: should worker even take the topologyId as input? this should be deducible from cluster state (by searching through assignments)     * what about if there's inconsistency in assignments? -> but nimbus should guarantee this consistency.     *     * @param conf           - Storm configuration     * @param context        -     * @param topologyId     - topology id     * @param assignmentId   - assignment id     * @param supervisorPort - parent supervisor thrift server port     * @param port           - port on which the worker runs     * @param workerId       - worker id      */
Storm,SATD,// This is a bit ugly but it shows how this would happen in a worker so we will use the same APIs 
Storm,SATD,//  FIXME: stores map (topoConf) topologyContext and expose these to derived classes 
Storm,SATD,// Original implementation doesn't actually check if delete succeeded or not. 
Storm,SATD,//  it doesn't seem like you should have to do this but java serialization is wacky and doesn't call the default constructor. 
Storm,SATD,// This is a bit ugly The JSON we are expecting should be in the form   {"component": {"resource": value ...} ...}   But because value is coming from JSON it is going to be a Number and we want it to be a Double.   So the goal is to go through each entry and update it accordingly 
Storm,SATD,// We may (though unlikely) lose metering here if state transition is too frequent (less than a millisecond) 
Storm,SATD,//  do we want to throw an exception if path doesn't exist?? 
Storm,SATD,// TODO a better way to do this would be great. 
Storm,SATD,// TODO in the future this might be better in a common webapp location 
Storm,SATD,//  FIXME: it should be moved to storm-client when serialization-test.clj can be removed 
Storm,SATD,// TODO figure out how we want to deal with overrides. Users may want to add streams even when overriding other   properties. For now we just add them blindly which could lead to a potentially invalid topology. 
Storm,SATD,// More accurate that thread.sleep but still not great 
Storm,SATD,//  todo ignore the master batch coordinator ? 
Storm,SATD,// This test is rather ugly but it is the only way to see if the error messages are working correctly. 
Storm,SATD,//  TODO: need to be able to replace existing fields with the function fields (like Cascading Fields.REPLACE) 
Storm,SATD,// TODO: wrap this to set the stream name 
Storm,SATD,// TODO: this isn't right... it's not in the map anymore 
Storm,SATD,// TODO: add a method for drpc stream needs to know how to automatically do return results etc   is it too expensive to do a batch per drpc request? 
Storm,SATD,// TODO: do the inner join incrementally emitting the cross join with this tuple against all other sides  TODO: only do cross join if at least one tuple in each side 
Storm,SATD,// TODO once everything is in java this should not be possible any more 
Storm,SATD,// heck for backward compatibility we need to pass TOPOLOGY_AUTO_CREDENTIALS to hbase conf  the conf instance is instance of persistentMap so making a copy. 
Storm,SATD,//  TODO: handle regular rich spout without batches (need lots of updates to support this throughout)
Storm,SATD,// This is a hack to allow ZooKeeperMain to be called by this command. 
Storm,SATD,// Perhaps there is a better way to do this??? 
Storm,SATD,//  TODO: can optimize further by only querying backing map for keys not in the cache 
Storm,SATD,// TODO this is causing issues... 
Storm,SATD,/*  TODO: need to invoke a hook provided by the topology giving it a chance to create user resources.         * this would be part of the initialization hook         * need to separate workertopologycontext into WorkerContext and WorkerUserContext.         * actually just do it via interfaces. just need to make sure to hide setResource from tasks          */
Storm,SATD,/*  Not implemented  */
Storm,SATD,//  TODO: What would be a good test to ensure that RankableObjectWithFields is at least somewhat defensively copied? 
Storm,SATD,//  TODO: in the future want a way to include this logic in the spout itself   or make it unnecessary by having storm include metadata about which grouping a tuple   came from 
Storm,SATD,//  TODO: does this work well on windows? 
Storm,SATD,// Not enough guaranteed use the age of the topology instead.  TODO need a good way to only do this once... 
Storm,SATD,//  Use parseWithException instead of parse so we can capture deserialization errors in the log.   They are likely to be bugs in the spout code. 
Storm,SATD,// TODO: add logging that not all tuples were received
Storm,SATD,//  TODO: take away knowledge of storm's internals here 
Storm,SATD,// TODO we should handle '\n'. ref DelimitedRecordFormat 
Storm,SATD,/*  TODO: make sure test these two functions in manual tests  */
Storm,SATD,// TODO get this from type instead of hardcoding to Nimbus.  establish client-server transport via plugin 
Storm,SATD,// There is a bug in some versions that returns 0 for the uptime. 
Storm,SATD,//  need to set active false before calling onKill() - current implementation does not return. 
Storm,SATD,// this is kind of unnecessary for clojure 
Storm,SATD,//  TODO this class is reserved for supporting messages with different schemas.   current only one schema in the cache 
Storm,SATD,//  -- bad files dir config 
Storm,SATD,//  FIXME: we can filter by listKeys() with local blobstore when STORM-1986 is going to be resolved   as a workaround we call getBlobMeta() for all keys 
Storm,SATD,// 1 min.  This really means something is wrong.  Even on a very slow node 
Storm,SATD,// TODO check for null grouping args 
Storm,SATD,// TODO perhaps we can adjust the frequency later... 
Storm,SATD,// re-establish connection to eventhub servers using the right offset  TBD: might be optimized with cache. 
Storm,SATD,// TODO Handle the case where there may be no schema 
Storm,SATD,// It seems safer not to follow symlinks since we don't expect them here 
Storm,SATD,//  this is because json doesn't allow numbers as keys...   TODO: replace json with a better form of encoding 
Storm,SATD,//  Todo: optimize this computation... perhaps inner loop can be outside to avoid rescanning tuples 
Storm,SATD,// Likely it is because of a bug so try to get it another way 
Storm,WITHOUT_CLASSIFICATION,//  while disabling we retain the sampling pct. 
Storm,WITHOUT_CLASSIFICATION,//  hearbeat upon it 
Storm,WITHOUT_CLASSIFICATION,//  REQUESTED_MEMONHEAP 
Storm,WITHOUT_CLASSIFICATION,//  test environment variable substitution 
Storm,WITHOUT_CLASSIFICATION,//  ASSIGNMENTS 
Storm,WITHOUT_CLASSIFICATION,// Verify that all messages are emitted ack all the messages 
Storm,WITHOUT_CLASSIFICATION,//  EXECUTION_COMMAND 
Storm,WITHOUT_CLASSIFICATION,//  boolean to track deactivated state 
Storm,WITHOUT_CLASSIFICATION,/*              * track punctuation in non-batch mode so that the             * punctuation is acked after all the processors have emitted the punctuation downstream.              */
Storm,WITHOUT_CLASSIFICATION,//  local executors and localTaskIds running in this worker 
Storm,WITHOUT_CLASSIFICATION,//  only emit if we have declared fields. 
Storm,WITHOUT_CLASSIFICATION,//  all types of files included 
Storm,WITHOUT_CLASSIFICATION,// We want to capture the full time range so the target size is as   if we had one bucket less then we do 
Storm,WITHOUT_CLASSIFICATION,// use batch size that matches the default credit size 
Storm,WITHOUT_CLASSIFICATION,//  use the local setting for the login config rather than the topology's 
Storm,WITHOUT_CLASSIFICATION,//  Get the nimbodes with the latest version 
Storm,WITHOUT_CLASSIFICATION,//  destination taskId 
Storm,WITHOUT_CLASSIFICATION,//  component 
Storm,WITHOUT_CLASSIFICATION,// Fail the last emitted tuple and verify that the spout won't retry it because it's above the emit limit. 
Storm,WITHOUT_CLASSIFICATION,//  If we generate a null response then authentication has completed   (if not warn) and return without sending a response back to the   server. 
Storm,WITHOUT_CLASSIFICATION,// supervisor assignment id/supervisor id 
Storm,WITHOUT_CLASSIFICATION,//  the WindowManager scan loop early. 
Storm,WITHOUT_CLASSIFICATION,//  failed to send the JMS message fail the tuple fast
Storm,WITHOUT_CLASSIFICATION,// Set the first assignment 
Storm,WITHOUT_CLASSIFICATION,// com.mysql.jdbc.jdbc2.optional.MysqlDataSource  jdbc:mysql://localhost/test  root 
Storm,WITHOUT_CLASSIFICATION,/*                                                *  Update the count in the state. Here the first argument 0L is the initial value for the                                               *  count and                                               *  the second argument is a function that increments the count for each value received.                                                */
Storm,WITHOUT_CLASSIFICATION,//  test write 
Storm,WITHOUT_CLASSIFICATION,//  KEY 
Storm,WITHOUT_CLASSIFICATION,//  TOPOLOGY_ID 
Storm,WITHOUT_CLASSIFICATION,// Start emitting right now 
Storm,WITHOUT_CLASSIFICATION,// format of date in worker logs 
Storm,WITHOUT_CLASSIFICATION,/*  Map  */
Storm,WITHOUT_CLASSIFICATION,//  use different blobstore dir so it doesn't conflict with other test 
