projectname,classification,commenttext
Zookeeper,SATD,//  BUG: Grizzly needs a doc root if you are going to register multiple adapters 
Zookeeper,SATD,//  This is likely a problem it means that file reloading is broken probably because the   directory we are watching was deleted or otherwise became inaccessible (unmounted permissions   changed ???).   For now we log an error and exit the watcher thread. 
Zookeeper,SATD,//  FIXME this was originally 5 seconds but realistically on random/slow/virt hosts there is no way to guarantee this 
Zookeeper,SATD,//  This is a bit weird but we need to return the address and the number of   bytes (to distinguish between IPv4 and IPv6 
Zookeeper,SATD,//  a bit of a hack but delete(/) will never succeed and ensures   that the same semantics are maintained 
Zookeeper,SATD,//  Everything is a go simply start counting the ticks   WARNING: I couldn't find any wait statement on a synchronized   block that would be notified by this notifyAll() call so   I commented it out  synchronized (this) {      notifyAll();  }   We ping twice a tick so we only update the tick every other 
Zookeeper,SATD,//  TODO(ivmaykov): Not sure if cnxn can be null here. It becomes null if channelInactive()   or exceptionCaught() trigger but it's unclear to me if userEventTriggered() can run   after either of those. Check for null just to be safe ... 
Zookeeper,SATD,//  could not create tmp directory to hold JAAS conf file : test will   fail now. 
Zookeeper,SATD,//  FIXME this test is Assert.failing due to client close race condition fixing in separate patch for ZOOKEEPER-63      /**       * this test checks to see if the sessionid that was created for the       * first zookeeper client can be reused for the second one immidiately       * after the first client closes and the new client resues them.       * @throws IOException       * @throws InterruptedException       * @throws KeeperException       */ 
Zookeeper,SATD,//  TODO: need to tune the default value of thread size 
Zookeeper,SATD,//  TODO refactor QuorumBase to be special case of this 
Zookeeper,SATD,//  This might not be 100% right but it's only used for printing   connection info in the netty implementation so it's probably ok. 
Zookeeper,SATD,//  Problem 2: Before fix after session close the ephemeral node   was not getting deleted. But now after the fix after session close 
Zookeeper,SATD,/*          * Observer should write to disk so that the it won't request         * too old txn from the leader which may lead to getting an entire         * snapshot.         *         * However this may degrade performance as it has to write to disk         * and do periodic snapshot which may double the memory requirements          */
Zookeeper,SATD,//  TODO - investigate why reconfig makes qps null. 
Zookeeper,SATD,//  TODO: if zks.processPacket() is changed to take a ByteBuffer[]   we could implement zero-copy queueing. 
Zookeeper,SATD,//  Note that this performance assumption might not hold true for architectures other than x86_64. 
Zookeeper,SATD,//  Note: the new buffer size is a hint and socket implementation   is free to ignore it so we don't verify that we get back the   same value. 
Zookeeper,SATD,// TODO should this be synchronized? 
Zookeeper,SATD,// TODO: use a factory rather than a switch 
Zookeeper,SATD,//  XXX No need to do anything 
Zookeeper,SATD,//  Session has not been re-validated ! 
Zookeeper,SATD,//  It is sad that isro and srvr are used by ZooKeeper itself. Need fix this   before deprecating 4lw. 
Zookeeper,SATD,//  TODO we need to figure out the security requirement for this! 
Zookeeper,SATD,//  Problem 1: Follower had one extra ephemeral node /e1 
Zookeeper,SATD,//  TODO: in the future serverId should be validated for all cases not just the extendedEphemeralTypesEnabled case   TODO: however for now it would be too disruptive 
Zookeeper,SATD,/*              * Since requests are processed in order we better get a response             * to the first request!              */
Zookeeper,SATD,//  this is ugly you have a better way speak up 
Zookeeper,SATD,//  An authentication error occurred during authentication with the Zookeeper Server. 
Zookeeper,SATD,/*  TODO: (br33d) we should either put a ConcurrentHashMap on restore()             *       or use Map on save()  */
Zookeeper,SATD,//  TODO: this doesn't use a quorum verifier 
Zookeeper,SATD,/*  a mocked ZK class that doesn't do client-side verification     * before/after calling removeWatches  */
Zookeeper,SATD,//  this shouldn't be necessary (wrapping data with string)   but without it there are problems on the server - ie it   hangs for 30 seconds and doesn't get the data.   TODO investigate 
Zookeeper,SATD,//  Try to provide hints to use about what went wrong so they can fix their configuration.   TODO: introspect about e: look for GSS information. 
Zookeeper,SATD,// FIXME: I don't want to have to serialize it here and then         immediately deserialize in next processor. But I'm         not sure how else to get the txn stored into our list. 
Zookeeper,SATD,// ////////////////   these internal classes are public but should not generally be referenced. 
Zookeeper,SATD,//  FIXME: IPv6 is not supported. Using something like Guava's HostAndPort          parser would be good. 
Zookeeper,SATD,//  this is really a programmatic error and not something that can   happen at runtime 
Zookeeper,SATD,//  We add backwards since we are pushing into the front   Only send if there's a pending watch   TODO: here we have the only remaining use of zooKeeper in   this class. It's to be eliminated! 
Zookeeper,SATD,//  TODO: Rather than checking a disjunction here should be a single member   variable or method in this class to determine whether the client is   configured to use SASL. (see also ZOOKEEPER-1455). 
Zookeeper,SATD,//  TODO: maybe we should flush in the loop above every N packets/bytes?   But how do we determine the right value for N ... 
Zookeeper,SATD,//  Uh oh.  We need to upgrade before we can proceed. 
Zookeeper,SATD,//  TODO: exit server at this point(?) 
Zookeeper,SATD,//  Multiple bad arguments 
Zookeeper,SATD,//  XXX this doesn't need to be volatile! (Should probably be final) 
Zookeeper,SATD,//  test will still fail even though we just log/ignore 
Zookeeper,SATD,//  FIXME ignore for now 
Zookeeper,SATD,//  XXX We really should NOT need this!!!! 
Zookeeper,SATD,//  TODO: should depend on zoo.cfg specified mechs but if
Zookeeper,SATD,//  XXX hack 
Zookeeper,SATD,//  not sure about 3rd arg..what is it? 
Zookeeper,SATD,// FIXME: need way to more cleanly serialize/deserialize exceptions 
Zookeeper,SATD,//  small chance that an unexpected message was delivered    after this check but we would catch that next time 
Zookeeper,SATD,//  Warning: this will reset the x509Util 
Zookeeper,SATD,//  a little hacky way to detect key type but it works 
Zookeeper,SATD,/*              * The following sequence of code is stupid! You would think that             * only sock.close() is needed but alas it doesn't work that way.             * If you just do sock.close() there are cases where the socket             * doesn't actually close...              */
Zookeeper,SATD,//  todo not every tmp directory needs this file 
Zookeeper,SATD,//  XXX This shouldn't be needed but just in case 
Zookeeper,SATD,/*  * A bunch of constants. * TODO: will get rid of it eventually.  */
Zookeeper,SATD,//  TODO: can not name this method getState since Thread.getState()   already exists   It would be cleaner to make class SendThread an implementation of   Runnable 
Zookeeper,SATD,//  handle below: might be harmless if the user doesn't intend to use JAAS authentication. 
Zookeeper,SATD,//  Should never call this: SASL authentication is negotiated at session initiation.   TODO: consider substituting current implementation of direct ClientCnxn manipulation with   a call to this method (SASLAuthenticationProvider:handleAuthentication()) at session initiation. 
Zookeeper,SATD,//  Note we may exceed our max length by a bit when we add the last   watch in the batch. This isn't ideal but it makes the code simpler. 
Zookeeper,WITHOUT_CLASSIFICATION,//  Make the snapshot directory read only 
Zookeeper,WITHOUT_CLASSIFICATION,//  Ensure that we can convert all valid integers to EventTypes 
Zookeeper,WITHOUT_CLASSIFICATION,/*  notify the client the session is closing and close/cleanup socket  */
Zookeeper,WITHOUT_CLASSIFICATION,//  shutdown previous zookeeper 
Zookeeper,WITHOUT_CLASSIFICATION,/*          * (non-Javadoc)         *          * @see javax.swing.tree.TreeNode#children()          */
