Label, Type, Content
0, Line, //  Enable SO_LINGER to ensure close() only returns when TCP closing   handshake completes 
0, Block, /*      * Fallback ::= '/>' | ( `>' S? `<jsp:body>' ( ( S? ( Char* - ( Char* `</jsp:body>' ) ) `</jsp:body>'     * S? ) | <TRANSLATION_ERROR> ) `</jsp:fallback>' ) | ( '>' ( Char* - (     * Char* '</jsp:fallback>' ) ) '</jsp:fallback>' )      */
0, Line, // else 
0, Line, //  Acknowledge request   Send a 100 status back if it makes sense (response not committed   yet, and client specified an expectation for 100-continue) 
0, Block, /*              * query          = *( pchar / "/" / "?" )             *             * Note query allows everything absolute-path allows plus "?"              */
0, Line, // only delete active keys 
0, Line, //  for includes/forwards 
0, Line, //  Protocol is the second 
0, Block, /*  The quote used for the attribute - null for scripting expressions.  */
0, Line, //  Now convert those bytes to a String using UTF-8 
0, Line, //  Scan until we find the mech types list. If we find anything 
0, Line, //  The context has stopped. 
0, Line, //  Wrapper mapping 
0, Line, // if not, we are ready, setMessage will reregister us for another write interest  do a health check, we have no way of verify a disconnected  socket since we don't register for OP_READ on waitForAck=false  this causes overhead 
0, Line, //  Add the header count 
0, Line, // *********************************************************************   PropertyEditor Support 
0, Line, //  Prevent from going outside our context 
0, Line, //  NOTE: Keys must always be added to both poolMap and         poolKeyList at the same time while protected by         keyLock.writeLock() 
0, Line, //  The resource may be a file, a directory or a symlink to a file or   directory. 
0, Line, //  Check against the per key limit 
0, Block, /*      * contentType      */
1, Line, //  security-constraint   TODO: Should support multiple display-name elements with language 
0, Line, //  Required for both fragments and non-fragments 
0, Line, // read more data 
0, Line, //  trick : convert duration configuration from old to new style 
0, Line, //  Only finished if a content length is defined and there is no data   remaining 
0, Block, /*  Wrap all values in double quotes.  */
0, Line, //  Skipping spaces 
0, Line, //  Trigger a call to sun.awt.AppContext.getAppContext(). This   will pin the system class loader in memory but that shouldn't 
0, Line, //  stream 17's window and the connection window. 
0, Block, /*  Process RunAs annotation which can be only on servlets.                 * Ref JSR 250, equivalent to the run-as element in                 * the deployment descriptor                  */
0, Line, //  Utility class. Hide default constructor. 
0, Line, //  Base name is converted path + version 
0, Line, //  Back up all sessions idle longer than maxIdleBackup 
0, Line, //  Now increase beyond the limit via a settings frame 
0, Block, /*      * Tests for failure, when a different sub-domain is used, that's not in the     * allowed list of origins.     *     * @throws ServletException     * @throws IOException      */
0, Line, //  Map the test Servlet 
0, Block, /*      * Define the SSL verify levels      */
0, Line, //  Separator 
0, Line, //  Set up to handle the specified request and response 
0, Line, //  Stored credentials are invalid   This may be expected if nested credential handlers are being used 
0, Line, //  Terminate the APR in case the version   is below required. 
0, Line, //  Control messages can appear in the middle of other messages   and must not be compressed. Pass it straight through 
0, Line, //  configured for this web application 
0, Line, //  Document the properties from ServletRequest 
0, Line, //  If multiple timeouts, just use the first 
0, Line, //  Same as GET for this test case 
0, Line, //  No UTF-8 
0, Line, //  Never decoded 
0, Block, /*  Generated By:JJTree: Do not edit this line. AstAnd.java  */
1, Line, //  Apache doesn't output an error message if it can't find   a program 
0, Line, //  ------------------------------------------------- HttpSession Properties 
0, Line, //  OpenSSL treats many ciphers as having equal preference. The order   returned depends on the order they are requested. The following code   checks that the Parser produces a cipher list that is consistent with   OpenSSL's preference order by confirming that running through OpenSSL 
0, Line, //  Unbind any objects associated with this session 
0, Line, //  Reset for next call to this method 
0, Line, //  Bean is defined using useBean, introspect at compile time 
0, Line, //  Extract the sequence from the payload 
0, Line, //  Called from StandardContext.init() 
0, Line, //  ---------------------------------------------- SocketProcessor Inner Class 
0, Line, //  Add date header unless it is an informational response or the 
0, Line, //  Close the stream (in app code so need to 
0, Line, //  Load all datas relative to the handler : SOAPHeaders, config init element, 
