Label, Type, Content
0, Line, //  Make the snapshot directory read only 
0, Line, //  Ensure that we can convert all valid integers to EventTypes 
0, Block, /*  notify the client the session is closing and close/cleanup socket  */
0, Line, //  shutdown previous zookeeper 
0, Block, /*          * (non-Javadoc)         *          * @see javax.swing.tree.TreeNode#children()          */
0, Block, /*      * Converting an observer into a participant may sometimes fail with a     * NewConfigNoQuorum exception. This test-case demonstrates the scenario.     * Current configuration is (A, B, C, D), where A, B and C are participant     * and D is an observer. Suppose that B has crashed (or never booted). If a     * reconfiguration is submitted where D is said to become a participant, it     * will fail with NewConfigNoQuorum since in this configuration, a majority     * of voters in the new configuration (any 3 voters), must be connected and     * up-to-date with the leader. An observer cannot acknowledge the history     * prefix sent during reconfiguration, and therefore it does not count towards     * these 3 required servers and the reconfiguration will be aborted. In case     * this happens, a client can achieve the same task by two reconfig commands:     * first invoke a reconfig to remove D from the configuration and then invoke a     * second command to add it back as a participant (follower). During the     * intermediate state D is a non-voting follower and can ACK the state     * transfer performed during the second reconfig command.      */
0, Line, //  register most recent relogin attempt 
0, Line, //  Check if client's current server is in the new list of servers 
0, Line, //  read txnlog but this should be sufficient 
0, Block, /*                  * Avoids running finish() twice.                  */
0, Line, //  truncate the log 
0, Block, /*          * Address of sender          */
0, Line, //  We need to log the stuff that came in between the snapshot and the uptodate 
0, Line, //  property is set to an valid int, we should get the set value 
1, Line, //  TODO: need to consolidate the #createSaslToken() implementation between ZooKeeperSaslClient#createSaslToken(). 
0, Line, //  If notification > current, replace and send messages out 
0, Line, //  check for differences 
0, Line, //  the clients may or may not have already reconnected   to the recovered cluster, force a check, but ignore 
0, Line, //  zks cannot be null otherwise we would not have gotten here! 
0, Line, //  check leader running status 
0, Line, //  reconnect with the same session id 
0, Line, //  delete the node in the trie.   we need to update the trie as well 
0, Line, //  or diff 
0, Line, //  10.10.10.4:1238, 10.10.10.3:1237, 10.10.10.2:1236 
0, Line, //  lets assert that the first election is the leader 
0, Line, //  for a dead peer                  
0, Line, //  If a null Stat object is passed the create should still   succeed, but no Stat info will be returned. 
0, Line, //  ignore connection loss 
0, Line, //  Filter out the extra ENTRY_CREATE events that are   sometimes seen at the start. Even though we create the watcher   after the file exists, sometimes we still get a create event. 
0, Line, //  connect to one of them 
0, Line, //  Otherwise start worker threads to receive data. 
0, Line, //  sets quorum sasl authentication configurations 
0, Line, //  request.hdr is set for write requests, which are the only ones 
0, Line, //  ensure thread is started once and only once 
0, Line, //  Write the truststore 
0, Line, //  This configuration section 'MyZookeeperClient', is missing from the JAAS configuration.   As a result, SASL authentication should fail, which is tested by this test (testAuth()).
0, Line, //  find the last snapshot 
0, Line, //  We didn't find \n, read the whole buffer into string buffer 
0, Line, //  LocalPeerBean 
0, Block, /*      * Listener thread      */
0, Line, //  /e is unset, its acl should remain the same. 
0, Line, //  good, expected that 
0, Block, /*  The current vote for the leader. Initially me!  */
0, Line, //  Oh well, never mind 
0, Line, //  Width of the toster 
0, Line, //  Verify lastProcessedZxid is set correctly 
0, Line, //  By default, disable starting a JettyAdminServer in tests to avoid   accidentally attempting to start multiple admin servers on the 
0, Block, /*                      * If the peer has done enough rounds, then consider joining. The thread                     * will only join if it is part of a quorum supporting the current                      * leader. Otherwise it will try again.                      */
0, Block, /*  password is test  */
0, Line, //  add watcher for each node and add node to collection of   watched nodes 
0, Line, //  generate new config string 
0, Line, //  do nothing special - stay with the current server 
0, Line, //  Session has been re-validated 
1, Line, //  BUG: Grizzly needs a doc root if you are going to register multiple adapters 
1, Line, //  we don't need to retry this operation in the case of failure   as ZK will remove ephemeral files and we don't wanna hang   this process when closing if we cannot reconnect to ZK 
0, Line, //  exactly as it is now, except for role change 
1, Line, //  This is likely a problem, it means that file reloading is broken, probably because the   directory we are watching was deleted or otherwise became inaccessible (unmounted, permissions   changed, ???).   For now, we log an error and exit the watcher thread. 
0, Line, //  make sure the watch is removed when the connection closed 
0, Line, //  1. start up server and wait for leader election to finish 
0, Line, //  Since SASL authentication has completed (if client is configured to do so),   outgoing packets waiting in the outgoingQueue can now be sent. 
0, Line, //  objects holding a reference to this object. 
0, Line, //  Handle situation of clientSection's being null: it might simply because the client does not intend to    use SASL, so not necessarily an error. 
0, Line, //  Make sure the settings applied above before the socket was potentially upgraded to   TLS still apply. 
0, Line, //  after restart 
0, Line, //  Set the factor to high value so that this test case always   resync using txnlog 
0, Line, //  Trying to load a PEM file with JKS loader should fail 
0, Line, //  ok 
0, Line, //  close the input stream 
0, Line, //  lets wait for any previous leaders to die and one of our new   nodes to become the new leader 
0, Line, //  do nothing. 
0, Line, //  add the last logfile that is less than the zxid 
0, Block, /*  If we've already failed one of the ops, don't bother                     * trying the rest as we know it's going to fail and it                     * would be confusing in the logfiles.                      */
1, Line, //  FIXME this was originally 5 seconds, but realistically, on random/slow/virt hosts, there is no way to guarantee this 
1, Line, //  This is a bit weird but we need to return the address and the number of   bytes (to distinguish between IPv4 and IPv6 
0, Line, //  waiting for child watchers to be notified 
0, Line, //  ensure server started, give enough time, so that new leader election 
0, Block, /*          * Proposed leader          */
0, Line, //  snapshot files in snap dir 
0, Line, //  If session has not been validated, there must be NO watches 
0, Line, //  NO-OP. Adding a packet will already wake up a netty connection   so we don't need to add a dummy packet to the queue to trigger   a wake-up. 
0, Line, //  expected behavior 
0, Line, //  this addr won't even be used since we fake the Socket.connect 
0, Line, //  protocolVersion 
0, Line, //  Second address doesn't work, so we don't call onConnected() this time   StaticHostProvider should try to re-resolve the address in this case
0, Block, /*              * Loop in which we exchange notifications until we find a leader              */
0, Line, //  skip superhammer and clientcleanup as they are too expensive for quorum 
0, Line, // avoid using literal IP address when security check fails 
0, Block, /*      * (non-Javadoc)     *      * @see     * org.apache.zookeeper.inspector.gui.nodeviewer.ZooInspectorNodeViewer#     * nodeSelectionChanged(java.util.Set)      */
0, Block, /*      * Pending sync requests      */
0, Line, //  separate patch. 
0, Line, // Updating version solves conflict -- order matters 
0, Line, //  Creates principals in the KDC and adds them to a keytab file. 
0, Line, //  If the client is asking to close the session then   mark as closing 
0, Line, //  verify ClientCnxnSocketNetty creation 
0, Line, //  After leader election, lastProcessedZxid will point to new epoch 
0, Line, //  prepare for next test 
0, Line, //  small chance that an unexpected message was delivered    after this check, but we would catch that next time    we check events 
0, Line, //  Make delete fo fail, then verify cversion.   this doesn't happen anymore, we only set the cversion on create   LOG.info("Attempting to delete " + "/test/" + (count + 1));   doOp(logFile, OpCode.delete, "/test/" + (count + 1), dt, zk); 
0, Line, //  Get default cipher suites from JDK 
0, Line, //  not necessary to repeat this, expensive and not chroot related
0, Line, //  inject problem in leader 
0, Line, //  During startup of thread, thread name will be overridden to 
0, Block, /*      * Make sure to pass an explicit Watcher because we could be sharing this     * zooKeeper instance with someone else.      */
0, Line, //  make sure tostring works in both cases 
0, Line, //  Deleting child using chRoot client. 
0, Block, /*      * Tests that a conditional reconfig fails if the specified version doesn't correspond     * to the version of the current config.      */
0, Block, /*          * ZOOKEEPER-1324. the leader sends the new config it must complete         *  to others inside a NEWLEADER message (see LearnerHandler where         *  the NEWLEADER message is constructed), and once it has enough         *  acks we must execute the following code so that it applies the         *  config to itself.          */
0, Line, //  close connection 
0, Block, /*      * (non-Javadoc)     *      * @see     * org.apache.zookeeper.inspector.manager.NodeListener#processEvent(java     * .lang.String, java.lang.String, java.util.Map)      */
0, Block, /*                  * Processing committedRequests: check and see if the commit                 * came in for the pending request. We can only commit a                 * request when there is no other request being processed.                  */
0, Line, //  accounted for 
0, Line, //  ignore this one 
0, Line, //  Zookeeper client: get username and password from JAAS conf (only used if using DIGEST-MD5). 
0, Line, //  Packet of death! 
0, Line, //  these tests are serial, we can speed up InterruptedException 
0, Line, //  Add multiple child watches 
0, Line, //  ..but still in progress, because there is a final SASL   message from server which must be received. 
0, Line, //  watch for everyone to die 
0, Line, // close the socket to make sure the  other side can see it being close 
0, Line, //  Test that when we ask for recent snaps we get the number we asked for and 
0, Line, //  from local session 
0, Line, //  Unique identifier for each znode that we create. 
0, Line, //  Follower is within commitLog range 
0, Line, //  Strip off the surrounding quotes 
0, Line, //  Global sessions handled on the leader; this call is a no-op if   not tracked as a local session so safe to call in both cases. 
0, Line, //  were able to talk to the ensemble 
0, Line, //  now lets kill the leader 
0, Line, //  ignore duplicate create 
0, Line, //  Since for each snapshot we have a log file with same zxid, expect same # logs as snaps to be kept 
0, Line, //  should never be null but just to make   findbugs happy 
0, Block, /*                      * When we call put later, if the directBuffer is to                     * small to hold everything, nothing will be copied,                     * so we've got to slice the buffer if it's too big.                      */
0, Line, //  Stop selecting this key while processing on its   connection 
0, Line, //  and restart leader election if config changed. 
0, Line, //  send out the kill signal 
0, Line, //  Propose /foo1 update 
0, Line, //  min is higher   max is lower 
0, Line, //  3. SendThread has not created the authenticating object yet, 
0, Line, //  than 3. 
0, Line, //  Command line args non-null.  Run what was passed. 
0, Line, //  First, filter out votes from unheard-from machines. Then   make the views consistent. Sometimes peers will have 
0, Line, //  Make sure the vote is reset to -1 after shutdown. 
1, Line, //  a bit of a hack, but delete(/) will never succeed and ensures   that the same semantics are maintained 
0, Line, //  we run through 100 snapshots (not all of them)   if we cannot get it running within 100 snapshots   we should  give up 
0, Line, //  Verify the data in the first transaction 
1, Line, //  Everything is a go, simply start counting the ticks   WARNING: I couldn't find any wait statement on a synchronized   block that would be notified by this notifyAll() call, so   I commented it out  synchronized (this) {      notifyAll();  }   We ping twice a tick, so we only update the tick every other 
1, Line, //  TODO(ivmaykov): Not sure if cnxn can be null here. It becomes null if channelInactive()   or exceptionCaught() trigger, but it's unclear to me if userEventTriggered() can run   after either of those. Check for null just to be safe ... 
0, Line, //  In the DIFF case we don't need to do a snapshot because the transactions will sync on top of any existing snapshot   For SNAP and TRUNC the snapshot is needed to save that history 
0, Line, //  this will cause everything to shutdown on   this learner handler and will help notify   the learner/observer instantaneously
0, Line, //  there is only server in the quorum -- run as standalone 
0, Line, //  Don't log an error for shutdown.
0, Line, //  assuming that a version uniquely identifies a configuration, so if   version is the same, nothing to do here. 
0, Line, //  third party customized getAppConfigurationEntry could throw IllegalArgumentException when JAAS   configuration isn't set. We can reevaluate whether to catch RuntimeException instead when more    different types of RuntimeException found 
0, Line, //  Number of machines stayed the same, my server is not in the new 
0, Line, //  skip the proposals the peer already has 
0, Line, //  for Learner): 
0, Line, //  Wait for request completion infinitely 
0, Line, //  Id 
0, Line, //  see ZOOKEEPER-3320 for more details 
0, Line, // no candidate acked p, return the best candidate found so far 
