oracle, Pattern, NLP, TM, MAT, MAT_TM, MAT_NLP,Comments
1,0,1,0,1,1,1,//  TODO this should not be using the default charset because it's not an input and might introduce flakiness 
1,0,1,1,1,1,1,//  TODO Make this work with pending elements
1,0,1,1,1,1,1,/*  * The DSL for declaring plugins to inject into an included build. * * TODO: Plugins need to be located in this build's buildSrc. * * @since 4.6  */
1,0,1,1,1,1,1,//  TODO some kind of context of why the method was attached (e.g. which plugin declared the rule)   TODO some kind of instance state for the method (might be the same as context above) 
1,0,1,1,1,1,1,//  TODO: Need to track version/implementation of symbol strip tool. 
1,0,1,0,0,0,0,//  Return a dummy implementation of this as creating a real hasher drags ~20 more services   along with it, and a hasher isn't actually needed on the worker process side at the moment. 
1,0,0,1,0,1,1,//  there's a risk, for some methods, that the hash is always   recomputed but it won't be worse than before 
1,0,0,0,0,0,0,//  This isn't quite right. Should close the worker classpath cache once we're finished with the worker processes. This may be before the end of this build   or they may be used across multiple builds 
1,0,1,1,1,1,1,//  TODO Need a better mechanism to wire tasks into lifecycle 
1,0,0,1,1,1,1,//  TODO:Cedric This is not quite right. We assume that if we are asking for a specific binary, then we resolve to the assembly instead   of the jar, but it should be somehow parameterized 
1,0,0,0,1,1,1,//  Ensure that at most one action that may have access to the mutable state of the build runs at a given time   TODO - move this to a better home and reuse 
1,0,0,0,1,1,1,//  TODO:HH Use managed views for this, only applied when the respective language is applied
1,0,1,1,1,1,1,//  TODO: There has to be a simpler way to do this.   We want to create a buildable filecollection based on a filtered view of selected source directory sets 
1,0,0,1,1,1,1,//  Passing null for sha1 - TODO - consider using the etag which is an MD5 hash of the file (when less than 5Gb) 
1,0,0,0,1,1,1,//  TODO:ADAM - need to do this earlier 
1,0,1,1,1,1,1,//  TODO - exception when no default type 
1,0,0,0,0,0,0,//  Don't force evaluation of rules here, let the task container do what it needs to
1,0,1,1,1,1,1,//  result is a scala.util.Either   right is a Seq of files that were generated   left is routes compilation errors   TODO: It might be nice to pass along these errors in some way 
1,0,0,1,1,1,1,//  TODO deleteOnExit won't clean up non-empty directories (and it leaks memory for long-running processes). 
1,0,1,1,1,1,1,/*  * Meta-info about a Java component. * * TODO - this is some legacy stuff, to be merged into other component interfaces  */
1,0,1,0,1,1,1,//  TODO: Need to track version/implementation of symbol extraction tool. 
1,0,1,1,1,1,1,//  TODO: This should be modeled differently, perhaps as a dependency on the implementation configuration 
1,0,0,0,0,0,0,//  This is not super nice, but dependencies are created through reflection, for decoration   and assume a constructor with 3 arguments (Group, Name, Version) which is suitable for   most cases. We could create an empty attribute set directly in the AbstractDependencyImpl,   but then it wouldn't be mutable. Therefore we proceed with "late injection" of the attributes 
1,0,0,0,1,1,1,//  TODO - should split this up, so that the inputs are attached to an object that represents the binary, which is then later used to configure the link/assemble tasks 
1,0,0,1,0,1,1,//  we need to wrap this into a loop, because there's always a risk   that the method, which is weakly referenced, has been collected   in between the creation time and now 
1,0,1,1,1,1,1,//  TODO(daniel): Should support in a better way multi file invocation. 
1,0,0,0,0,0,0,//  It's true right now that this is always coming from the TestKit, but might not be in the future.
1,0,1,1,1,1,1,//  TODO - don't select again here, as the selection is already performed to select the toolchain 
1,0,1,1,1,1,1,//  TODO include link to documentation giving more explanation of what's going on here. 
1,0,1,0,1,1,1,//  TODO: Migrate this away from here 
1,1,1,0,0,0,0,//  This looks ugly, very ugly, but that is apparently what Ant does itself 
1,0,1,1,1,1,1,//  TODO - should be incremental 
1,0,1,1,1,1,1,//  TODO: this is terrible 
