oracle, Pattern, NLP, TM, MAT, MAT_TM, MAT_NLP,Comments
1,0,1,1,1,1,1,//  todo: inner class nodes don't have an objectInitializers field available 
1,0,1,1,1,1,1,/*          * TODO: Remove after JDK9 is the minimum JDK supported         *         * JDK9+ correctly accounts for the synthetic parameter and when it becomes         * the minimum version this method should no longer be required.          */
1,0,0,0,0,0,0,//         currently char isn't found due to a bug, so go with Object 
1,0,1,1,1,1,1,//  TODO check specified type is assignable from declared param type?   ClassNode type = getMemberClassValue(namedParam, "type"); 
1,0,1,1,1,1,1,/*  todo these special cases should be special MetaClasses maybe  */
1,0,1,1,1,1,1,//  @todo - refactor pulling generic parser interface up 
1,1,0,1,1,1,1,//  hack to reformat other groovydoc block tags (@see, @return, @param, @throws, @author, @since) into html 
1,0,1,1,1,1,1,/*  To swap two children of node t...     *     *<pre>     *   (t)     *    |     *    |     *   (a) -- (b)     *     * t.down = firstNode     * a.right = b     * b.right = null     *</pre>     * becomes     *<pre>     *   (t)     *    |     *    |     *   (b) -- (a)     *     * t.down = b     * a.right = null     * b.right = a     *</pre>     *     * todo - build API of basic tree mutations like this method.      */
1,0,1,1,1,1,1,// TODO: in case of the array we could maybe make a partial check 
1,0,1,1,1,1,1,//  TODO: maybe define a Throwable and use it here instead of Object 
1,0,1,1,1,1,1,// TODO: change that to get the correct scope 
1,0,1,0,1,1,1,/*  * @todo multi threaded compiling of the same class but with different roots * for compilation... T1 compiles A, which uses B, T2 compiles B... mark A and B * as parsed and then synchronize compilation. Problems: How to synchronize? * How to get error messages? *  */
1,0,1,1,0,1,1,// workaround for Groovy-835 
1,0,0,1,0,1,1,// There HAS to be a better way to do this! 
1,0,0,0,0,0,0,//  Groovy allows more characters than Character.isValidJavaIdentifier() would allow   if we find a good way to encode special chars we could remove (some of) these checks 
1,0,1,1,1,1,1,//  TODO: this might not do enough or too much   But it is a good start without spreading logic everywhere 
1,1,1,1,1,1,1,//  hack warning! fragile! TODO find a better way 
1,0,1,1,1,1,1,/*      * TODO: Should return the URI for this source, but we can't know what it is here.     *     * @return null      */
1,0,0,1,1,1,1,//  TODO includes? excludes? 
1,0,1,1,1,1,1,//  cast with explicit weaker generics for now to keep jdk6 happy, TODO: find better fix 
1,0,1,1,1,1,1,// TODO: report multiple missing labels of the same name only once? 
1,0,1,1,1,1,1,//  GROOVY-6337 HACK: in case newly created field is @Lazy 
1,0,1,1,1,1,1,//  ignore   TODO should use a low priority logger 
1,0,1,1,1,1,1,//  TODO the buffer is not read up to the end, but up to length - 6 
1,0,1,1,1,1,1,//  FIXME no implementation?          SoftDoubleKeyMap.Entry val = (SoftDoubleKeyMap.Entry) assignableMap.getOrPut(klazz, aClass, null); 
1,0,1,1,1,1,1,//  todo: this might not work correctly for absolute paths 
1,0,1,1,1,1,1,// TODO: don't ignore inner static classes completely 
1,0,1,1,1,1,1,//  TODO store this on root node? reset bodyText? 
1,0,0,1,1,1,1,//  TODO use PackageNode instead here? 
1,0,0,1,1,1,1,//  TODO: move somewhere else GROOVY-1874 
1,0,1,1,1,1,1,//  TODO consider moving initcode to <clinit> and remaking field final 
1,0,0,1,1,1,1,// TODO: inner classes mean a different this-type. This is ignored here! 
1,0,0,0,0,0,0,//  this is only correct in this context here, normally   we would have to compile against compareTo if available   but since we don't compile here, this one is enough 
1,0,1,1,1,1,1,//    FIXME: Use List<String> here, current version is not safe   
1,1,1,1,1,1,1,//  temporary hack 
1,0,1,1,1,1,1,//  todo windows?? 
1,0,1,1,1,1,1,//    HACK: For now force all classes to compile, so we pick up stub changes 
1,0,0,0,1,1,1,//  TODO instead of catching Object<T> here stop it from being placed into type in first place 
1,0,1,1,1,1,1,//  TODO should we check package node doesn't already exist? conflict? 
1,0,0,1,1,1,1,//  TODO: For GROOVY-2599 do we need something like below but it breaks other things              return (String) invokeMethod(arguments, "toString", EMPTY_ARGS); 
1,0,1,1,1,1,1,//  TODO make EmptyExpression work   partially works but not if only thing in script   return EmptyExpression.INSTANCE; 
1,0,1,1,1,1,1,//  todo - possibly check for line/col with values of 0 or less... 
