oracle, Pattern, NLP, TM, MAT, MAT_TM, MAT_NLP,Comments
1,0,1,0,1,1,1,/*                      * TODO Extensions like Flex Mojos use custom scopes like "merged", "internal", "external", etc. In                     * order to don't break backward-compat with those, only warn but don't error out.                      */
1,0,1,0,1,1,1,/*      * TODO this needs to accept a {@link OverConstrainedVersionException} as returned by     *       {@link #getVersionRangeViolation(int)} but it's not used like that in     *       DefaultLegacyArtifactCollector      */
1,0,1,0,0,0,0,//  it's the building of the grandchild project, having already cached the child project   (but not the parent project), which causes the problem. 
1,0,1,1,1,1,1,//  TODO I would like to get rid of this. jvz. 
1,0,0,0,0,0,0,/*          * NOTE: This should be considered a quirk to support interop with Maven's legacy ArtifactDeployer which         * processes one artifact at a time and hence cannot associate the artifacts from the same project to use the         * same timestamp+buildno for the snapshot versions. Allowing the caller to pass in metadata from a previous         * deployment allows to re-establish the association between the artifacts of the same project.          */
1,0,1,1,1,1,1,//  TODO I'm really wondering where this method belongs; smells like it should be on MavenProject, but for some   reason it isn't ? This localization is kind-of a code smell. 
1,1,1,1,1,1,1,//  TODO: hack because metadata isn't generated in m2e correctly and i want to run the maven i have in the 
1,0,1,1,1,1,1,//  TODO this does not belong here. 
1,0,0,0,0,0,0,//  this is FOUL!          snapshotArtifact.isSnapshot(); 
1,0,0,0,0,0,0,//  NOTE: There's java.nio.charset.MalformedInputException and sun.io.MalformedInputException 
1,0,1,1,1,1,1,/*      * Derive the path portion of the given URL.     *     * @param url the repository URL     * @return the basedir of the repository     * TODO need to URL decode for spaces?      */
1,0,0,1,1,1,1,// TODO restore these if it makes sense 
1,0,1,1,1,1,1,//  TODO could the configuration be passed to lookup and the configurator known to plexus via the descriptor   so that this method could entirely be handled by a plexus lookup? 
1,0,1,1,1,1,1,// TODO error reporting 
1,0,1,1,1,1,1,//  TODO This replacing shouldn't be necessary as user.home should be in the 
1,0,1,1,1,1,1,//  TODO currently this is first wins, but really we should take the latest by comparing either the   snapshot timestamp, or some other timestamp later encoded into the metadata.   TODO this needs to be repeated here so the merging doesn't interfere with the written metadata    - we'd be much better having a pristine input, and an ongoing metadata for merging instead 
1,0,1,1,1,1,1,//  TODO what about wildcards? Just specifying groups? versions? 
1,0,1,1,1,1,1,//  TODO Use StringUtils here 
