oracle, Pattern, NLP, TM, MAT, MAT_TM, MAT_NLP,Comments
1,0,0,0,0,0,0,//  1 will make it throw a RuntimeException - SpEL will let this through 
1,0,0,0,0,0,0,//  simply must not bail; we don't want non-existent resources to result in an Exception 
1,0,1,1,1,1,1,//  for now just make a new array; TODO: optimize 
1,0,0,0,0,0,0,//  Read-write transaction -> flush the Hibernate Session.   Further check: only flush when not FlushMode.MANUAL. 
1,0,0,0,0,0,0,//  some case would not have been really necessary, but we can't know this at this point). 
1,0,0,0,0,0,0,//  this test is a bit fragile, but gets the job done, proving that an   attempt was made to look up the AJ aspect. It's due to classpath issues   in .integration-tests that it's not found.
1,0,0,1,0,1,1,//  Instantiation failure, maybe too early... 
1,0,1,1,1,1,1,/* 	 * Eat an identifier, possibly qualified (meaning that it is dotted).	 * TODO AndyC Could create complete identifiers (a.b.c) here rather than a sequence of them? (a, b, c)	  */
1,0,1,1,1,1,1,//  TODO: broken comparison since Mockito 2.2 upgrade   verifyIdenticalInvocations(expectedLexicalHandler, actualLexicalHandler); 
1,0,0,0,0,0,0,//  Is the test class annotated with @TestConstructor? 
1,0,0,0,0,0,0,//  should not be called, since we return false for canRead(Class) 
1,0,1,1,1,1,1,//  TODO don't lose generic info for the new map 
1,0,1,1,1,1,1,//  we have work todo... 
1,0,0,0,0,0,0,//  Abort test? 
1,0,0,0,0,0,0,//  Default reader selection necessary? 
1,0,1,1,1,1,1,//  TODO Determine why setExceptionToRaise() is unused. 
1,0,0,0,0,0,0,//  We don't trust the JMS provider: It might throw RuntimeException or Error. 
1,0,1,1,1,1,1,//  TODO Future optimization - if followed by a static method call, skip generating code here 
1,0,1,1,1,1,1,//  TODO: Optimization: Process only if this() specifies a type and not an identifier. 
1,0,0,0,0,0,0,//  Have we already encountered that Locale before? 
1,0,0,0,0,0,0,//  Direct annotation present? 
1,0,1,1,1,1,1,// FIXME revisit in case of reentrant sync deadlock
1,0,0,0,0,0,0,//  It has already caused a field error with a rejected value. 
1,0,0,1,1,1,1,//  TODO - only handles 2-dimensional arrays 
1,0,1,1,1,1,1,//  TODO: Make me final when deprecated methods are removed 
1,0,1,1,1,1,1,//  TODO [SPR-13537] Change equalTo(null) to equalTo(""). 
1,0,1,1,1,1,1,//  TODO: error? 
1,0,0,0,0,0,0,//  Has the existing bean definition bean marked as a framework-generated bean? 
1,0,0,0,0,0,0,//  Resolve plain BeanDefinition, without contained name: use dummy name. 
1,0,0,0,0,0,0,//  Expose RequestContext? 
1,0,0,0,0,0,0,//  Is the stream closed? 
1,0,1,0,1,1,1,//  TODO May fail on either call: may want to tighten up definition 
1,0,0,0,0,0,0,//  verification!? 
1,0,0,1,1,1,1,/* 	 * SPR-6038: detect HSQL and stop illegal locks being taken.	 * TODO: Against Quartz 2.2, this test's job doesn't actually execute anymore...	  */
1,0,0,0,0,0,0,//  If they were numbers, were they compatible? 
1,0,0,0,0,0,0,//  Direct match? 
1,0,1,1,1,1,1,//  TODO should be able to make this assertion: need to fix target handling   in AdvisedSupport  assertEquals(target2, ((Advised) proxied).getTarget()); 
1,0,0,1,1,1,1,//  TODO: shouldn't the wildcard lower the score?  		assertEquals(-1,  				comparator.compare(parse("/hotels/new"), parse("/hotels/new.*"))); 
1,0,1,1,1,1,1,//  TODO this will currently map, would be nice for optimization  assertTrue(ajexp.matches(HasGeneric.class));  assertFalse(ajexp.matches(TestBean.class)); 
1,0,0,0,0,0,0,//  Value not of required type? 
1,0,0,1,0,1,1,//  Plain PersistenceException wrapper for underlying exception?   Make sure the nested exception message is properly exposed,   along the lines of Spring's NestedRuntimeException.getMessage() 
1,0,0,0,0,0,0,//  Open frame not sent yet?   If in the session initialization thread, then cache, otherwise wait. 
1,0,1,1,1,1,1,//  TODO: remove reflection when build requires JDK 9+ 
1,0,0,0,0,0,0,//  Custom editor for this type? 
1,0,1,1,1,1,1,//  TODO: optimize 
1,0,1,1,1,1,1,//  TODO better exception handling 
1,0,0,0,0,0,0,//  Could actually try to figure out interface from create? 
1,0,0,0,0,0,0,//  Remove corresponding bean from singleton cache, if any. Shouldn't usually   be necessary, rather just meant for overriding a context's default beans 
1,0,0,0,0,0,0,//  For MySQL: exception class name indicating a timeout? 
1,0,0,0,0,0,0,//  It would be nice to partially match a path and get any bound variables in one step 
1,0,1,1,1,1,1,//  TODO -- this fails with NPE due to ArrayToObject converter - discuss with Andy  setValueExpectError("arrayContainer.doubles[1]", new ArrayList<String>());  setValueExpectError("arrayContainer.shorts[1]", new ArrayList<String>()); 
1,0,0,1,1,1,1,//  TODO: make sure Callback is null 
1,0,1,1,1,1,1,//  TODO if you change type pattern from org.springframework.beans..*   to org.springframework..* it also matches introduction.   Perhaps generated advisor bean definition could be made to depend   on the introduction, in which case this would not be a problem.
1,0,0,0,0,0,0,//  JSR-330 API not available - Provider interface simply not supported then. 
1,0,1,1,1,1,1,//  TODO document this behaviour. 
1,0,0,0,0,0,0,//  We can optimize this because it's all new:   There is no replacement of existing property values. 
1,0,0,0,0,0,0,//  one error (should not include delimiter) 
1,0,0,0,0,0,0,// bad method (too many args, doesn't obey class contract) 
1,0,1,1,1,1,1,//  TODO replace this check: no longer possible  assertEquals(advised.getTarget(), this); 
1,0,1,1,1,1,1,//  TODO this seems rather bogus, should we eagerly show an error? 
1,0,1,1,1,1,1,//  TODO is this caching safe - passing the expression around will mean this executor is also being passed around 
1,0,1,0,1,1,1,//  TODO possible optimization here if we cache the discovered type reference, but can we do that? 
1,0,1,1,1,1,1,// FIXME inline? 
1,0,1,1,1,1,1,//  TODO might want to control this behaviour...   Do we really want to call remove after a remote exception? 
1,0,0,0,1,1,1,//  TODO used to catch UnknownAdviceTypeException, but   with CGLIB some errors are in proxy creation and are wrapped   in aspect exception. Error message is still fine.  assertTrue(ex.getMessage().indexOf("ntroduction") > -1);
