oracle, Pattern, NLP, TM, MAT, MAT_TM, MAT_NLP,Comments
1,0,0,0,1,1,1,// TODO support multiple levels of includes 
1,0,0,0,0,0,0,//  When all nimbodes go down and one or few of them come up   Unfortunately there might not be an exact way to know which one contains the most updated blob, 
1,0,0,0,1,1,1,//  TODO: this assumes key is only from the one field   if not we need to have order of fields in PK 
1,0,0,0,0,0,0,//  the following code is duplicated in the constructor of MqttPublisher   we reproduce it here so we fail on the client side if SSL is misconfigured, rather than when the topology   is deployed to the cluster 
1,0,0,0,0,0,0,//  should remove the third blob, because the first has the reset timestamp 
1,0,0,0,0,0,0,//  Get rid of multiple '/' in url
1,0,0,0,1,1,1,//  Todo: Track file offsets instead of line number 
1,0,1,0,1,1,1,//  TODO support more configuration options, for now we're defaulting to the hbase-*.xml files found on the classpath 
1,1,0,1,0,1,1,// This is a bit ugly, but it works.  In order to maintain the same directory structure that existed before   we need to have storm conf, storm jar, and storm code in a shared directory, and we need to set the   permissions for that entire directory, but the tracking is on a per item basis, so we are going to end   up running the permission modification code once for each blob that is downloaded (3 times in this case).   Because the permission modification code runs in a separate process we are doing a global lock to avoid   any races between multiple versions running at the same time.  Ideally this would be on a per topology   basis, but that is a lot harder and the changes run fairly quickly so it should not be a big deal. 
1,0,1,0,0,0,0,// Could not find a "fully" compatible version.  Look to see if there is a possibly compatible version right below it 
1,0,0,0,0,0,0,// ResourceUtils.java is not a available on the classpath to let us parse out the resources we want. 
1,0,0,0,0,0,0,//  Files/move with non-empty directory doesn't work well on Windows   This is not atomic but it does work 
1,0,0,0,0,0,0,/*  Not thread safe. Have one instance per producer thread or synchronize externally  */
1,0,0,0,1,1,1,//  TODO substitution implementation is not exactly efficient or kind to memory... 
1,0,1,1,1,1,1,// TODO need a better way to do this 
1,0,1,0,1,1,1,//  TODO: Need to be able to set the tick tuple time to the message timeout, ideally without parameterization 
1,0,0,0,0,0,0,/*              * Connection is unavailable. We will drop pending messages and let at-least-once message replay kick in.             *             * Another option would be to buffer the messages in memory.  But this option has the risk of causing OOM errors,             * especially for topologies that disable message acking because we don't know whether the connection recovery will             * succeed  or not, and how long the recovery will take.              */
1,0,1,0,1,1,1,//  TODO: consider adding a shuffle grouping after the spout to avoid so much routing of the args/return-info all over the place   (at least until its possible to just pack bolt logic into the spout itself) 
1,1,0,1,1,1,1,//  This is a hack for non-ras scheduler topology and worker resources 
1,0,1,1,1,1,1,// TODO move this logic to the model class 
1,0,0,0,0,0,0,// For some reason on the new code if ackers is null we get 0??? 
1,1,0,1,1,1,1,// This is a bit of a hack.  If it is a list, then it is [component, stream]  we want to format this as component:stream 
1,0,1,0,1,1,1,// TODO: DRY this code up with what's in ChainedAggregatorImpl 
1,0,0,0,0,0,0,//  should we fail the tuple or kill the worker? 
1,0,1,1,1,1,1,// TODO streams should be uniquely identifiable 
1,0,1,0,1,1,1,// TODO I would love to standardize this... 
1,0,1,1,1,1,1,//  FIXME: This class can be moved to webapp once UI porting is done. 
1,0,0,0,0,0,0,//  This isn't strictly necessary, but it doesn't hurt and ensures that the machine stays up   to date even if callbacks don't all work exactly right 
1,0,0,0,0,0,0,//  To work around it we should get it an alternative (working) way. 
1,0,0,0,0,0,0,//  Is the topology ZooKeeper authentication configuration unset? 
1,0,0,0,0,0,0,//  read s1 last....  This should cause s2 to be evicted on next put 
1,0,0,0,1,1,1,//  TODO more collection content type checking 
1,0,1,0,1,1,1,//  FIXME: We're using default config since it cannot be serialized   We still needs to provide some options externally 
1,0,1,1,1,1,1,// TODO this can only ever be null if someone is doing something odd with mocking   We should really fix the mocking and remove this 
1,0,1,1,1,1,1,// TODO put in some better exception mapping...  TODO move populateContext to a filter... 
1,0,0,0,0,0,0,//  should we fail the batch or kill the worker? 
1,0,1,1,1,1,1,// Getting the exact response code is a bit more complex.  TODO should use a better client 
1,1,1,0,1,1,1,/*      * TODO: should worker even take the topologyId as input? this should be deducible from cluster state (by searching through assignments)     * what about if there's inconsistency in assignments? -> but nimbus should guarantee this consistency.     *     * @param conf           - Storm configuration     * @param context        -     * @param topologyId     - topology id     * @param assignmentId   - assignment id     * @param supervisorPort - parent supervisor thrift server port     * @param port           - port on which the worker runs     * @param workerId       - worker id      */
1,1,0,0,0,0,0,// This is a bit ugly, but it shows how this would happen in a worker so we will use the same APIs 
1,0,1,1,1,1,1,//  FIXME: stores map (topoConf), topologyContext and expose these to derived classes 
1,0,0,0,0,0,0,// Original implementation doesn't actually check if delete succeeded or not. 
1,0,0,0,0,0,0,//  it doesn't seem like you should have to do this, but java serialization is wacky, and doesn't call the default constructor. 
1,1,0,0,0,0,0,// This is a bit ugly The JSON we are expecting should be in the form   {"component": {"resource": value, ...}, ...}   But because value is coming from JSON it is going to be a Number, and we want it to be a Double.   So the goal is to go through each entry and update it accordingly 
1,0,0,0,0,0,0,// We may (though unlikely) lose metering here if state transition is too frequent (less than a millisecond) 
1,0,0,0,0,0,0,//  do we want to throw an exception if path doesn't exist?? 
1,0,1,1,1,1,1,// TODO a better way to do this would be great. 
1,0,1,1,1,1,1,// TODO in the future this might be better in a common webapp location 
1,0,1,1,1,1,1,//  FIXME: it should be moved to storm-client when serialization-test.clj can be removed 
1,0,0,0,1,1,1,// TODO figure out how we want to deal with overrides. Users may want to add streams even when overriding other   properties. For now we just add them blindly which could lead to a potentially invalid topology. 
1,0,0,0,0,0,0,// More accurate that thread.sleep, but still not great 
1,0,1,0,1,1,1,//  todo, ignore the master batch coordinator ? 
1,1,1,0,0,0,0,// This test is rather ugly, but it is the only way to see if the error messages are working correctly. 
1,0,1,0,1,1,1,//  TODO: need to be able to replace existing fields with the function fields (like Cascading Fields.REPLACE) 
1,0,1,0,1,1,1,// TODO: wrap this to set the stream name 
1,0,1,1,1,1,1,// TODO: this isn't right... it's not in the map anymore 
1,0,1,0,1,1,1,// TODO: add a method for drpc stream, needs to know how to automatically do return results, etc   is it too expensive to do a batch per drpc request? 
1,0,0,1,1,1,1,// TODO: do the inner join incrementally, emitting the cross join with this tuple, against all other sides  TODO: only do cross join if at least one tuple in each side 
1,0,1,0,1,1,1,// TODO once everything is in java this should not be possible any more 
1,0,0,0,0,0,0,// heck for backward compatibility, we need to pass TOPOLOGY_AUTO_CREDENTIALS to hbase conf  the conf instance is instance of persistentMap so making a copy. 
1,1,0,1,1,1,1,// This is a hack to allow ZooKeeperMain to be called by this command. 
1,0,1,1,0,1,1,// Perhaps there is a better way to do this??? 
1,0,1,0,1,1,1,//  TODO: can optimize further by only querying backing map for keys not in the cache 
1,0,1,0,1,1,1,// TODO this is causing issues... 
1,0,1,0,1,1,1,/*  TODO: need to invoke a hook provided by the topology, giving it a chance to create user resources.         * this would be part of the initialization hook         * need to separate workertopologycontext into WorkerContext and WorkerUserContext.         * actually just do it via interfaces. just need to make sure to hide setResource from tasks          */
1,0,1,0,0,0,0,/*  Not implemented  */
1,0,0,0,1,1,1,//  TODO: What would be a good test to ensure that RankableObjectWithFields is at least somewhat defensively copied? 
1,0,1,0,1,1,1,//  TODO: in the future, want a way to include this logic in the spout itself,   or make it unnecessary by having storm include metadata about which grouping a tuple   came from 
1,0,0,1,1,1,1,//  TODO: does this work well on windows? 
1,0,0,0,0,0,0,//  FileContext supports atomic rename, whereas FileSystem doesn't 
1,0,1,0,1,1,1,// Not enough guaranteed use the age of the topology instead.  TODO need a good way to only do this once... 
1,0,0,0,0,0,0,//  Use parseWithException instead of parse so we can capture deserialization errors in the log.   They are likely to be bugs in the spout code. 
1,0,0,0,1,1,1,//  TODO: take away knowledge of storm's internals here 
1,0,1,0,1,1,1,// TODO we should handle '\n'. ref DelimitedRecordFormat 
1,0,0,0,1,1,1,/*  TODO: make sure test these two functions in manual tests  */
1,0,1,0,1,1,1,// TODO get this from type instead of hardcoding to Nimbus.  establish client-server transport via plugin 
1,0,0,0,0,0,0,// There is a bug in some versions that returns 0 for the uptime. 
1,0,0,0,0,0,0,//  need to set active false before calling onKill() - current implementation does not return. 
1,0,0,0,0,0,0,// this is kind of unnecessary for clojure 
1,0,1,1,1,1,1,//  TODO this class is reserved for supporting messages with different schemas.   current only one schema in the cache 
1,0,0,0,0,0,0,//  -- bad files dir config 
1,0,0,1,1,1,1,//  FIXME: we can filter by listKeys() with local blobstore when STORM-1986 is going to be resolved   as a workaround, we call getBlobMeta() for all keys 
1,0,0,1,0,1,1,// 1 min.  This really means something is wrong.  Even on a very slow node 
1,0,0,0,1,1,1,// TODO check for null grouping args 
1,0,0,1,1,1,1,// TODO perhaps we can adjust the frequency later... 
1,0,0,0,0,0,0,// re-establish connection to eventhub servers using the right offset  TBD: might be optimized with cache. 
1,0,1,0,1,1,1,// TODO Handle the case where there may be no schema 
1,0,0,0,0,0,0,// It seems safer not to follow symlinks, since we don't expect them here 
1,0,1,1,1,1,1,//  this is because json doesn't allow numbers as keys...   TODO: replace json with a better form of encoding 
1,0,0,1,1,1,1,//  Todo: optimize this computation... perhaps inner loop can be outside to avoid rescanning tuples 
1,0,0,0,0,0,0,// Likely it is because of a bug, so try to get it another way 
0,0,0,0,0,0,0,//  while disabling we retain the sampling pct. 
0,0,0,0,0,0,0,//  hearbeat upon it 
0,0,0,0,0,0,0,//  REQUESTED_MEMONHEAP 
0,0,0,0,0,0,0,//  test environment variable substitution 
0,0,0,0,0,0,0,//  ASSIGNMENTS 
0,0,0,0,0,0,0,// Verify that all messages are emitted, ack all the messages 
0,0,0,0,0,0,0,//  EXECUTION_COMMAND 
0,0,0,0,0,0,0,//  boolean to track deactivated state 
0,0,0,0,0,0,0,/*              * track punctuation in non-batch mode so that the             * punctuation is acked after all the processors have emitted the punctuation downstream.              */
0,0,0,0,0,0,0,//  local executors and localTaskIds running in this worker 
0,0,0,0,0,0,0,//  only emit if we have declared fields. 
0,0,0,0,0,0,0,//  all types of files included 
0,0,0,0,0,0,0,// We want to capture the full time range, so the target size is as   if we had one bucket less, then we do 
0,0,0,0,0,0,0,// use batch size that matches the default credit size 
0,0,0,0,0,0,0,//  use the local setting for the login config rather than the topology's 
0,0,0,0,0,0,0,//  Get the nimbodes with the latest version 
0,0,0,0,0,0,0,//  destination taskId 
0,0,0,0,0,0,0,//  component 
0,0,0,0,0,0,0,// Fail the last emitted tuple and verify that the spout won't retry it because it's above the emit limit. 
0,0,0,0,0,0,0,//  If we generate a null response, then authentication has completed   (if not, warn), and return without sending a response back to the   server. 
0,0,0,0,0,0,0,// supervisor assignment id/supervisor id 
0,0,0,0,0,0,0,//  the WindowManager scan loop early. 
0,0,0,0,0,0,0,//  failed to send the JMS message, fail the tuple fast
0,0,0,0,0,0,0,// Set the first assignment 
0,0,0,0,0,0,0,// com.mysql.jdbc.jdbc2.optional.MysqlDataSource  jdbc:mysql://localhost/test  root 
0,0,0,0,0,0,0,/*                                                *  Update the count in the state. Here the first argument 0L is the initial value for the                                               *  count and                                               *  the second argument is a function that increments the count for each value received.                                                */
0,0,0,0,0,0,0,//  test write 
0,0,0,0,0,0,0,//  KEY 
0,0,0,0,0,0,0,//  TOPOLOGY_ID 
0,0,0,0,0,0,0,// Start emitting right now 
0,0,0,0,0,0,0,// format of date in worker logs 
0,0,0,0,0,0,0,/*  Map  */
0,0,0,0,0,0,0,//  use different blobstore dir so it doesn't conflict with other test 
0,0,0,0,0,0,0,//  timestamp either in milliseconds or seconds at which this metric is occurred. 
0,0,0,0,0,0,0,//  NO-OP 
0,0,0,0,0,0,0,// Update the current count for this object 
0,0,0,0,0,0,0,//  Ranked fourth since rack-3 has alot of memory but not cpu 
0,0,0,0,0,0,0,/*      * Each ControlMessage is encoded as:     *  code (<0) ... short(2)     * Each TaskMessage is encoded as:     *  task (>=0) ... short(2)     *  len ... int(4)     *  payload ... byte[]     *      */
0,0,0,0,0,0,0,//  This call returns immediately 
0,0,0,0,0,0,0,//  For testing 
0,0,1,0,0,0,0,//  Test2: test when no more workers are available due to topology worker max heap size limit but there is memory is still available   wordSpout2 is going to contain 5 executors that needs scheduling. Each of those executors has a memory requirement of 128.0 MB   The cluster contains 4 free WorkerSlots. For this topolology each worker is limited to a max heap size of 128.0   Thus, one executor not going to be able to get scheduled thus failing the scheduling of this topology and no executors of this 
