oracle, Pattern, NLP, TM, MAT, MAT_TM, MAT_NLP,Comments
1,0,0,0,0,0,0,//  BUG: Grizzly needs a doc root if you are going to register multiple adapters 
1,0,0,0,0,0,0,//  we don't need to retry this operation in the case of failure   as ZK will remove ephemeral files and we don't wanna hang   this process when closing if we cannot reconnect to ZK 
1,0,0,0,0,0,0,//  This is likely a problem, it means that file reloading is broken, probably because the   directory we are watching was deleted or otherwise became inaccessible (unmounted, permissions   changed, ???).   For now, we log an error and exit the watcher thread. 
1,0,1,1,1,1,1,//  FIXME this was originally 5 seconds, but realistically, on random/slow/virt hosts, there is no way to guarantee this 
1,0,0,0,0,0,0,//  This is a bit weird but we need to return the address and the number of   bytes (to distinguish between IPv4 and IPv6 
1,1,1,1,1,1,1,//  a bit of a hack, but delete(/) will never succeed and ensures   that the same semantics are maintained 
1,0,0,0,0,0,0,//  Everything is a go, simply start counting the ticks   WARNING: I couldn't find any wait statement on a synchronized   block that would be notified by this notifyAll() call, so   I commented it out  synchronized (this) {      notifyAll();  }   We ping twice a tick, so we only update the tick every other 
1,0,0,0,1,1,1,//  TODO(ivmaykov): Not sure if cnxn can be null here. It becomes null if channelInactive()   or exceptionCaught() trigger, but it's unclear to me if userEventTriggered() can run   after either of those. Check for null just to be safe ... 
1,0,0,0,0,0,0,//  could not create tmp directory to hold JAAS conf file : test will   fail now. 
1,0,0,1,1,1,1,//  FIXME this test is Assert.failing due to client close race condition fixing in separate patch for ZOOKEEPER-63      /**       * this test checks to see if the sessionid that was created for the       * first zookeeper client can be reused for the second one immidiately       * after the first client closes and the new client resues them.       * @throws IOException       * @throws InterruptedException       * @throws KeeperException       */ 
1,0,1,1,1,1,1,//  TODO: need to tune the default value of thread size 
1,0,1,1,1,1,1,//  TODO refactor QuorumBase to be special case of this 
1,0,0,0,0,0,0,//  This might not be 100% right, but it's only used for printing   connection info in the netty implementation so it's probably ok. 
1,0,0,0,0,0,0,//  Problem 2: Before fix, after session close the ephemeral node   was not getting deleted. But now after the fix after session close 
1,0,0,0,0,0,0,/*          * Observer should write to disk, so that the it won't request         * too old txn from the leader which may lead to getting an entire         * snapshot.         *         * However, this may degrade performance as it has to write to disk         * and do periodic snapshot which may double the memory requirements          */
1,0,0,0,0,0,0,/*          * Occasionally seen false negatives with a 5s timeout.          */
1,0,1,1,1,1,1,//  TODO - investigate why reconfig makes qps null. 
1,0,0,1,1,1,1,//  TODO: if zks.processPacket() is changed to take a ByteBuffer[],   we could implement zero-copy queueing. 
1,0,0,0,0,0,0,//  Note that this performance assumption might not hold true for architectures other than x86_64. 
1,0,0,0,0,0,0,//  Note: the new buffer size is a hint and socket implementation   is free to ignore it, so we don't verify that we get back the   same value. 
1,0,1,1,1,1,1,// TODO should this be synchronized? 
1,0,1,1,1,1,1,// TODO: use a factory rather than a switch 
1,0,1,0,1,1,1,//  XXX No need to do anything 
1,0,0,0,0,0,0,//  Session has not been re-validated ! 
1,0,1,0,0,0,0,//  It is sad that isro and srvr are used by ZooKeeper itself. Need fix this   before deprecating 4lw. 
1,0,1,1,1,1,1,//  TODO we need to figure out the security requirement for this! 
1,0,0,0,0,0,0,//  Problem 1: Follower had one extra ephemeral node /e1 
1,0,1,1,1,1,1,//  TODO: in the future, serverId should be validated for all cases, not just the extendedEphemeralTypesEnabled case   TODO: however, for now, it would be too disruptive 
1,0,0,0,0,0,0,/*              * Since requests are processed in order, we better get a response             * to the first request!              */
1,1,1,1,0,1,1,//  this is ugly, you have a better way speak up 
1,0,1,0,0,0,0,//  An authentication error occurred during authentication with the Zookeeper Server. 
1,0,1,1,1,1,1,/*  TODO: (br33d) we should either put a ConcurrentHashMap on restore()             *       or use Map on save()  */
1,0,1,1,1,1,1,//  TODO: this doesn't use a quorum verifier 
1,0,0,0,0,0,0,/*  a mocked ZK class that doesn't do client-side verification     * before/after calling removeWatches  */
1,0,1,1,1,1,1,//  this shouldn't be necessary (wrapping data with string)   but without it there are problems on the server - ie it   hangs for 30 seconds and doesn't get the data.   TODO investigate 
1,0,1,1,1,1,1,//  Try to provide hints to use about what went wrong so they can fix their configuration.   TODO: introspect about e: look for GSS information. 
1,0,1,1,1,1,1,// FIXME: I don't want to have to serialize it here and then         immediately deserialize in next processor. But I'm         not sure how else to get the txn stored into our list. 
1,0,0,0,0,0,0,// ////////////////   these internal classes are public, but should not generally be referenced. 
1,0,1,1,1,1,1,//  FIXME: IPv6 is not supported. Using something like Guava's HostAndPort          parser would be good. 
1,0,0,0,0,0,0,//  this is really a programmatic error and not something that can   happen at runtime 
1,0,0,0,1,1,1,//  We add backwards since we are pushing into the front   Only send if there's a pending watch   TODO: here we have the only remaining use of zooKeeper in   this class. It's to be eliminated! 
1,0,1,0,1,1,1,//  TODO: Rather than checking a disjunction here, should be a single member   variable or method in this class to determine whether the client is   configured to use SASL. (see also ZOOKEEPER-1455). 
1,0,1,1,1,1,1,//  TODO: maybe we should flush in the loop above every N packets/bytes?   But, how do we determine the right value for N ... 
1,0,0,0,0,0,0,//  Uh oh.  We need to upgrade before we can proceed. 
1,0,1,1,1,1,1,//  TODO: exit server at this point(?) 
1,0,0,0,0,0,0,//  only make a copy if this thread isn't already holding a lock 
1,0,0,0,0,0,0,//  Multiple bad arguments 
1,0,1,0,1,1,1,//  XXX this doesn't need to be volatile! (Should probably be final) 
1,0,0,0,0,0,0,//  test will still fail even though we just log/ignore 
1,0,1,1,1,1,1,//  FIXME ignore for now 
