@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data

'important for async scenario must remove context from current thread always create new rpccontext for the next invoke for the same thread ',positive
'todo move somewhere else better ',positive
'fixme now need check first then load ',positive
'todo contextsessions the best option here jetty becomes ',positive
'todo move names constants ',positive
'ignore concurrent problem ',positive
'todo add this provider config ',positive
'special treatment array values was suggested lizongbo ',positive
'todo should leave this setting slfj ',positive
'fixme when the thread pool full cannot return properly therefore the consumer side has wait until gets timeout this temporary solution prevent this scenario from happening but better solution should considered later ',positive
'the initial value null and the midway may assigned null please use the local variable reference ',positive
'fixme requestcontext ',positive
'possible here ',positive
'for example object transported the wire doesnt implement serializable ',positive
'bug dubbo ',positive
'fixme log error message codec and handle caught iohanndler ',positive
'there may some problem handling chinese negative number recognition ignoring this problem the backspace key only meaningfully input real telnet program ',positive
'this unstable consider remove later see ',positive
'bug dubbo ',positive
'todo more sophisticated exception handling and output ',positive
'todo for now kryo serialization doesnt deny classes that dont implement the serializable interface pre ltdubboprotocol serializationkryo pre ',positive
'delimstart was escaped thus should not incremented ',positive
'todo users can override this mapper but just rely the current priority strategy resteasy ',positive
'fixme waiting for embedded nacos suport then can open the switch ',positive
'todo generic invoker ',positive
'fixme this instance will always type configcenterconfig will load the instance startup and assign here ',positive
'todo not want use spaces see dubbo url class handles special conventions for special characters ',positive
'should destroy resource ',positive
'hack use reflection get the shared channel ',positive
'todo notification failure does not restore mechanism guarantee ',positive
'todo fix npe ',positive
'todo needs use force writing file that buffer gets clear and new log can written ',positive
'reselect before retry avoid change candidate invokers note invokers changed then invoked also lose accuracy ',positive
'todo load spi will better ',positive
'fixme reject exception can not sent consumer because thread pool full resulting consumers waiting till timeout ',positive
'todo refactor using mockito ',positive
'generally client can only closed once here closed twice counter incorrect ',positive
'todo temporary solution the problem that the exception information can not sent the opposite end after the thread pool full need refactoring fix the thread pool full refuses call does not return and causes the consumer wait for time out ',positive
'todo the future maybe can just use single rest client and connection manager ',positive
'caution ',positive
'todo solve merge problem ',positive
'fixme hack make work ',positive
'the buffer big enough ',positive
'bug dubbo version config retryfalse providers method doesnt work ',positive
'fixme this exposes the design flaw routerchain ',positive
'fixme responsecontext ',positive
'todo jetty will default enable keepalive the xml config has effect now ',positive
'cannot write not available ',positive
'todo wrapper cannot handle this scenario correctly the classname contains ',positive
'server side thrift can not handle exceptions not declared idl ',positive
'todo assert error log ',positive
'this class represents unfinished rpc call will hold some context information for this call for example rpccontext and invocation that when the call finishes and the result returns can guarantee all the contexts being recovered the same when the call was made before any callback invoked todo its reasonable even right keep reference invocation link result implements completionstage link asyncrpcresult allows you easily build async filter chain whose status will driven entirely the state the underlying rpc call asyncrpcresult does not contain any concrete value except the underlying value bring completablefuture consider status transfer node link getvalue and link getexception are all inherited from link result interface implementing them are mainly for compatibility consideration because many legacy link filter implementation are most possibly call getvalue directly ',positive
'fixme should put exception future ',positive
'dubbo methods key providers urlone doesnt contain the methods from inherited super interface ',positive
'todo need enhance assertion ',positive
'fixme this code looks useless ',positive
'todo due dubbos current architecture will called from registry protocol the shutdown process and wont appear logs ',positive
'todo can load successfully for different classloader ',positive
'the status input has problem and the read information wrong when the serialization serialized ',positive
'fixme not sure why has both isgeneric and getgeneric ',positive
'fixme result asyncrpcresult instance ',positive
'fixme should cancel and restart timer tasks parameters the new url are different ',positive
'todo extract more code here necessary ',positive
'fixme rmi protocol doesnt support casting echoservice yet ',positive
'dubbos original impl cant support the use servletcontext ',positive
'deprecated subscribe override rules before ',positive
'subscribe the override data fixme when the provider subscribes will affect the scene certain jvm exposes the service and call the same service because the subscribed cached key with the name the service causes the ',positive
'should called after config was fully initialized fixme this method should completely replaced appendparameters return see object string notice this method should include all properties the returning map treat parameter differently compared appendparameters ',positive
'todo can the value returned getchannel null need improvement ',positive
'todo support wildcards ',positive
'fixme cannot guarantee the sequence the merge result check implementation ',positive
'fixme there any need failing back constantsanyvalue the first available method invokers when invokers null ',positive
'todo more configs add ',positive
'bug dubbo provider doesnt have exception output and consumer has timeout error when serialization fails ',positive
'fixme theres place release connectionexecutor ',positive
'todo refactor ',positive
'every invoker has the same weight ',positive
'todo this may not pretty elegant solution ',positive
'fixme log error info codec and put all error handle logic iohanndler ',positive
'cant shutdown nioeventloopgroup because the method will invoked when closing one channel but not client but when and how close the nioeventloopgroup ',positive
'fixme this really necessary should have already covered this see see ',positive
'the resident routers must being initialized before address notification fixme this method should not public ',positive
'todo there may have duplicate refresh ',positive
