@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data

'complex file todo ',positive
'sometimes the grpprl does not contain data every offset have idea why this happens ',positive
'todo handle table sprms from complex files ',positive
'fixme byte array properties not yet implemented ',positive
'fixme byte array properties not yet implemented fixme byte array properties not yet implemented ',positive
'todo clone some more properties ',positive
'todo handle rect path ',positive
'todo implement these needed brtfileversion file version ',positive
'todo depending the formatid getdatetimetext should return formatted date assertequals ',positive
'test freeform object the freeform shape constructed from javaawtgeneralpath check that the getset path accessors are consistent todo verification bezier curves more difficult due rounding error figure out test approach for that author yegor kozlov ',positive
'todo can these ever have formatting them ',positive
'not valid syntax for and theres other valid expression that fits this grammar ',positive
'pdxnanxfxcpdxnan invalid combo ',positive
'copy merged regions that are fully contained the row fixme this something that rowshifter could doing ',positive
'todo handle large papx from data stream ',positive
'todo update body element update xwpf element verify that incoming paragraph belongs this document not xml was copied properly etc ',positive
'test see rangeinsertbefore works even the range contains characterrun that uses unicode characters todo reenable when unicode paragraph stuff fixed ',positive
'some files seem lie about their unicode status which very very pesky try work around these but this ',positive
'todo check the formula once tables and arrays are properly supported ',positive
'todo handle lcid codes ',positive
'todo use new properties ',positive
'todo update this expose first and last sheet indexes ',positive
'get error when parse contenttypesxml because its not valid uri ',positive
'todo work out how report this given cant change the method signature ',positive
'todo document author sergey vladimirov vlsergey gmail dot com ',positive
'fixme this something that rowshifter could doing ',positive
'todo default autobreaks different hssf and xssf ',positive
'need new ctxf for the main styles todo decide style ctxf ',positive
'todo implement more dashing styles ',positive
'hack detect compressed images reality there should some way determine this from the first bytes but cant see any similarity between all the samples have obtained nor any similarity the data block contents ',positive
'todo handle palette colors and alpha value ',positive
'todo check size todo check size todo check size ',positive
'assertrefptgav getptgscell fixme ',positive
'excels with value will output empty where java will output this hack removes the from the format ',positive
'todo check text too once bug fixed ',positive
'todo check can break here page can have more than break the same ',positive
