@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data

'will make throw runtimeexception spel will let this through ',positive
'simply must not bail dont want nonexistent resources result exception ',positive
'for now just make new array todo optimize ',positive
'readwrite transaction flush the hibernate session further check only flush when not flushmodemanual ',positive
'some case would not have been really necessary but cant know this this point ',positive
'this test bit fragile but gets the job done proving that attempt was made look the aspect its due classpath issues integrationtests that its not found ',positive
'instantiation failure maybe too early ',positive
'eat identifier possibly qualified meaning that dotted todo andyc could create complete identifiers abc here rather than sequence them ',positive
'todo broken comparison since mockito upgrade ',positive
'the test class annotated with testconstructor ',positive
'should not called since return false for canreadclass ',positive
'todo dont lose generic info for the new map ',positive
'have work todo ',positive
'abort test ',positive
'default reader selection necessary ',positive
'todo determine why setexceptiontoraise unused ',positive
'dont trust the jms provider might throw runtimeexception error ',positive
'todo future optimization followed static method call skip generating code here ',positive
'todo optimization process only this specifies type and not identifier ',positive
'have already encountered that locale before ',positive
'direct annotation present ',positive
'fixme revisit case reentrant sync deadlock ',positive
'has already caused field error with rejected value ',positive
'todo only handles dimensional arrays ',positive
'todo make final when deprecated methods are removed ',positive
'todo spr change equaltonull equalto ',positive
'todo error ',positive
'has the existing bean definition bean marked frameworkgenerated bean ',positive
'resolve plain beandefinition without contained name use dummy name ',positive
'expose requestcontext ',positive
'the stream closed ',positive
'todo may fail either call may want tighten definition ',positive
'verification ',positive
'spr detect hsql and stop illegal locks being taken todo against quartz this tests job doesnt actually execute anymore ',positive
'they were numbers were they compatible ',positive
'direct match ',positive
'todo should able make this assertion need fix target handling advisedsupport assertequalstarget advised proxiedgettarget ',positive
'todo shouldnt the wildcard lower the score assertequals parsehotelsnew ',positive
'todo this will currently map would nice for optimization ',positive
'value not required type ',positive
'plain wrapper for underlying exception make sure the nested exception message properly exposed along the lines springs ',positive
'open frame not sent yet the session initialization thread then cache otherwise wait ',positive
'todo remove reflection when build requires jdk ',positive
'custom editor for this type ',positive
'todo optimize ',positive
'todo better exception handling ',positive
'could actually try figure out interface from create ',positive
'remove corresponding bean from singleton cache any shouldnt usually necessary rather just meant for overriding contexts default beans ',positive
'for mysql exception class name indicating timeout ',positive
'would nice partially match path and get any bound variables one step ',positive
'todo this fails with npe due arraytoobject converter discuss with andy new arrayliststring new arrayliststring ',positive
'todo make sure callback null ',positive
'todo you change type pattern from orgspringframework also matches introduction perhaps generated advisor bean definition could made depend the introduction which case this would not problem ',positive
'jsr api not available provider interface simply not supported then ',positive
'todo document this behaviour ',positive
'can optimize this because its all new there replacement existing property values ',positive
'one error should not include delimiter ',positive
'bad method too many args doesnt obey class contract ',positive
'todo replace this check longer possible this ',positive
'todo this seems rather bogus should eagerly show error ',positive
'todo this caching safe passing the expression around will mean this executor also being passed around ',positive
'todo possible optimization here cache the discovered type reference but can that ',positive
'fixme inline ',positive
'todo might want control this behaviour really want call remove after remote exception ',positive
'todo used catch but with cglib some errors are proxy creation and are wrapped aspect exception error message still fine ',positive
'todo returns just aspectj beta not detecting the applicable lambda expression anymore assertequals ',positive
'todo fix reactor support ',positive
'todo this looks like serious issue but not new one the context object against which arguments are evaluated seems wrong arraylistclass ',positive
'todo why does this test fail hasnt been run before maybe never actually passed ',positive
'todo what does this mean this method not used spel probably ignorable ',positive
'slight hack for linuxunix systems ',positive
'todo fails due conversionservice handling string object expression ',positive
'todo determine why connectwitherror unused ',positive
'dont trust the jdbc driver might throw runtimeexception error ',positive
'not implemented ',positive
'todo reactor usually times out windows ',positive
'todo its just adapter but returning might still have side effects ',positive
'bean validation currently not implemented here since would imply hard dependency the new interface resolved once spring framework requires bean validation obtain the native validatorfactory through instead which will fully support getclockprovider call well ',positive
'todo could with more refactoring around argument handling and varargs ',positive
'further todo for compilation opminus with single literal operand could treated negative literal will save pointless loading and then subtract instruction code gen allow other accessorsresolvers participate compilation and create their own code typereference followed what ends static method invocation can really skip code gen for the typereference since once that used locate the method not used again the opeq implementation quite basic will compare numbers the same type allowing them their boxed unboxed variants compare object references does not compile expressions where numbers are different types when objects implement comparable compiled nodes typereference operatorinstanceof stringliteral nullliteral realliteral intliteral longliteral booleanliteral floatliteral opor opand operatornot ternary elvis variablereference oplt ople opgt opge opeq opne opplus opminus opmultiply opdivide methodreference indexer compoundexpression functionreference inlinelist opmodulus not yet compiled some may never need assign beanreference identifier opdec opbetween opmatches oppower opinc projection qualifiedid selection ',positive
'todo currently failing with new objecttoarray converter closest constructor ',positive
'todo small memory optimization here can skip creation for methods with advice ',positive
'todo single ise multiple elements ',positive
'todo currently failing since setvalue does getvalue and wien string placeofbirth check with andy ',positive
'todo the resolverexecutor model too pervasive this package ',positive
'todo refactor abstractbeanfactory tests for abstractbeanfactory ',positive
'implementation just addition the tag interface statefuljob order allow stateful method invoking jobs ',positive
'the target does not implement the hashcode method itself ',positive
'todo possible optimization only regex match rest pattern matches benefit likely vary pattern pattern ',positive
'not implemented ',positive
'the above result likely incomplete only containing file system references need have pointers each the jar files the classpath well ',positive
'todo need make this conditionally occur based debug flag ',positive
'todo maybe try and detect this special case parser ',positive
'todo what the end position for method reference the name the last arg ',positive
'this method may throw any beansexception which wont caught here there critical failure such matching field can attempt deal only with less serious exceptions ',positive
'todo need special handling when patterns contain multiple dots ',positive
'workaround ',positive
'todo consider optimization caching the list the aspect names ',positive
'tomcat eofexception jetty eofexception wildfly glassfish javaioioexception broken pipe already covered ptodo this definition currently duplicated between and candidate for common utility class see ',positive
'tests for pooling invoker interceptor todo need make these tests stronger its hard make too many assumptions about pool author rod johnson author rob harrop author chris beams author stephane nicoll ',positive
'this hack able get the generated key from database that doesnt support get generated keys feature hsql one postgresql another postgres uses returning clause while hsql uses second query that has executed with the same connection ',positive
'cant clearly figure out exact method due type converting autowiring ',positive
'workaround caching issue ',positive
'jca workmanager resolved lazily may not available ',positive
'todo unable build correct type descriptor ',positive
'should behave like ours ',negative
'check contains all ',negative
'int ',negative
'for this work actual webjar must the test classpath ',negative
'skip over any content from the start the comment the eol ',negative
'should not happen ',negative
'beanfactory interface not registered resolvable type plain factory ',negative
'create directly through persistenceprovider ',negative
'probably proxy interfering with target type match throw meaningful exception ',negative
'will jndi lookup get home but wont call create could actually try figure out interface from create ',negative
'todo could call the conversion service convert the value string ',negative
'should not happen ',negative
'register the jpa entitymanagers jdbc connection for the datasource set ',negative
'',negative
'second request same session ',negative
'spr ',negative
'expire immediately can check expiration started ',negative
'implementation methods ',negative
'any other reactive type typically flux ',negative
'parse and elementvaluepairs and visit these values ',negative
