@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data

'apache doesnt output error message cant find program ',positive
'from commons logging this would number one reason why javautillogging bad design committee can really bad the impact performance using javautillogging and the ugliness you need wrap far worse than the unfriendly and uncommon default format for logs ',positive
'remind rewrite multiple headers received single remind change character set remind forgot what the previous remind means ',positive
'wait for acknowledgement from other server fixme please not wait only for three characters better control that the wait ack message correct throws ioexception error occurred ',positive
'convert char and fill the charchunk xxx not optimized converts string first ',positive
'create dummy include directive node ',positive
'fixme behavior already started ',positive
'todo should only use body encoding true otherwise should use uriencoding the problem that the connector not available add the fun the uri default changed servlet utf ',positive
'todo this isnt pretty but works significant refactoring would required avoid the exception ',positive
'bcluster implementation using simple multicast responsible for setting cluster and provides callers with valid multicast receiversender fixme wrote testcases author remy maucherat author peter rossbach ',positive
'this only works for tokens quoted strings need more sophisticated parsing ',positive
'this very basic asn parser that provides the limited functionality required tomcat long way from complete parser todo consider extending this parser and refactoring the spnegotokenfixer use ',positive
'xxx encoding this only works encoding utfcompat for tomcat where compare ascii header names etc ',positive
'fixme should validate the return type ',positive
'only try negotiate both client and server have least one protocol common note tomcat does not explicitly negotiate http todo this correct should change ',positive
'fixme how inform other session cache like singlesignon ',positive
'any call this method result problem reading from the client this point that state the connection unknown attempt send close frame the client and then close the socket immediately there point waiting for close frame from the client because there guarantee that can recover from whatever messed state the client put the connection into ',positive
'fixme sender ack mode this method check only the state transfer and resend problem ',positive
'doesnt work all platforms see ',positive
'fixme should probably checking for things like pagecontext bodycontent and parent here akv ',positive
'dont know how evaluate this ',positive
'this method should only called there chance that the socket currently being used the poller generally bad idea call this directly from known error condition ',positive
'xxx making these absolute till work out the addition pathinfo issue ',positive
'todo need think about precedence the various ways lambda expression may obtained from something that the parser thinks function ',positive
'surrogate utf not bit but while ucs amazing ',positive
'protocolerror probably better than goingaway here ',positive
'xxx should give more detail about the illegal argument ',positive
'todo urls returned the jar abstraction may the form jarjar which not url that can resolved the jre this should use the jarfactory construct and return valid inputsource ',positive
'todo name validation takes place cookie and cannot configured per context moving here would allow per context config but delay validation until the header generated however the spec requires cookie ',positive
'not this home the unconstrained buffer dos risk ',positive
'size supposed without huffman with todo use the hpackheaderfunction enable huffman predictably ',positive
'stupid this will set the default minfo first ',positive
'work around problem with the urls the security policy file windows the use catalinahomebase the policy file results codebase urls the form filec when they should filec for file and jar urls the jre compensates for this does not compensate for this for warfile urls therefore that here ',positive
