oracle, Pattern, NLP, TM, MAT, MAT_TM, MAT_NLP,Comments
1,0,0,1,0,1,1,// use COUNT as the default.  This mimics the old behavior, although // NONE might be a better option moving forward in the case of callable
1,0,0,1,0,1,1,//perhaps not really necessary...
1,0,1,1,1,1,1,// todo : what else to do here?
1,0,0,1,1,1,1,//TODO: disable batch loading if lockMode > READ?
1,0,1,1,1,1,1,//TODO: to handle concurrent writes correctly, the client should pass in a Lock
1,0,0,0,0,0,0,// turn hibernate.c3p0.* into c3p0.*, so c3p0 // gets a chance to see all hibernate.c3p0.*
1,0,0,0,0,0,0,//note there is a wierd implementation in the client side
1,0,0,1,1,1,1,// todo: this was added to support initializing an entity's EntityEntry snapshot during reattach; // this should be refactored to instead expose a method to assemble a EntityEntry based on this // state for return.
1,0,0,0,0,0,0,// Do we need to drop constraints before dropping tables in this dialect?
1,0,1,0,1,1,1,"/**     * FIXME Per the RegionFactory class Javadoc, this constructor version     * should not be necessary.     *      * @param props The configuration properties     */"
1,0,0,0,0,0,0,// Does this dialect support check constraints?
1,0,0,0,0,0,0,// this is called by SessionFactory irregardless; we just disregard here; // could also add a check to SessionFactory to only conditionally call start
1,0,0,0,0,0,0,// Does this dialect support the UNIQUE column syntax?
1,1,1,1,1,1,1,// this is done here 'cos we might only know the type here (ugly!) // TODO: improve this a lot:
1,0,0,0,0,0,0,// Does this dialect support the FOR UPDATE syntax?
1,0,1,1,1,1,1,// todo : what is the implication of this?
1,0,1,1,1,1,1,// todo : YUCK!!!
1,0,1,1,1,1,1,// todo : again, how *should* this work for non-pojo entities?
1,0,0,0,0,0,0,// Does this dialect support FOR UPDATE OF, allowing particular rows to be locked?
1,1,1,1,1,1,1,//TODO: really bad, evil hack to fix!!!
1,0,0,1,1,1,1,//aliasRefNode.resolve( false, false, aliasRefNode.getText() ); //TODO: is it kosher to do it here? //TODO: is it kosher to do it here?
1,0,1,1,1,1,1,//TODO: better to degrade to lazy="false" if uninstrumented
1,0,0,0,0,0,0,// Does this dialect support the Oracle-style FOR UPDATE NOWAIT syntax?
1,0,0,1,0,1,1,//Icky workaround for MySQL bug:
1,1,0,0,0,0,0,// we have to set up the table later!! yuck
1,0,1,1,1,1,1,//TODO: Somehow add the newly created foreign keys to the internal collection
1,0,0,0,0,0,0,// This inner class implements a case statement....perhaps im being a bit over-clever here
1,0,1,1,1,1,1,//TODO: merge into one method!
1,0,1,1,1,1,1,// TODO: this is a bit of copy/paste from IndexedCollection.createPrimaryKey()
1,0,1,1,1,1,1,// TODO: what type?
1,0,1,1,1,1,1,//TODO: inefficient
1,0,0,0,1,1,1,//FIXME: get the PersistentClass
1,0,1,1,1,1,1,// todo : we can remove this once the deprecated ctor can be made private...
1,0,1,1,1,1,1,//TODO: this is too conservative; if all preceding joins were  //      also inner joins, we could use an inner join here
1,0,1,1,1,1,1,//TODO: redesign how PropertyAccessors are acquired...
1,0,1,1,1,1,1,// TODO : not so sure this is needed...
1,0,0,0,0,0,0,//create an index on the key columns??
