@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data

'todo support multiple levels includes ',positive
'when all nimbodes down and one few them come unfortunately there might not exact way know which one contains the most updated blob ',positive
'todo this assumes key only from the one field not need have order fields ',positive
'the following code duplicated the constructor mqttpublisher reproduce here fail the client side ssl misconfigured rather than when the topology deployed the cluster ',positive
'should remove the third blob because the first has the reset timestamp ',positive
'get rid multiple url ',positive
'todo track file offsets instead line number ',positive
'todo support more configuration options for now were defaulting the hbasexml files found the classpath ',positive
'this bit ugly but works order maintain the same directory structure that existed before need have storm conf storm jar and storm code shared directory and need set the permissions for that entire directory but the tracking per item basis are going end running the permission modification code once for each blob that downloaded times this case because the permission modification code runs separate process are doing global lock avoid any races between multiple versions running the same time ideally this would per topology basis but that lot harder and the changes run fairly quickly should not big deal ',positive
'could not find fully compatible version look see there possibly compatible version right below ',positive
'resourceutilsjava not available the classpath let parse out the resources want ',positive
'filesmove with nonempty directory doesnt work well windows this not atomic but does work ',positive
'not thread safe have one instance per producer thread synchronize externally ',positive
'todo substitution implementation not exactly efficient kind memory ',positive
'todo need better way this ',positive
'todo need able set the tick tuple time the message timeout ideally without parameterization ',positive
'connection unavailable will drop pending messages and let atleastonce message replay kick another option would buffer the messages memory but this option has the risk causing oom errors especially for topologies that disable message acking because dont know whether the connection recovery will succeed not and how long the recovery will take ',positive
'todo add metrics ',positive
'todo consider adding shuffle grouping after the spout avoid much routing the argsreturninfo all over the place least until its possible just pack bolt logic into the spout itself ',positive
'this hack for nonras scheduler topology and worker resources ',positive
'todo move this logic the model class ',positive
'for some reason the new code ackers null get ',positive
'this bit hack list then component stream want format this componentstream ',positive
'todo dry this code with whats ',positive
'should fail the tuple kill the worker ',positive
'todo streams should uniquely identifiable ',positive
'todo would love standardize this ',positive
'fixme this class can moved webapp once porting done ',positive
'this isnt strictly necessary but doesnt hurt and ensures that the machine stays date even callbacks dont all work exactly right ',positive
'work around should get alternative working way ',positive
'read last this should cause evicted next put ',positive
'todo more collection content type checking ',positive
'fixme were using default config since cannot serialized still needs provide some options externally ',positive
'todo this can only ever null someone doing something odd with mocking should really fix the mocking and remove this ',positive
'todo put some better exception mapping todo move populatecontext filter ',positive
'should fail the batch kill the worker ',positive
'getting the exact response code bit more complex todo should use better client ',positive
'todo deduplicate this logic with the code nimbus ',positive
'todo should worker even take the topologyid input this should deducible from cluster state searching through assignments what about theres inconsistency assignments but nimbus should guarantee this consistency param conf storm configuration param context param topologyid topology param assignmentid assignment param supervisorport parent supervisor thrift server port param port port which the worker runs param workerid worker ',positive
'this bit ugly but shows how this would happen worker will use the same apis ',positive
'fixme stores map topoconf topologycontext and expose these derived classes ',positive
'original implementation doesnt actually check delete succeeded not ',positive
'doesnt seem like you should have this but java serialization wacky and doesnt call the default constructor ',positive
'this bit ugly the json are expecting should the form component resource value but because value coming from json going number and want double the goal through each entry and update accordingly ',positive
'may though unlikely lose metering here state transition too frequent less than millisecond ',positive
'want throw exception path doesnt exist ',positive
'todo better way this would great ',positive
'todo the future this might better common webapp location ',positive
'fixme should moved stormclient when can removed ',positive
'todo figure out how want deal with overrides users may want add streams even when overriding other properties for now just add them blindly which could lead potentially invalid topology ',positive
'more accurate that threadsleep but still not great ',positive
'todo ignore the master batch coordinator ',positive
'this test rather ugly but the only way see the error messages are working correctly ',positive
'todo need able replace existing fields with the function fields like cascading fieldsreplace ',positive
'todo wrap this set the stream name ',positive
'todo this isnt right its not the map anymore ',positive
'todo add method for drpc stream needs know how automatically return results etc too expensive batch per drpc request ',positive
'todo the inner join incrementally emitting the cross join with this tuple against all other sides todo only cross join least one tuple each side ',positive
'todo once everything java this should not possible any more ',positive
'heck for backward compatibility need pass hbase conf the conf instance instance persistentmap making copy ',positive
'todo handle regular rich spout without batches need lots updates support this throughout ',positive
'this hack allow zookeepermain called this command ',positive
'perhaps there better way this ',positive
'todo can optimize further only querying backing map for keys not the cache ',positive
'todo this causing issues ',positive
'todo need invoke hook provided the topology giving chance create user resources this would part the initialization hook need separate into workercontext and workerusercontext actually just via interfaces just need make sure hide setresource from tasks ',positive
'not implemented ',positive
'todo what would good test ensure that least somewhat defensively copied ',positive
'todo the future want way include this logic the spout itself make unnecessary having storm include metadata about which grouping tuple came from ',positive
'todo does this work well windows ',positive
'not enough guaranteed use the age the topology instead todo need good way only this once ',positive
'use parsewithexception instead parse can capture deserialization errors the log they are likely bugs the spout code ',positive
'todo add logging that not all tuples were received ',positive
'todo take away knowledge storms internals here ',positive
'todo should handle ref ',positive
'todo make sure test these two functions manual tests ',positive
'todo get this from type instead hardcoding nimbus establish clientserver transport via plugin ',positive
'there bug some versions that returns for the uptime ',positive
'need set active false before calling onkill current implementation does not return ',positive
'this kind unnecessary for clojure ',positive
'todo this class reserved for supporting messages with different schemas current only one schema the cache ',positive
'bad files dir config ',positive
'fixme can filter listkeys with local blobstore when storm going resolved workaround call getblobmeta for all keys ',positive
'min this really means something wrong even very slow node ',positive
'todo check for null grouping args ',positive
'todo perhaps can adjust the frequency later ',positive
'reestablish connection eventhub servers using the right offset tbd might optimized with cache ',positive
'todo handle the case where there may schema ',positive
'seems safer not follow symlinks since dont expect them here ',positive
'this because json doesnt allow numbers keys todo replace json with better form encoding ',positive
'todo optimize this computation perhaps inner loop can outside avoid rescanning tuples ',positive
'likely because bug try get another way ',positive
'while disabling retain the sampling pct ',negative
'hearbeat upon ',negative
'requestedmemonheap ',negative
'test environment variable substitution ',negative
'assignments ',negative
'verify that all messages are emitted ack all the messages ',negative
'executioncommand ',negative
'boolean track deactivated state ',negative
'track punctuation nonbatch mode that the punctuation acked after all the processors have emitted the punctuation downstream ',negative
'local executors and localtaskids running this worker ',negative
'only emit have declared fields ',negative
'all types files included ',negative
'want capture the full time range the target size had one bucket less then ',negative
'use batch size that matches the default credit size ',negative
'use the local setting for the login config rather than the topologys ',negative
'get the nimbodes with the latest version ',negative
'destination taskid ',negative
'component ',negative
'fail the last emitted tuple and verify that the spout wont retry because its above the emit limit ',negative
'generate null response then authentication has completed not warn and return without sending response back the server ',negative
'supervisor assignment idsupervisor ',negative
'the windowmanager scan loop early ',negative
'failed send the jms message fail the tuple fast ',negative
'set the first assignment ',negative
'root ',negative
'update the count the state here the first argument the initial value for the count and the second argument function that increments the count for each value received ',negative
'test write ',negative
'key ',negative
'topologyid ',negative
'start emitting right now ',negative
'format date worker logs ',negative
'map ',negative
'use different blobstore dir doesnt conflict with other test ',negative
'timestamp either milliseconds seconds which this metric occurred ',negative
'noop ',negative
'update the current count for this object ',negative
'ranked fourth since rack has alot memory but not cpu ',negative
'each controlmessage encoded code short each taskmessage encoded task short len int payload byte ',negative
'this call returns immediately ',negative
'for testing ',negative
'test test when more workers are available due topology worker max heap size limit but there memory still available wordspout going contain executors that needs scheduling each those executors has memory requirement the cluster contains free workerslots for this topolology each worker limited max heap size thus one executor not going able get scheduled thus failing the scheduling this topology and executors this ',negative
'set clean time really high doesnt kick ',negative
'set for nimbus only ',negative
'lag ',negative
'creates arraylargestid filled with nulls ',negative
'',negative
'close the input stream ',negative
'dependency uploading only makes sense for distributed mode ',negative
'read line and ack ',negative
'usedcpu ',negative
'failed tuples retried then send tuples from hdfs ',negative
'happens when part just rather than denoting some directory ',negative
'next verify that the blob store correct before start ',negative
'the connection ready once the channel active see ',negative
'test for keylist download ',negative
'tuples should available store before they are added window manager ',negative
'memory required topot memory required topot ',negative
'this dsl yaml etc topology ',negative
'check for required fields check for substruct validity ',negative
'periodically calls refreshload sec simulate worker load update timer ',negative
'remotetaskid jcqueue some entries maybe null emits those tasksids from this worker ',negative
'encoders ',negative
'commit frequency count ',negative
'check iterable ',negative
'set acl below that can shared other users well but allows only read ',negative
'emit any remaining messages ',negative
'autohdfs specified not attempt login using keytabs only kept for backward compatibility ',negative
'ack ',negative
'task ids should pulled first ',negative
'referenced from metric ',negative
'pulse ',negative
'add reference one and then remove reference again has newer timestamp ',negative
'writes multiple metric values into the database batch operation the tree map keeps the keys sorted ',negative
'get first and last block times for multiple runs and strategies ',negative
'the worker and running check for profiling requests ',negative
'the other config does not have set ',negative
'memoffheap ',negative
'capacity ',negative
'new line beginning each line instead end for better recovery from ',negative
'exceptions are captured and thrown the end the batch the executor ',negative
'this thread will send out messages destined for remote tasks other workers ',negative
'another conversion lets just make this all common ',negative
'store the time which the query started executing the sql standard says that functions such currenttimestamp return the same value throughout the query ',negative
'maintain backward compatibility for ',negative
'checkpoint the state every seconds ',negative
'cannot launch the container yet the resources may still updating ',negative
'use bootstrap tuple wait for topology running ',negative
'aze ',negative
'spout cpu gpu bolt cpu gpu bolt cpu gpu total cpu gpu this node has cpu gpu left ',negative
'this case will arise case nonsequential offset being processed the topic doesnt contain offset nextcommitoffset possible the topic compacted deleted the consumer should jump the next logical point the topic next logical offset should the first element after nextcommitoffset the ascending ordered emitted set ',negative
'topology can set resources terms cpu and memory for each component ',negative
'add with past ',negative
'when moving pacemaker workerbeats can leaked too ',negative
'seconds ',negative
'race condition with another thread and lost try again ',negative
'the producers are shut down first keep going until the queue empty ',negative
'dont allow any cluster wide configuration ',negative
'evicted metadata needs stored immediately metadata lookups count being the cache ',negative
'will have the correct settings that cannot overriden the submitter ',negative
'map describing which topologies are using which slots this node the format the map the following ',negative
'track how many times each supervisor slot has been listed bad ',negative
'when they are successfully processed ',negative
'all sent events are stored pending ',negative
'topo has large tasks ',negative
'ignore any exceptions might doing test for authentication ',negative
'first failure the initial delay not interesting ',negative
'boltspecific configuration for windowed bolts specify the window length time duration ',negative
'resourcesmap ',negative
'contains one tuple per stream being joined refs fields that will part output fields ',negative
'remote subject ',negative
'default parser uses for quoting identifiers switching dqid double quoted identifiers needed for array and map access arr etc work ',negative
'the second tuple should not ackd because the batch should cleared and this will ',negative
'need adjust the throughput accordingly that stays the same aggregate ',negative
'test scheduling does not cause negative resources ',negative
'return now without sending upstream here since client not authorized ',negative
'reader ',negative
'ranked first since rack has the most balanced set resources ',negative
'configs ',negative
'waiting returned ',negative
'validate path defined ',negative
'blostore launch command with topology blobstore map here are giving local name that can read from the file binstorm jar ',negative
'for some odd reason they are leaked ',negative
'get topology constraints ',negative
'ensure the second file has later modified timestamp the spout should pick the first file first ',negative
'launch heartbeat threads immediately that slowloading tasks dont cause the worker timeout ',negative
'tuple contains string object json format ',negative
'returns list tuple key val from table val from row ',negative
'bolt cpu gpu total cpu gpu this node has cpu gpu left ',negative
'the priority topology describes the importance the topology decreasing importance starting from the highest priority and the priority importance decreases the priority number increases recommended range but hard limit set there are not enough resources cluster the priority combination with how far over guarantees ',negative
'the second tuple used wait for the spout rotate its pending map ',negative
'does the actual ack when the state saved ',negative
'unknown version should treated current version which supports rpc heartbeat ',negative
'there are few possible files that would want clean basedir tmp basename basedir tmp basename current basedir basenameversion basedir basenamecurrent basedir basenameversion general always want delete the tmp files they are there ',negative
'check for case someone called their user user name this line contains the user name for the pid were looking example line user name ',negative
'need reverse the order elements delete files from oldest newest ',negative
'ignored the file did not match ',negative
'cleanup internal assignments ',negative
'jms options ',negative
'has been acked ',negative
'check exec satisfy spread ',negative
'event sent checkpoint shall created ',negative
'dynamic fields ',negative
'wait for more acks before proceeding ',negative
'get query filter ',negative
'allocate another array switched ',negative
'jump ',negative
'verify that offset was last committed offset since this the offset the spout should resume ',negative
'modprinc maxlife mins principal kadmin ',negative
'acquire lock file ',negative
'now selecting from the full set should cause the fourth task chosen ',negative
'node ',negative
'prevstatus ',negative
'configs ',negative
'the new partition should discovered and the message should emitted ',negative
'error message returned something went wrong ',negative
'the failed executions should not cause rotations and any new files ',negative
'producers ',negative
'only logset when theres been change the assignment ',negative
'singlerel ',negative
'only some data has arrived each input stream ',negative
'ack for message that failed once least and was reemitted then the record itself will use that determine the needs told about and then remove the record itself ',negative
'metric name ',negative
'bolt cpu gpu bolt cpu gpu bolt cpu gpu total cpu gpu this node has cpu gpu left ',negative
'componentexecutors ',negative
'the manually set config supervisor will overwrite resources assigned ',negative
'when this master not leader and get heartbeats report from supervisornode just ignore ',negative
'try locking another file the same time ',negative
'each time try schedule new component simulate taking second longer ',negative
'now need build the array ',negative
'file should moved archive ',negative
'create couple files consume ',negative
'',negative
'current state ',negative
'workers requested less than took then know some workers track died since have more workers than are supposed have ',negative
'returns void the event should continue false the event should not done ',negative
'user jerry submits another topology into full cluster ',negative
'doing nothing probably due oom issue and hoping will handle ',negative
'should remain unchanged ',negative
'just sure ',negative
'launchtimesecs ',negative
'there wont batchinfo for the success stream ',negative
'strategy determine the fetch offset the first realized the spout upon activation ',negative
'start accepting requests ',negative
'this could fail blob gets deleted mistake dont crash nimbus ',negative
'status ',negative
'create default pipeline implementation ',negative
'public object executecontext ',negative
'scheduling changed after killed all the processes ',negative
'this finds all active topologies blob keys from all local topology blob keys ',negative
'sasl transport ',negative
'for cgroups limit max long ',negative
'not available ',negative
'scheduled ',negative
'config mainmethods ',negative
'any errorexception thrown fetch from zookeeper ',negative
'initial state ',negative
'errorexception thrown just skip ',negative
'metricname ',negative
'verify the signature ',negative
'empty ',negative
'set really small will cleanup ',negative
'look for deleted log timeouts ',negative
'authz authn password ',negative
'',negative
'but that only there bug one the password providers ',negative
'numusedworkers ',negative
'bolt should also receive from checkpoint streams bolt bolt ',negative
'already points where want ',negative
'really make this work well ',negative
'mapping ',negative
'equivalent create command command line ',negative
'keyclassstring ',negative
'there are any abandoned files pick oldest one ',negative
'assigning internally ',negative
'topology priority ',negative
'totalsharedoffheap ',negative
'retry till least element drained ',negative
'schedule mid block ',negative
'key fields ',negative
'',negative
'request from authorized hosts and group should allowed ',negative
'now need free some resources ',negative
'all internal state except for the current buckets are ',negative
'update the isleader field for each nimbus summary ',negative
'has the the node its doing the partitioning ',negative
'',negative
'lets checkpoint that can get the last checkpoint when restarting ',negative
'allow requesting slots number bigger than available slots ',negative
'activation expired list should contain even the ones expired due ',negative
'not sure what could cause this ',negative
'specific ',negative
'flag indicating hivewriter was closed ',negative
'stream number cube pairs ',negative
'default ',negative
'run default scheduler nonisolated topologies ',negative
'',negative
'list all daemon logs ',negative
'already checked this ',negative
'add any autocredential expiry metrics from the worker ',negative
'this ensures that list values always written the same way regardless whether its java collection one clojures persistent collections which have different serializers doing this lets deserialize arraylist and avoid writing the class here ',negative
'create couple input files read ',negative
'follow the model service loaders even though not service ',negative
'should double ack same msg should still ',negative
'not process events beyond current ',negative
'generate some supervisors that are depleted one resource ',negative
'run spout ',negative
'await all results ',negative
'worker slot which was never back normal tolerance period will removed from cache ',negative
'attention whb can null ',negative
'waiting for this also ensures that the first tuple gets failed resettimeout doesnt work ',negative
'propagate interrupt ',negative
'save the metadata for all types strings matches ',negative
'populate node component assignments ',negative
'for serialization ',negative
'wildcard directory ',negative
'just output the word value with count ',negative
'send watermark event which should trigger three windows ',negative
'tests for case when subject null security turned off and ',negative
'both things are not expected and should not happen ',negative
'thenreturn always returns the same object which already consumed the time user tries getblob ',negative
