@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data

' turn into parameter ',positive
' should this just call super ',positive
' improve this ',positive
' contenttype andor dataencoding belong httpsampleresult instead ',positive
' needs more work ',positive
'maybe move vector problems occur ',positive
' this method doesnt appear used ',positive
' this really necessary ',positive
'programming error bail out ',positive
' should this throw error ',positive
'houston have problem ',positive
' replace with proper exception ',positive
' charset  this should really request data but there none ',positive
'milliseconds  properties ',positive
' move jorphanutils ',positive
'needs implement visualizer that testbeangui can find the correct gui class ',positive
'can null not sure why ',positive
' implement other nontext types ',positive
' this not populated currently ',positive
'needs implement visualizer that testbeangui can find the correct gui class  remove unsharedcomponent probably does not make sense for testbean ',positive
'nonnls  use different format here ',positive
'notused long longsample getsamples load each node ',positive
'this can lead code smell meh care ',positive
' this ever used ',positive
' this the best way this ',positive
'all keys messagesproperties are lowercase historical reasons ',positive
'not used protected double data null ',positive
' this more efficiently ',positive
' should this use setfirst ',positive
'dom tree panel for display response tree view author maunga  implement find any nodes the tree using treepath ',positive
' does this method need public isnt currently called outside this class ',positive
'does the system support unc paths may need fix them later ',positive
'not used ',positive
' should this indeterminate  should this indeterminate nonnls nonnls ',positive
' skip processing ',positive
' should allow null for nonprimitive types ',positive
' not sure this the best method ',positive
' this needed ',positive
' should call start and stop ',positive
' believe the following code the end the method obsolete since namepanel longer seems the gui for any component ',positive
'method broken anyway ',positive
' this sensible number nonnls ',positive
' work out how search the xml pane ',positive
' this sensible ',positive
'should return fragment text rather than text fragment ',positive
'not clear what can cause this conflicting versions perhaps ',positive
' replace with proper exception return with error ',positive
' validate contenttype for reasonable types ',positive
'mask values for testtype  remove either match contains they are mutually exckusive ',positive
' ought filechooser ',positive
'allow jmeter render frames and relative images must done after setcontenttype why ',positive
' this used apart from test code ',positive
' should this cleardata ',positive
'provide description this timer class  this ever used cant remember where remove isnt  obtain text from beans displayname shortdescription return the description this timer class ',positive
'provide dummy implementations suppress download and display related resources frames images  create better dummy displays  suppress link somehow ',positive
' should this jtlsaver only seems called ',positive
' make the running indicator its own class instead jbutton ',positive
'child and tpc does not sample its children then will have this  should this warn level ',positive
'nonnls agrees with above  perhaps should share code with time function for this nonnls nonnls nonnls nonnls ',positive
' allow automated tests find when test has ended transient boolean testended false ',positive
' could these done earlier just once ',positive
' resolve modulecontrollers non gui mode ',positive
'add system property samplers can check see jmeter running nongui mode nonnls  why does create new instance ',positive
'should run beanshell script startup nonnls ',positive
'little  add each listener the start the list this ensures that the thread running the show the first listener and can modify certain values before other listeners are called ',positive
' move this components the only reason why its core because its used guinea pig couple tests ',positive
' this bit code needs tidied unfortunately modulecontroller components not core bug ',positive
' this class looks lot like argumentspanel what exactly the difference could they combined note seems that this class not actually used ',positive
' does not appear used ',positive
'ensure that the sample variables are correctly initialised for each run  this the best way this should done elsewhere ',positive
'add fix for deadlocks see see ',positive
' allow external control ',positive
' why use space ',positive
' should this also clear isdynamic rawparameters permanentresults ',positive
' should level more than debug ',positive
'this effectively the same savertoxmlobject writer except get provide the dataholder dont know why there method for this the xstream class ',positive
' fix for nimbus laf ',positive
' why searchtf not getting focus correctly after having been setvisiblefalse once ',positive
'menubar related methods  really need have all these menubar methods duplicated here perhaps can make the menu bar accessible through guipackage ',positive
' get full modifier value ',positive
' consider removing this method and providing method wrappers instead this would allow the gui package any additional clearups required has been done with cleartestplan ',positive
'maybe nothing all ',positive
'notused private void initbuttonmap ',positive
'avoid error ant task tests good way ',positive
'does not appear used called but that not called ',positive
'aggregates sample results for use the statistical remote batch mode samples are aggregated the key defined getkey  merge error count into parent class ',positive
' should errors thrown back through rmi ',positive
'jmetertreenode and testbeangui are special gui classes and arent intended added menus  find better way checking this ',positive
'not used ',positive
' perhaps save other items such headers ',positive
' should class implement samplelistener ',positive
'settings readresolve sets these from the serverclient values appropriate  would nice make these final not sure volatile needed not changed after creation ',positive
'should the samples aggregated thread name thread group default ',positive
'make easier enter tab can use tab but that awkward ',positive
' turn into method ',positive
'does not appear used yet ',positive
' perhaps use concurrenthashmap ',positive
' clazz probably always the same testclass ',positive
' should this restored ',positive
' provide proper name ',positive
' does matter that empty line will terminate the loop csv output files should never contain empty lines probably not then need check whether the reader eof ',positive
' convert work more like special processing carried out for the header class the string property testelementname converted headername for example elementprop nameuseragent stringprop stringprop elementprop becomes elementprop nameuseragent stringprop stringprop elementprop ',positive
'these must set before readingwriting the xml rather  but saves changing all the method calls include extra variable afaik the variables should only accessed from one thread need synchronize ',positive
' should this restored ',positive
' not used make private ',positive
' appears duplicate the threadname field sampleresult ',positive
'yuck tiffimageencoder uses error report runtime problems ',positive
'check just case ',positive
' this the right thing ',positive
' what code should set here ',positive
' should this implement ',positive
'not used the testresult element generated the resultcollector class ',positive
'check string valid jmeter expression the current implementation very basic just accepts any string containing valid expression  improve but keep returning true for ',positive
' use remove ',positive
'guess this can happen result bad file read this case would better replace the incorrect value with anything valid the default value for the property but for the time being just prefer aware any problems occuring here most likely programming errors ill bail out note cant bail out newly create elements have blank values and must get the defaults also when loading previous versions jmeter test scripts some values may not right and should get default values  review this and possibly change ',positive
' does not work yet need determine the sample type ',positive
'temporary fix allow default protocol changed ',positive
' consider using private logs for each derived class ',positive
'does not appear used yet ',positive
'remember change this when the class changes ',positive
' temporary  avoid unnecessary bug reports for subclasses ',positive
' yet another ambiguous name does need changing see also clearable jmeterguicomponent ',positive
' this silent exception intended ',positive
'the following variables are set this done before start called the values will published the thread safely  consider passing them the constructor that they can made final avoid adding lots parameters perhaps have parameter wrapper object ',positive
' should this set the thread names for all the subsamples might more efficient than fetching the name elsewehere ',positive
'setting samplingstarted before the contollers are initialised allows them access the running values functions and variables however does not seem help with the listeners ',positive
' remove this useless entry parameter ',positive
' fix this when there real implementation ',positive
' only clear the relevant entry possible ',positive
'surely this always null the constructor ',positive
' why not use the super class value ',positive
' does not appear called directly ',positive
'custom trustmanager ignores all certificate errors  implement conditional checking and logging derived from httpclient contrib directory ',positive
'maps contain page and form encodings  these really need shared between all proxy instances ',positive
'note source and line arguments are nonsense call any way make these arguments sensible ',positive
'exception wrapped javascriptexception ',positive
' why empty block ',positive
' perhaps this should fatal error ',positive
'clone will produce correct type  but why need clone the list ',positive
' only called which deprecated class ',positive
' probably not needed ',positive
' needs synch probably not changed after threads have started jmeter home directory excludes trailing separator jmeter bin directory excludes trailing separator ',positive
' bshbjar bshscriptengine implements compilable but throws javalangerror unimplemented ',positive
' what this for ',positive
' should equals and hashcode depend field other than count ',positive
' sync really needed ',positive
' this correct ',positive
' cpercent the same cmedian here why and why pass distributionline ',positive
' should the method signature this method changed match the superimplementation using testelement parameter instead this would require instanceof check before adding the listener below but would also make the behavior bit more obvious for subclasses the java rules dealing with this situation arent always intuitive and subclass may think calling this version the method when really calling the superclass version instead ',positive
' should this method synchronized all other function execute are ',positive
' should the engine static ',positive
'commons ioutils has equivalent methods these were added before was included  perhaps deprecate these favour commons ',positive
' should this getmin ',positive
'fix bug argarg was causing parse error however define argarg this seems because the parser skips the terminator for the long options but was not doing for the short options ',positive
' improve the error handling ',positive
'add logtargets root logger  whats the clean way add logtarget afterwards param logtargets logtarget array ',positive
' reduce the need load every class nongui mode which only needs functions  perhaps use bcel scan class files instead class name should contain this string class name should not contain this string ',positive
' exact ordering only required for some tests change the comparison set compare where necessary ',positive
' field always true what for ',positive
' improve this check ',positive
' could this return ',positive
'very wrong ',positive
' should this failure ',positive
'wrapper convert junit class into testcase  work out how convert junit assertions they are treated failures rather than errors ',positive
' should really return most specific longest match ',positive
' should this done for embedded usage note the element configtestelement when used standalone cannot use ftpsampler access methods ',positive
' replace all this url mess with proper method areequivalenturl url that would also ignore case protocol and host names etc use that method the cookiemanager too ',positive
' this possible ',positive
'holder for storing cache details perhaps add original response later ',positive
' not used gui ',positive
'not currently used ',positive
' correct url ',positive
'note the handling simple doublequotes could formally more accurate but cant imagine session containing either should the whole set expressions quick  anyway who cares ',positive
' improve string version better match browser behaviour browsers regard httphost and httphost the same would better reflect this the string ',positive
'code also allows for only not sure why perhaps because the test code uses ',positive
' find way avoid the cost creating string here probably new patternmatcherinput working byte would better ',positive
' should setbaseforscript called here rather than above ',positive
'java longer allows contentlength set dont check see  any point checking the other headers ',positive
'sampleevent not passed jmetervariables because they dont make sense for proxy recording  this the correct threadgroup name ',positive
' needs cleaning ',positive
'nonnls  should this variable ',positive
' replace repeated substr above and below with more efficient method ',positive
' perhaps make more specific than this point parsing anything else gif ',positive
'wont work generate result nec and populate  skip processing ',positive
' should this done when the client created then the details need added part httpclientkey ',positive
' ',positive
'may replaced later ',positive
'  removed later ',positive
'could drop the sync here ',positive
' should lfonly eol allowed ',positive
'dircontext  perhaps return this ',positive
'nonnls  change use url version will this affect test plans ',positive
' specify collection type without breaking callers ',positive
' can this eever happen ',positive
'all form parameter always have textplain mime type  make this parameter ',positive
'nonnls  can this obtained from the file somehow ',positive
'does not appear used ',positive
'notused guipackage guipack ',positive
'allow serializable test work  the serializable test necessary now that jmetertreenode longer gui component ',positive
' null correct ',positive
' how handle thread stopped here ',positive
'slight  need ensure the testclass not reset the previous call ',positive
' should this called basedir null ',positive
' could converted generic class ',positive
' not used ',positive
' make static ',positive
' allow entire url provided host field ',positive
' should this sgetcontentencoding check arguments should have one argument with the value equal the post body ',positive
' downcase upper case nonfinal variables ',positive
' belongs elsewhere ',positive
' can this happen ',positive
' needed here because currently done sample completion jmeterthread but that only catches toplevel samples ',positive
' this bit fragile ',positive
' this correct this not the first file cant write its header now for simplicity always save even there only one file ',positive
' should this return something else ',positive
'dont allow override contentlength this helps with soapsampler  too  what other headers are not allowed ',positive
'nonnls  should this variable ',positive
' this the correct default ',positive
' need add charset for the file contents nonnls ',positive
' merge put and post methods far possible post checks for multipart formfiles and not invokes ',positive
'get the content length tells how much data read  maybe support chunked encoding then cannot rely content length ',positive
' this the correct default ',positive
' should allow mimetype only ',positive
' should these fields public they dont appear used externally also are they any different from httpconstantsget etc some cases they seem used the method name from the tomcat log however the rmethod field used the value for for which httpconstants most approriate ',positive
'notused  charset ',positive
' find out how retrieve these from the script present the script has use sampleresult methods set them nonnls nonnls ',positive
' process warnings set code and message success ',positive
' should the encoding configurable nonnls ',positive
'nonnls  probably wrong ',positive
