@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data

'todo this brute force approach updating listeners each and every event without checking the event type any other information going cause lots subclasses implementations updatelisteners and they wont have the event information make their own decisions ',positive
'todo the above statement also refreshes when are not shown verified hence not entirely correct ',positive
'class display graphics for uml synchstate diagram todo the font increases the circle should grow too author pepargoumlyahooes ',positive
'todo this ordered list then you have add the right location ',positive
'rank the nodes depending their level position hierarchy and set their weight achieve proper nodesequence for the layout rows exceeding the maximum row width are split standalone nodes are available weight the other nodes determine their columns todo weighting doesnt appear working intended because multiple groups get intermixed name order rather than being grouped their tfm ',positive
'todo this tagged value name which will never trigger event ',positive
'tests copyhelper without using stereotypes the test using the tree objects pre model class nestedpackage interface attribute pre todo this test doesnt match the mdr implementation because expects the contents namespace copied disabled until can fixed run with both mdr and euml tfm author bogdan ',positive
'todo correctly implement next function the model subsystem for issue ',positive
'todo the code implementing this method from see issue mechanically integrated tfmorris may needs reviewedupdated author decki endi yayan politechnic bandung computer departement method for changing text message ',positive
'todo why does the next part not work ',positive
'todo dont really want this filled but its not then the user cant double click the compartment add new literal apparently gef thinks unfilled figs are only selectable border setfilledfalse ',positive
'todo cant have global current language ',positive
'todo should warn the user have removed something tfm ',positive
'are not visible most likely were being deleted todo this indicates more fundamental problem that should investigated tfm ',positive
'fixme the following throws object with mofid longer exists applicabletagdefs assertnotnulltag definition wasnt found return value after loading the project applicabletagdefs ',positive
'todo gef needs pass back the description what being done ',positive
'make stretch vertically todo the curbody must notify modification ',positive
'todo this next line safe what happens there just one comment edge comment edge and single message ',positive
'todo considering all delete events valid like below going cause lots unecessary work and some problems ',positive
'else the coordinate outside the classifier role fix the the max the classifier role fixme should increase the height the classifier role dont ',positive
'todo this appears expect that the uml tag name will appear property name event but with the uml switch tagdefinitions this wont work ',positive
'todo not uml ',positive
'todo removed from uml nonnls ',positive
'todo only occurrence isconcurrent uml index its not the page that indexed ',positive
'todo this works for degree angles but suboptimal for other angles should reflect the angle rather than just using negative offset along the same vector ',positive
'todo map uml names umlx names nonnls nonnls ',positive
'todo except this wont work because the names are different which will cause test checkumlmodelhelper fail corepackageimport ',positive
'this doesnt work uml both owner and property needed ',positive
'fixme fails here the current behavior appears intentional the test wrong tfm assertnullthe profile stereotype named shouldnt found profilemodel ',positive
'todo this looks backwards left over from issue ',positive
'todo this doesnt work but should collection elements elements asserttruefailed create clean environment elementsisempty ',positive
'todo issue proposed allow any paclage return potential namespace commenting out until this reviewed and clearly accepted all ',positive
'todo something might wrong during processing dont really want create the model element until the user releases the mouse the place expected ',positive
'strange but the linkgetconnection returns collection not list this bug compared the uml standard imho mvw hence the linkend added the end instead ',positive
'todo synchronized required here there can some concurrent modification problems when drawing call message and having that automatically draw the reply maybe fixing the todo below will resolve this and the synch can ',positive
'these next lines for the case that the current namespace not valid one which course should not happen but does see the project attached issue ',positive
'todo umlx event has parameters todo treat objectflowstate this doesnt exist anymore uml and classifier ',positive
'todo this ordered list then you have add the right location ',positive
'appears gone from uml ',positive
'todo this does not work event arrives ',positive
'todo this only checking immediate siblings when needs checking all imported elements both here and our parents and also taking into account visibility ',positive
'this does not work anymoreyet since never have figtext here ',positive
'utility function localize the given string with help text and show the status bar the argouml window this function used favour the inline call enable later improvements would possible show helpballoon todo work this out one matter possibly improve show multiple lines param the given string localized and shown ',positive
'todo monitor getting dismissed before layout complete ',positive
'todo currently dont support perfig settings for most stuff can just use the defaults that were given settings new ',positive
'todo not yet working for uml ',positive
'this triggers some warnings logs because some elements are created without owner and eresource null todo fix this the warning log would not add the eobject resource would looks like this warn awteventqueue encountered deleted object during delete ',positive
'todo shouldnt throw exception here ',positive
'todo algorithm number nodes ',positive
'update attached node figures todo presumably this should only happen add remove event ',positive
'fixme depends internal behavior xmireaderimpl needed for solving issue ',positive
'todo allow adding models diagram issue ',positive
'todo update the old and new node above this this issue the old and new uml namespaces are the event but how know which nodes refresh and how refresh not necessarily the namespaces depending the perspective ',positive
'todo this should only building list index ',positive
'todo the following can removed selectall gets fixed ',positive
'fixme boundary condition end image for nonintegral multiples bufferheight ',positive
'todo not uml ',positive
'todo cant have global current language ',positive
'xxx this seems bug the parser always requires context ',positive
'todo use todo this will fail with nested models ',positive
'are not visible most likely were being deleted todo this indicates more fundamental problem that should investigated tfm ',positive
'todo should have all the information that required the notationsettings object ',positive
'parse transition description line the formpre eventsignature guardcondition actionexpression pre not interpreted having any special meaning the eventsignature may one the formatsul changeevent whencondition timeevent afterduration callevent aparameterlist signalevent any string without remark the uml standard does not make distinction between the syntax callevent and signalevent both may have parameters between for simplicity and userfriendliness chose for this distinction user wants parameters for signalevent then may add them the properties panels but not the diagram alternative solution would create callevent default and when editing existing event not change the typep todo this function fails when the eventsignature contains see issue for other cases that were problem the past param trans the transition object which this string applies param the string parsed return the transition object throws parseexception when matching are found ',positive
'todo this whole block can deleted when issue resolved ',positive
'todo not uml ',positive
'dirty fix for issue needs amended when start supporting parameters ',positive
'todo not uml ',positive
'todo this does not work mvw guard expr ',positive
'todo not uml ',positive
'todo this case the properties panel not updated with the changed expression ',positive
'todo not uml ',positive
'warning the outputstream version this doesnt work tfm ',positive
'else the coordinate outside the classifier role fix the the max the classifier role fixme should increase the height the classifier role dont ',positive
'warning the gef implementation the outputstream version this method doesnt work tfm ',positive
'todo tests for allinstances even though not yet supported ',positive
'todo not implemented euml ',positive
'todo this only works the item visible all its parents are expanded makevisible ',positive
'this will have problems the smallest possible data segment smaller than the size the buffer needed for regex matching ',positive
'todo not uml ',positive
'todo why this throwing generic runtime exception ',positive
'todo this exception will thrown during autoscrolling when the edge the canvas reached causing either the width height adjusted negative value ',positive
'disabled since gives various problems the toolbar icons get too wide also the default does not give the new java looks component tree ',positive
'this feature get the owner that feature todo does anything actually make use this can cause unexpected behaviour ',positive
'todo this error needs reported ',positive
'todo not uml ',positive
'todo should giving the user more direct feedback ',positive
'todo this should using ',positive
'many many these events this slows things down ',positive
'todo this doesnt perform well enough with large models have enabled default the performance cant improved perhaps can introduce manual find explorer tree action selectalltargets ',positive
'really ought have criticexception throw here ',positive
'todo considering all delete events valid like below going cause lots unecessary work and some problems ',positive
'todo this never executed ludos work was never finished ',positive
'todo when the attribute isnt the diagram for exemple select attribut explorer then the refresh isnt auto had click ',positive
'todo this probably undesirable side effect unless the user confirms placing element second diagram going potentially change its namespace tfm ',positive
'todo the below not strictly correct but should cover the case deal with using real xml parser would better look for xml document has just single root element ',positive
'todo assumes public todo this probably undesirable side effect unless the user confirms placing element second diagram going potentially change its namespace tfm ',positive
'todo uncomment the following get the failure zippeduml null ',positive
'status nov figs created property panels exist more work required explorer and assumptions about models not being nested tfm ',positive
'have anything multiple elements selected dont anything todo need support multiple selection see issue ',positive
'todo make setbounds calcbounds and updatebounds consistent ',positive
'set the child components the heights the array list calculating the height any proportional component the fly fixme this assumes that the jlabel and the component labels have been added the parent component consecutively ',positive
'mode interpret user input while creating permission edge the permission can connect any model elements including those represented edges well nodes todo uml permission becomes packageimport and the class hierarchy has changed that longer subtype dependency this may need refactored work correctly ',positive
'todo considering all delete events valid like below going cause lots unecessary work and some problems ',positive
'todo the size text figs which what care about most isnt computed correctly gef got ambitious could recompute proper size ourselves ',positive
'critic detect when classifier has many operations todo exclude getter and setter operations from count ',positive
'todo why isnt this calculation for location working ',positive
'todo this code doesnt look like will get reached because any going take the isaabstraction leg the before gets this more general case tfm ',positive
'todo this should probably only update the project when the user presses return focus lost ',positive
'the next line does not work ',positive
'todo actioncopy longer singleton how shall this work ',positive
'todo huge side effect hoist out parse tfm lets load the project ',positive
'todo support navigability the code below causes and exception ',positive
'todo dont really want the following but not sure what depends tfm ',positive
'todo why this clearing the name tfm ',positive
'offset for depth perspective lines cube todo this the same value the member din link but there nothing enforcing that correspondence things will probably break they dont match ',positive
'todo the code implementing this method from see issue mechanically integrated tfmorris may needs reviewedupdated author decki endi yayan politechnic bandung computer departement method for changing text message param newowner param parameter ',positive
'todo this exception will thrown during autoscrolling when the edge the canvas reached causing either the width height adjusted negative value ',positive
'todo make the tree refresh and expand really work all cases ',positive
'todo the code implementing this method from see issue mechanically integrated tfmorris may needs reviewedupdated author decki endi yayan politechnic bandung computer departement method for changing text message param newowner model element which should now listened ',positive
'todo should save and restore the last positions the toolbars ',positive
'todo does anyone use command line localization needed tfm ',positive
'todo the following rather than the above probably the correct way search stereo findstereotypeobj null name ',positive
'really ought have criticexception throw here ',positive
'there possibility that the next step forward takes another path this wizard allow for this must destroy the path already traveled todo linus would say that this really problem with the wizard implementation since believe should possible explore path the wizard and then back inheritdoc ',positive
'builds message within some interaction related some assocationrole the message added the last the interaction sequence furthermore the message added the last the list messages already attached the role effectively the already attached messages become predecessors this message todo this sets the activator side effect however impossible determine the activator this stage dont yet know what the action will the message were creating see issue param inter the interaction param role the association role return the newly created message ',positive
'todo name not expanded for diagram objects ',positive
'todo name not expanded for diagram objects ',positive
'todo mvw why this not done gef ',positive
'todo this temporary crutch use until all figs are updated use the constructor that accepts diagramsettings object ',positive
'todo there cyclic dependency between and figedgemodelelement ',positive
'todo need rethrow this some other exception type but that too much change for the moment ',positive
'todo its probably worthwhile abstract and factor this chooser and directory stuff more file handling coming sure ',positive
'todo complete this implementation tfm ',positive
'todo this will vary based the type the tagdefinition ',positive
