@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data

'result preceding code wont work with jdk ',positive
'todo check this result ',positive
'todo check this result ',positive
'return calgettimeinmillis preceding code wont work with jdk ',positive
'todo didnt check the height yet ',positive
'fixme weve cloned the chart but the datasets arent cloned and should that ',positive
'todo not serialized yet ',positive
'firstmondayafter calgettimegettime preceding code wont work with jdk ',positive
'todo didnt check the height yet ',positive
'this may negative ',positive
'todo implemented ',positive
'todo the subplot areas needs moved out the plot into the plot state ',positive
'todo shift block down bottom ',positive
'todo might good idea keep reference the color specified setpaint setcolor rather than creating new object every time getpaint called ',positive
'todo for now are ignoring the height constraint ',positive
'first determine the size the chart rendering area todo workout insets for swt ',positive
'todo implement properly ',positive
'todo this must wrong ',positive
'todo didnt check the width yet ',positive
'hack ensure the newly created awt fonts will rendered with the same height the swt one ',positive
'todo shift block right half ',positive
'fixme need locale well timezone ',positive
'todo shift block over right ',positive
'need update the crosshair values ',positive
'todo find better localization key ',positive
'todo this attribute should transferred the renderer state ',positive
'fixme implement this low priority ',positive
'fixme the xyitemrenderer interface doesnt specify the getannotations method but should ',positive
'defer argument checking ',positive
'calculate the adjusted data area taking into account the effect this assumes that there renderer all this effect bit ugly hack ',positive
'todo add constructors for combinations number and date formatters ',positive
'defer argument checking ',positive
'todo move plot state ',positive
'here tweak the notify flag the plot that only one notification happens even though update multiple axes ',positive
'defer argument checking ',positive
'fixme should really assert value here ',positive
'these annotations only work with xyplot see possible make contourplot subclass xyplot ',positive
'fixme should really assert value ',positive
'need update the crosshair values ',positive
'not strictly necessary since the renderer set for the parent plot not used ',positive
'need update the crosshair values ',positive
'todo complete this ',positive
'todo implemented ',positive
'defer argument checking ',positive
'todo implemented ',positive
'defer argument checking ',positive
'todo implemented ',positive
'need update the crosshair values ',positive
'todo fix output when this flag set true ',positive
'todo for now are ignoring the height constraint ',positive
'todo move the above the plot state ',positive
'defer argument checking ',positive
'fixme this code means that not possible use more than one domain axis for the combined plots ',positive
'here tweak the notify flag the plot that only one notification happens even though update multiple axes ',positive
'not strictly necessary since the renderer set for the parent plot not used ',positive
'here tweak the notify flag the plot that only one notification happens even though update multiple axes ',positive
'end workaround ',positive
'defer argument checking ',positive
'todo could change this itemfillpaint for backwards compatibility might require usefillpaint flag ',positive
'redraw should not trigger another change event ',positive
'unused parent ',positive
'todo this attribute should transferred the renderer state ',positive
'defer argument checking ',positive
'todo jfreechart put this method the interface ',positive
'todo rotate the image when drawn with horizontal orientation ',positive
'defer argument checking ',positive
'defer argument checking ',positive
'defer argument checking ',positive
'defer argument checking ',positive
'todo implement this properly ',positive
'fixme this should generate series change event ',positive
'defer argument checking ',positive
'defer argument checking ',positive
'defer argument checking ',positive
'defer argument checking ',positive
'fixme should really assert value here ',positive
'defer argument checking ',positive
'redraw should not trigger another change event ',positive
'create entities fixme these methods should defined ',positive
'redraw should not trigger another change event ',positive
'defer argument checking ',positive
