class-att,fix,hack,should,todo,workaround
1,0,0,0,0,0
1,0,4.31955,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,4.31955,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.465971,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,3.55805,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.465971,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,4.31955,0,0,0
1,0,0,2.465971,0,0
1,0,0,2.465971,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,4.31955,0,0,0,0
1,0,0,2.465971,0,0
1,0,0,0,0,0
1,0,0,2.465971,5.639375,0
1,0,0,2.465971,3.55805,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,3.55805,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,4.31955,0,0,0
1,0,0,2.465971,0,0
1,4.31955,0,0,3.55805,0
1,0,0,0,3.55805,0
1,0,0,0,0,0
1,0,0,2.465971,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,3.55805,0
1,0,0,0,0,0
1,4.31955,0,0,0,0
1,0,0,2.465971,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,4.31955,0,0,0
1,0,0,0,0,0
1,0,0,2.465971,0,0
1,0,0,0,0,5.561503
1,0,0,0,0,0
1,0,0,2.465971,0,0
1,0,0,2.465971,0,0
1,0,0,2.465971,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.465971,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,3.55805,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.465971,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,4.31955,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,3.55805,0
1,0,0,0,3.55805,0
1,0,0,0,0,0
1,0,0,0,5.639375,0
1,0,0,0,0,0
1,0,0,2.465971,3.55805,0
1,0,0,0,0,0
1,0,0,0,3.55805,0
1,0,0,0,3.55805,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,2.465971,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,2.465971,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
