class-att,fix,hack,should,todo,workaround
1,0,0,2.878551,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.878551,0,3.888637
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.594131,0,0,0
1,0,0,0,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,6.683789,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,3.888637
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,3.888637
1,3.649612,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.878551,0,0
1,0,0,2.878551,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,3.594131,0,0,0
1,0,3.594131,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.878551,0,0
1,0,0,0,4.411112,0
1,0,0,0,4.411112,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,3.888637
1,3.649612,0,0,0,0
1,0,3.594131,0,0,0
1,0,0,0,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,0,0,0,3.888637
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.594131,0,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,4.411112,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.878551,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,0,2.878551,0,0
1,3.649612,0,0,0,3.888637
1,0,3.594131,0,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,0,4.562396,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.594131,0,0,0
1,3.649612,0,0,0,0
1,0,3.594131,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.594131,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,3.649612,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.594131,0,0,0
1,0,0,0,0,3.888637
1,0,0,0,0,0
1,0,3.594131,0,0,0
1,0,3.594131,0,0,0
1,0,0,0,0,3.888637
1,3.649612,3.594131,0,0,0
1,0,3.594131,0,0,0
1,0,0,0,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,3.888637
1,0,3.594131,0,0,0
1,0,0,0,0,0
1,3.649612,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.878551,0,0
1,3.649612,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.594131,0,0,0
1,0,0,0,0,0
1,0,0,0,0,3.888637
1,0,0,0,0,0
1,0,3.594131,0,0,0
1,0,0,0,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.594131,0,0,0
1,0,0,0,0,0
1,3.649612,3.594131,0,0,0
1,0,0,2.878551,0,0
1,3.649612,3.594131,0,0,0
1,0,0,2.878551,0,0
1,0,3.594131,0,0,0
1,0,0,2.878551,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,0,0,0,3.888637
1,0,0,0,0,3.888637
1,0,3.594131,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.594131,0,0,0
1,0,0,0,0,3.888637
1,0,0,2.878551,0,0
1,0,0,2.878551,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,3.594131,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,3.888637
1,0,3.594131,0,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,0,0,0,3.888637
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,3.888637
1,0,0,4.562396,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,4.411112,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,4.411112,0
1,0,0,2.878551,0,0
1,0,0,0,0,0
1,0,0,0,4.411112,0
1,0,0,0,0,0
1,0,0,0,4.411112,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
