class-att,fix,hack,should,todo,workaround
1,0,0,0,0,0
1,0,0,0,2.712162,0
1,0,0,0,0,0
1,0,0,0,2.712162,0
1,0,0,2.541052,0,0
1,0,0,0,2.712162,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.712162,0
1,0,0,0,2.712162,0
1,0,0,0,2.712162,0
1,0,0,0,2.712162,0
1,0,0,0,2.712162,0
1,0,0,0,2.712162,0
1,0,0,0,2.712162,0
1,0,0,0,2.712162,0
1,0,0,0,2.712162,0
1,0,4.66227,0,0,0
1,0,0,0,2.712162,0
1,0,0,0,0,0
1,0,0,0,2.712162,0
1,0,0,0,0,0
1,0,0,0,2.712162,0
1,0,0,2.541052,2.712162,0
1,0,0,0,0,0
1,0,0,2.541052,0,0
1,0,0,0,0,0
1,0,4.66227,0,0,0
1,0,0,0,2.712162,0
1,0,0,0,2.712162,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.541052,0,0
1,0,0,0,0,0
1,0,0,2.541052,0,0
1,0,0,0,0,0
1,0,0,0,2.712162,0
1,3.250411,0,0,2.712162,0
1,0,0,0,2.712162,0
1,0,0,0,0,0
1,0,0,0,0,5.42377
1,0,0,0,2.712162,0
1,0,0,2.541052,0,0
1,0,0,0,0,0
1,0,0,0,2.712162,0
1,0,0,0,2.712162,0
1,0,0,0,2.712162,0
1,0,0,2.541052,0,0
1,0,0,2.541052,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.712162,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.712162,0
1,0,0,0,2.712162,0
1,0,4.66227,0,0,0
1,0,0,0,0,0
1,0,0,2.541052,0,0
1,3.250411,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.541052,0,0
1,0,0,0,2.712162,0
1,0,0,0,4.298675,0
1,0,0,0,2.712162,0
1,0,0,0,2.712162,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.712162,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.712162,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.712162,0
1,0,0,0,0,0
1,0,0,0,2.712162,0
1,0,0,0,0,0
1,0,0,0,2.712162,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.541052,2.712162,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.712162,0
1,0,0,0,2.712162,0
1,0,0,0,0,0
1,0,0,0,2.712162,0
1,0,0,0,0,0
1,0,0,0,2.712162,0
1,0,0,0,0,0
1,0,0,0,2.712162,0
1,0,0,0,2.712162,0
1,0,0,0,0,0
1,0,0,0,2.712162,0
1,0,0,0,0,0
1,0,0,0,2.712162,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,2.541052,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,2.541052,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
