class-att,fix,hack,should,todo,workaround
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,3.816336,0,0,0,0
1,0,0,2.128769,0,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,3.816336,0,0,1.964165,0
1,0,0,0,0,0
1,0,0,2.128769,1.964165,0
1,0,0,0,0,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,0,0
1,0,0,2.128769,1.964165,0
1,0,0,0,1.964165,0
1,0,0,2.128769,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,0,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,0,0
1,0,0,2.128769,1.964165,0
1,0,0,0,0,0
1,0,0,0,1.964165,0
1,0,0,2.128769,3.113128,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,1.964165,0
1,0,0,2.128769,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,3.816336,0,0,0,0
1,0,0,0,0,0
1,0,0,3.374019,3.113128,0
1,0,3.669868,0,0,0
1,0,0,2.128769,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,2.128769,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,0,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,2.128769,0,0
1,0,0,0,0,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,0,0
1,0,0,0,1.964165,0
1,0,0,2.128769,1.964165,0
1,0,0,0,3.113128,0
1,0,0,0,3.113128,0
1,0,0,2.128769,1.964165,0
1,0,0,0,1.964165,0
1,0,0,2.128769,1.964165,0
1,0,0,2.128769,1.964165,0
1,0,3.669868,0,0,0
1,0,0,0,1.964165,0
1,0,3.669868,0,0,0
1,0,0,0,1.964165,0
1,0,0,2.128769,0,0
1,0,3.669868,0,0,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,2.128769,1.964165,0
1,3.816336,0,0,0,0
1,0,3.669868,0,0,0
1,0,0,0,1.964165,0
1,0,0,2.128769,1.964165,0
1,0,0,2.128769,1.964165,0
1,0,0,0,0,0
1,3.816336,0,0,1.964165,0
1,0,0,0,0,0
1,0,0,0,1.964165,0
1,0,3.669868,0,0,0
1,0,0,0,1.964165,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,1.964165,0
1,0,0,2.128769,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,0,0
1,0,0,0,1.964165,0
1,0,0,2.128769,1.964165,0
1,0,0,0,1.964165,0
1,0,0,2.128769,0,0
1,0,0,0,0,0
1,0,0,0,1.964165,0
1,0,0,0,0,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,2.128769,1.964165,0
1,0,0,0,1.964165,0
1,0,0,2.128769,1.964165,0
1,0,0,0,1.964165,0
1,0,3.669868,2.128769,0,0
1,0,0,2.128769,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,1.964165,0
1,0,0,2.128769,1.964165,0
1,0,0,2.128769,1.964165,0
1,0,0,0,0,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,2.128769,1.964165,0
1,0,0,0,1.964165,0
1,3.816336,0,0,0,0
1,0,0,0,1.964165,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.669868,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,2.128769,1.964165,0
1,0,0,0,0,0
1,0,0,0,1.964165,0
1,3.816336,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,0,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,1.964165,0
1,0,0,2.128769,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,3.669868,0,0,0
1,0,0,0,1.964165,0
1,0,0,2.128769,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,0,1.964165,0
1,0,0,2.128769,1.964165,0
1,0,0,2.128769,1.964165,0
1,0,0,2.128769,1.964165,0
1,0,0,0,1.964165,0
1,0,0,2.128769,1.964165,0
1,3.816336,0,0,0,0
