class-att,fix,hack,should,todo,workaround
1,3.736908,0,0,2.021331,0
1,0,0,2.246369,2.021331,0
1,3.736908,0,2.246369,2.021331,0
1,0,0,0,2.021331,0
1,0,0,0,2.021331,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,2.246369,0,0
1,0,0,0,2.021331,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,2.246369,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,2.246369,0,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.246369,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,3.736908,0,2.246369,2.021331,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,2.246369,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,2.246369,0,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.246369,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.246369,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.246369,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.246369,0,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.246369,0,0
1,0,0,3.56041,2.021331,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.246369,2.021331,0
1,0,0,0,0,0
1,3.736908,0,0,0,0
1,0,0,2.246369,0,0
1,0,3.659812,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.659812,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,2.021331,0
1,0,3.659812,0,0,0
1,0,0,0,2.021331,0
1,0,0,3.56041,0,0
1,0,0,0,2.021331,0
1,0,0,2.246369,0,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,2.246369,0,0
1,0,0,2.246369,0,0
1,0,0,0,2.021331,0
1,0,0,0,2.021331,0
1,0,0,0,2.021331,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,2.246369,0,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.659812,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,2.021331,0
1,0,0,2.246369,0,0
1,0,0,0,3.203733,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,4.939242
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.246369,0,0
1,0,0,2.246369,2.021331,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,0,4.939242
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.246369,0,0
1,3.736908,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,2.246369,2.021331,0
1,0,0,0,0,0
1,0,0,2.246369,2.021331,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.659812,0,0,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,2.021331,0
1,0,0,0,2.021331,0
1,3.736908,0,0,0,0
1,0,0,0,0,4.939242
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.246369,2.021331,0
1,0,0,0,0,0
1,0,0,2.246369,0,0
1,0,0,2.246369,0,0
1,0,0,0,0,0
1,0,0,2.246369,0,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,2.246369,2.021331,0
1,0,0,0,0,0
1,0,0,3.56041,2.021331,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,2.246369,2.021331,0
1,0,0,0,0,0
1,0,0,2.246369,2.021331,0
1,0,0,0,0,0
1,0,3.659812,0,2.021331,0
1,0,0,0,2.021331,0
1,0,3.659812,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.246369,2.021331,0
1,0,0,2.246369,0,0
1,0,0,2.246369,0,0
1,0,5.800665,0,0,0
1,0,0,0,2.021331,0
1,0,0,2.246369,0,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,3.659812,0,0,0
1,3.736908,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,3.56041,2.021331,0
1,0,0,0,2.021331,0
1,0,0,0,0,0
