class-att,fix,hack,should,todo,workaround
1,0,0,0,2.467159,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.638269,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,3.953253,0,0,2.467159,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.467159,0
1,0,0,0,2.467159,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.467159,0
1,0,0,2.638269,2.467159,0
1,0,0,0,2.467159,0
1,0,0,0,0,0
1,0,0,2.638269,2.467159,0
1,0,0,0,2.467159,0
1,0,0,0,2.467159,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,4.107924,0,2.467159,0
1,0,0,2.638269,2.467159,0
1,0,0,0,2.467159,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.467159,0
1,0,0,2.638269,2.467159,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.467159,0
1,0,0,0,2.467159,0
1,0,0,0,0,0
1,0,0,2.638269,2.467159,0
1,0,0,0,2.467159,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,4.107924,0,0,0
1,0,0,2.638269,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.467159,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.467159,0
1,0,0,0,2.467159,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.467159,0
1,0,0,0,2.467159,0
1,0,0,0,2.467159,0
1,0,0,0,0,0
1,0,0,2.638269,0,0
1,0,0,0,2.467159,0
1,0,0,0,2.467159,0
1,0,0,0,0,0
1,0,0,0,2.467159,0
1,0,0,0,2.467159,0
1,0,0,0,0,0
1,0,0,0,2.467159,0
1,0,0,0,2.467159,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.467159,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.638269,2.467159,0
1,0,0,2.638269,2.467159,0
1,0,0,2.638269,2.467159,0
1,0,0,0,0,0
1,0,0,0,0,0
1,3.953253,0,0,2.467159,0
1,3.953253,0,0,2.467159,0
1,0,0,2.638269,2.467159,0
1,0,0,0,0,0
1,0,4.107924,0,0,0
1,0,0,0,0,0
1,0,0,0,2.467159,0
1,0,0,2.638269,2.467159,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.638269,2.467159,0
1,0,0,4.181558,0,0
1,0,0,0,0,0
1,0,0,0,2.467159,0
1,0,0,0,2.467159,0
1,0,0,2.638269,2.467159,0
1,0,0,0,0,0
1,0,0,2.638269,0,0
1,3.953253,0,0,2.467159,0
1,0,4.107924,0,0,0
1,0,4.107924,0,0,0
1,0,0,0,0,0
1,3.953253,0,0,0,4.388971
1,0,0,0,2.467159,0
1,0,0,0,0,0
1,0,4.107924,0,0,0
1,0,0,0,2.467159,0
1,0,0,0,2.467159,0
1,0,0,0,0,4.388971
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.638269,2.467159,0
1,0,0,0,2.467159,0
1,3.953253,0,2.638269,0,0
1,0,0,0,2.467159,0
1,0,0,0,0,0
1,0,0,0,2.467159,0
1,0,4.107924,0,0,0
1,0,0,0,2.467159,0
1,0,0,0,2.467159,0
1,0,0,0,2.467159,0
1,0,0,0,0,0
1,0,4.107924,0,0,0
1,0,0,0,0,0
1,0,0,0,2.467159,0
1,0,0,2.638269,2.467159,0
1,0,0,0,0,0
1,0,0,0,0,4.388971
1,0,0,0,0,4.388971
1,0,0,0,0,0
1,0,0,0,2.467159,0
1,0,0,0,2.467159,0
1,0,0,2.638269,0,0
1,0,0,2.638269,2.467159,0
1,0,0,2.638269,2.467159,0
1,0,0,0,2.467159,0
1,0,4.107924,0,0,0
1,0,0,0,0,4.388971
1,0,0,0,2.467159,0
1,0,0,2.638269,2.467159,0
1,0,0,0,0,0
1,0,4.107924,0,0,0
