@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data

'bug grizzly needs doc root you are going register multiple adapters ',positive
'this likely problem means that file reloading broken probably because the directory are watching was deleted otherwise became inaccessible unmounted permissions changed for now log error and exit the watcher thread ',positive
'fixme this was originally seconds but realistically randomslowvirt hosts there way guarantee this ',positive
'this bit weird but need return the address and the number bytes distinguish between ipv and ipv ',positive
'bit hack but delete will never succeed and ensures that the same semantics are maintained ',positive
'everything simply start counting the ticks warning couldnt find any wait statement synchronized block that would notified this notifyall call commented out synchronized this notifyall ping twice tick only update the tick every other ',positive
'todoivmaykov not sure cnxn can null here becomes null channelinactive exceptioncaught trigger but its unclear usereventtriggered can run after either those check for null just safe ',positive
'could not create tmp directory hold jaas conf file test will fail now ',positive
'fixme this test assertfailing due client close race condition fixing separate patch for zookeeper this test checks see the sessionid that was created for the first zookeeper client can reused for the second one immidiately after the first client closes and the new client resues them throws ioexception throws throws keeperexception ',positive
'todo need tune the default value thread size ',positive
'todo refactor quorumbase special case this ',positive
'this might not right but its only used for printing connection info the netty implementation its probably ',positive
'problem before fix after session close the ephemeral node was not getting deleted but now after the fix after session close ',positive
'observer should write disk that the wont request too old txn from the leader which may lead getting entire snapshot however this may degrade performance has write disk and periodic snapshot which may double the memory requirements ',positive
'todo investigate why reconfig makes qps null ',positive
'todo zksprocesspacket changed take bytebuffer could implement zerocopy queueing ',positive
'note that this performance assumption might not hold true for architectures other than ',positive
'note the new buffer size hint and socket implementation free ignore dont verify that get back the same value ',positive
'todo should this synchronized ',positive
'todo use factory rather than switch ',positive
'xxx need anything ',positive
'session has not been revalidated ',positive
'sad that isro and srvr are used zookeeper itself need fix this before deprecating ',positive
'todo need figure out the security requirement for this ',positive
'problem follower had one extra ephemeral node ',positive
'todo the future serverid should validated for all cases not just the case todo however for now would too disruptive ',positive
'since requests are processed order better get response the first request ',positive
'this ugly you have better way speak ',positive
'authentication error occurred during authentication with the zookeeper server ',positive
'todo brd should either put concurrenthashmap restore use map save ',positive
'todo this doesnt use quorum verifier ',positive
'mocked class that doesnt clientside verification beforeafter calling removewatches ',positive
'this shouldnt necessary wrapping data with string but without there are problems the server hangs for seconds and doesnt get the data todo investigate ',positive
'try provide hints use about what went wrong they can fix their configuration todo introspect about look for gss information ',positive
'fixme dont want have serialize here and then immediately deserialize next processor but not sure how else get the txn stored into our list ',positive
'these internal classes are public but should not generally referenced ',positive
'fixme ipv not supported using something like guavas hostandport parser would good ',positive
'this really programmatic error and not something that can happen runtime ',positive
'add backwards since are pushing into the front only send theres pending watch todo here have the only remaining use zookeeper this class its eliminated ',positive
'todo rather than checking disjunction here should single member variable method this class determine whether the client configured use sasl see also zookeeper ',positive
'todo maybe should flush the loop above every packetsbytes but how determine the right value for ',positive
'need upgrade before can proceed ',positive
'todo exit server this point ',positive
'multiple bad arguments ',positive
'xxx this doesnt need volatile should probably final ',positive
'test will still fail even though just logignore ',positive
'fixme ignore for now ',positive
'xxx really should not need this ',positive
'todo should depend zoocfg specified mechs but ',positive
'xxx hack ',positive
'not sure about argwhat ',positive
'fixme need way more cleanly exceptions ',positive
'small chance that unexpected message was delivered after this check but would catch that next time ',positive
'warning this will reset the xutil ',positive
'little hacky way detect key type but works ',positive
'the following sequence code stupid you would think that only sockclose needed but alas doesnt work that way you just sockclose there are cases where the socket doesnt actually close ',positive
'todo not every tmp directory needs this file ',positive
'xxx this shouldnt needed but just case ',positive
'bunch constants todo will get rid eventually ',positive
'todo can not name this method getstate since threadgetstate already exists would cleaner make class sendthread implementation runnable ',positive
'handle below might harmless the user doesnt intend use jaas authentication ',positive
'should never call this sasl authentication negotiated session initiation todo consider substituting current implementation direct clientcnxn manipulation with call this method session initiation ',positive
'note may exceed our max length bit when add the last watch the batch this isnt ideal but makes the code simpler ',positive
'make the snapshot directory read only ',negative
'ensure that can convert all valid integers eventtypes ',negative
'notify the client the session closing and closecleanup socket ',negative
'shutdown previous zookeeper ',negative
'nonjavadoc see ',negative
'converting observer into participant may sometimes fail with newconfignoquorum exception this testcase demonstrates the scenario current configuration where and are participant and observer suppose that has crashed never booted reconfiguration submitted where said become participant will fail with newconfignoquorum since this configuration majority voters the new configuration any voters must connected and uptodate with the leader observer cannot acknowledge the history prefix sent during reconfiguration and therefore does not count towards these required servers and the reconfiguration will aborted case this happens client can achieve the same task two reconfig commands first invoke reconfig remove from the configuration and then invoke second command add back participant follower during the intermediate state nonvoting follower and can ack the state transfer performed during the second reconfig command ',negative
'register most recent relogin attempt ',negative
'check clients current server the new list servers ',negative
'read txnlog but this should sufficient ',negative
'avoids running finish twice ',negative
'truncate the log ',negative
'address sender ',negative
'need log the stuff that came between the snapshot and the uptodate ',negative
'property set valid int should get the set value ',negative
'notification current replace and send messages out ',negative
'check for differences ',negative
'the clients may may not have already reconnected the recovered cluster force check but ignore ',negative
'zks cannot null otherwise would not have gotten here ',negative
'check leader running status ',negative
'reconnect with the same session ',negative
'delete the node the trie need update the trie well ',negative
'diff ',negative
'',negative
'lets assert that the first election the leader ',negative
'for dead peer ',negative
'null stat object passed the create should still succeed but stat info will returned ',negative
'ignore connection loss ',negative
'filter out the extra entrycreate events that are sometimes seen the start even though create the watcher after the file exists sometimes still get create event ',negative
'connect one them ',negative
'otherwise start worker threads receive data ',negative
'sets quorum sasl authentication configurations ',negative
'requesthdr set for write requests which are the only ones ',negative
'ensure thread started once and only once ',negative
'write the truststore ',negative
'this configuration section myzookeeperclient missing from the jaas configuration result sasl authentication should fail which tested this test testauth ',negative
'find the last snapshot ',negative
'didnt find read the whole buffer into string buffer ',negative
'localpeerbean ',negative
'listener thread ',negative
'unset its acl should remain the same ',negative
'good expected that ',negative
'the current vote for the leader initially ',negative
'well never mind ',negative
'width the toster ',negative
'verify lastprocessedzxid set correctly ',negative
'default disable starting jettyadminserver tests avoid accidentally attempting start multiple admin servers the ',negative
'the peer has done enough rounds then consider joining the thread will only join part quorum supporting the current leader otherwise will try again ',negative
'password test ',negative
'add watcher for each node and add node collection watched nodes ',negative
'generate new config string ',negative
'nothing special stay with the current server ',negative
'session has been revalidated ',negative
'dont need retry this operation the case failure will remove ephemeral files and dont wanna hang this process when closing cannot reconnect ',negative
'exactly now except for role change ',negative
'make sure the watch removed when the connection closed ',negative
'start server and wait for leader election finish ',negative
'since sasl authentication has completed client configured outgoing packets waiting the outgoingqueue can now sent ',negative
'objects holding reference this object ',negative
'handle situation clientsections being null might simply because the client does not intend use sasl not necessarily error ',negative
'make sure the settings applied above before the socket was potentially upgraded tls still apply ',negative
'after restart ',negative
'set the factor high value that this test case always resync using txnlog ',negative
'trying load pem file with jks loader should fail ',negative
'',negative
'close the input stream ',negative
'lets wait for any previous leaders die and one our new nodes become the new leader ',negative
'nothing ',negative
'add the last logfile that less than the zxid ',negative
'weve already failed one the ops dont bother trying the rest know its going fail and would confusing the logfiles ',negative
'waiting for child watchers notified ',negative
'ensure server started give enough time that new leader election ',negative
'proposed leader ',negative
'snapshot files snap dir ',negative
'session has not been validated there must watches ',negative
'noop adding packet will already wake netty connection dont need add dummy packet the queue trigger wakeup ',negative
'expected behavior ',negative
'this addr wont even used since fake the socketconnect ',negative
'protocolversion ',negative
'second address doesnt work dont call onconnected this time statichostprovider should try reresolve the address this case ',negative
'loop which exchange notifications until find leader ',negative
'skip superhammer and clientcleanup they are too expensive for quorum ',negative
'avoid using literal address when security check fails ',negative
'nonjavadoc see ',negative
'pending sync requests ',negative
'separate patch ',negative
'updating version solves conflict order matters ',negative
'creates principals the kdc and adds them keytab file ',negative
'the client asking close the session then mark closing ',negative
'verify creation ',negative
'after leader election lastprocessedzxid will point new epoch ',negative
'prepare for next test ',negative
'small chance that unexpected message was delivered after this check but would catch that next time check events ',negative
'make delete fail then verify cversion this doesnt happen anymore only set the cversion create loginfoattempting delete test count dooplogfile opcodedelete test count ',negative
'get default cipher suites from jdk ',negative
'not necessary repeat this expensive and not chroot related ',negative
'inject problem leader ',negative
'during startup thread thread name will overridden ',negative
'make sure pass explicit watcher because could sharing this zookeeper instance with someone else ',negative
'make sure tostring works both cases ',negative
'deleting child using chroot client ',negative
'tests that conditional reconfig fails the specified version doesnt correspond the version the current config ',negative
'zookeeper the leader sends the new config must complete others inside newleader message see learnerhandler where the newleader message constructed and once has enough acks must execute the following code that applies the config itself ',negative
'close connection ',negative
'nonjavadoc see langstring javalangstring javautilmap ',negative
'processing committedrequests check and see the commit came for the pending request can only commit request when there other request being processed ',negative
'accounted for ',negative
'ignore this one ',negative
'zookeeper client get username and password from jaas conf only used using digestmd ',negative
'packet death ',negative
'these tests are serial can speed ',negative
'add multiple child watches ',negative
'but still progress because there final sasl message from server which must received ',negative
'watch for everyone die ',negative
'close the socket make sure the other side can see being close ',negative
'test that when ask for recent snaps get the number asked for and ',negative
'from local session ',negative
'unique identifier for each znode that create ',negative
'follower within commitlog range ',negative
'strip off the surrounding quotes ',negative
'global sessions handled the leader this call noop not tracked local session safe call both cases ',negative
'were able talk the ensemble ',negative
'now lets kill the leader ',negative
'ignore duplicate create ',negative
'since for each snapshot have log file with same zxid expect same logs snaps kept ',negative
'should never null but just make findbugs happy ',negative
'when call put later the directbuffer small hold everything nothing will copied weve got slice the buffer its too big ',negative
'stop selecting this key while processing its connection ',negative
'and restart leader election config changed ',negative
'send out the kill signal ',negative
'propose foo update ',negative
'min higher max lower ',negative
'sendthread has not created the authenticating object yet ',negative
'than ',negative
'command line args nonnull run what was passed ',negative
'first filter out votes from unheardfrom machines then make the views consistent sometimes peers will have ',negative
'make sure the vote reset after shutdown ',negative
'run through snapshots not all them cannot get running within snapshots should give ',negative
'verify the data the first transaction ',negative
'the diff case dont need snapshot because the transactions will sync top any existing snapshot for snap and trunc the snapshot needed save that history ',negative
'this will cause everything shutdown this learner handler and will help notify the learnerobserver instantaneously ',negative
'there only server the quorum run standalone ',negative
'dont log error for shutdown ',negative
'assuming that version uniquely identifies configuration version the same nothing here ',negative
'third party customized could throw when jaas configuration isnt set can reevaluate whether catch runtimeexception instead when more different types runtimeexception found ',negative
'number machines stayed the same server not the new ',negative
'skip the proposals the peer already has ',negative
'for learner ',negative
'wait for request completion infinitely ',negative
'',negative
'see zookeeper for more details ',negative
'candidate acked return the best candidate found far ',negative
'connection reset peer ',negative
'convert from server path client path ',negative
'the first time are configured just tell which machine are ',negative
'partsi ',negative
'does not send anything back when done ',negative
'convert windows path unix avoid problems with ',negative
'reconfigmode false next shouldnt return null ',negative
'closing this expected ',negative
'watch status zookeeper server will graceful shutdown ',negative
'lets start servers with the new config ',negative
'remove hosts number and the currently last two the list ',negative
'this simple test try connect two clients server accepting maximum one connection from each address check that only one accepted close that connection and check that the other eventually connects there possibility false positive here when tested for having connected might not have been given enough time and finish connecting after the test done since the server doesnt tell the client why hasnt connected theres obvious way detect the difference ',negative
'nonjavadoc see ',negative
'only the root path can end strip off every other prefix ',negative
'this server wasnt around during the configuration change should check that able connect finds out about the change and becomes observer ',negative
'this point there might still new packets appended outgoingqueue ',negative
'longer process newleader ack with this method however the learner sends ack back the leader after gets uptodate just ignore the message ',negative
'done joining ',negative
'disable receiving data for all open connections ',negative
'important for xdc scenarios ',negative
'now make environment for client hang ',negative
'servers from the old list that appear the new list ',negative
'simulate log file ',negative
