@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data

'does not work rgetfoldername does not work rgetmessagegetuid ',positive
'todo key cant null ',positive
'bug fdietz should instead ',positive
'todo check have manually set the folderuid message controller make this work ',positive
'bug fdietz should instead ',positive
'fixme this not correct ',positive
'fixme correct year calculation ',positive
'fixme check the correct file name ',positive
'todo newuid generate correctly formatted date string ',positive
'todo fix doctype ',positive
'todo fix parser exception ',positive
'fixme author fdietz locking folders currently implemented author frd ',positive
'todo author fdietz should removed only use streams ',positive
'fixme author karlpeder the proper version html refer ',positive
'this hack for the multiline column ',positive
'todo author tstich something ',positive
'todo author fdietz ',positive
'fixme remove method toolbarpaneaddc ',positive
'todo author fdietz ',positive
'todo author hubms copied from frederiks search builder ',positive
'real stupid recreation whole list model replace with idbased listmodel update ',positive
'todo author karlpeder extend handling special entities ',positive
'transforms emailaddresses into html just but tries ignore emailaddresses which are already links the ignore links flag set this extended functionality necessary when parsing text which already partly html fixme can this done smarter directly with reg expr without manual parsing param input text param ignorelinks true link tags are ignored this gives wrong result some email adresses are already links but uses reg expr directly and therefore faster return text with emailadresses transformed links ',positive
'todo return content encoding according the mime part the mail ',positive
'todo return content type according the mime part the mail ',positive
'hack support dockable view title update todo replace with listener pattern ',positive
'todo stop polling thread ',positive
'todo author hubms bad there icon tagged not ',positive
'todo categoryenumeration ',positive
'hack start and end time all day event ',positive
'register interest store changes todo the dependency should the other way around ',positive
'todo fix layout look good even theres not enough information provided ',positive
'fixme ugly cast contactmodel ',positive
'todo dont use deprecated method ',positive
'todo must get polling interval from config file ',positive
'todo reactivate when feature supported ',positive
'this folder has children add them todo the future should try fetch additional children demand when the tree the dialog opened ',positive
'todo author fdietz add more special entities accenture chars such ',positive
'todo author waffel encrypt and sign dosnt work the message always only encrypted need function that knows here encrypted and signed message thus first encyrpt and then verifysign the message this message signedencrypted have use gnupg extract the decrypted bodypart multipartencrypted multipartsigned ',positive
'transforms urls into html just substituteurlstring but tries ignore urls which are already links the ignore links flag set this extended functionality necessary when parsing text which already partly html fixme can this done smarter directly with reg expr without manual parsing param input text param ignorelinks true link tags are ignored this gives wrong result some urls are already links but uses reg expr directly and therefore faster return text with urls ',positive
'todo author fdietz ensure that dont fetch individual headers reduce clientserver roundtrips ',positive
'bad have release hardocoded here fix laterright ',positive
'todo open stream from the mime part specified contentid the currently viewed mail ',positive
'something very wrong here ',positive
'its maybe better leave this option out the dialog make configurable the xml file anyway ',positive
'todo make this hack more compatible ',positive
'todo move resources resource file ',positive
'todo use undoableeditevent make this really work ',positive
'todo should take some action ensure signature valid html ',positive
'xxx should this fired different thread ',positive
'todoadd configuration the cache size ',positive
'command executes the search case new result results arrive ensures that all interested listeners are notified from inside the edt fixme fdietz locking folders currently implemented todo fdietz create new command for every provider introduce real parallel search author fdietz ',positive
'xxx this not threadsafe though luck isnt supposed ',positive
'todo author fdietz move this constructor ',positive
'todo should this renamed cloc something more appropriate than clock ',positive
'todo author karlpeder guess that right thing get height since this should take top and bottom margin this print object into account but the height seems not set correctly karlpeder ',positive
'cant use systemclassloader here because that wouldnt work with java webstart resourcebundle uses its own internal classloader classloader given set classloader null ',positive
'note intentionally dont remember internal plugins because dont want them appear the plugin manager currently todo improve plugin manager dialog support internal plugins which cant removed etc ',positive
'fixme calendar ',positive
'todo author hubms have this flags until the speed the entitymanager improved ',positive
'cleanup remove port number file ',positive
'todo theres probably better way this hack ',positive
'todo before inserting find out theres already menu item with the same action command replace otherwise insert new ',positive
'todo author fdietz add import feature ',positive
'todo author hubms implement custom menuitem renderer ',positive
'todo author fdietz paging used currently show only first results ',positive
'real stupid recreation whole menu model ',positive
'todo throw case variable null ',positive
'todo author fdietz associate help with button and root pane ',positive
'fixme this will most likely not work you want the element removed the contents are the same not just the element reference the same ',positive
'author fdietz using shutdownmanager wrong here because this automatically also calls the framemanager which also starts second shutdown thread this leads into two parallel shutdown thread which why sometimes configfiles etc get messed ',positive
'author fdietz hackish way creating search toolbar jtoolbar searchtoolbar new extendabletoolbar ',positive
'command uses the information provided from link execute itself todo remove iframemediator dependency author timo stich ',positive
'manually rewrite the connection url because there rewrite the database files are created the starting directory dont want that ',positive
'todo fix updateactions ',positive
'todo author hubms check what neccessary remove old filters add filter criteria ',positive
'todo let the attachmentviewer get the focus that this works ',positive
'todo open message frame todo handle also message attachments from openincomposer action ',positive
'todo author fdietz add central place which keeps list all possible colors and provides custom color configuration possibility ',positive
'todo author fdietz implement custom menuitem renderer ',positive
'fixme author fdietz need this implementation tempfolder not just put empty method here just like virtualfolder ',positive
'todo ristretto should handle the logging streams another way ',positive
'todo author fdietz all this code for creating new imaprootfolder should moved folderfactory this way path would handled the factory too parent directory for mail folders for example columbamail string path ',positive
'turn focus stealing workaround should removed the future ',positive
'wait there active transaction todo author hubms retrycount ',positive
'this regular expression should cover anything from aapt aacom aainfo permits usage invalid top domains though bug fdietz added and regular characters todo see can replace the matching code with ristretto stuff ',positive
'author fdietz this workaround generally the contact dialog editor should ensure that all necessary fields are available ',positive
'todo replace view with more detailed info view ',positive
'todo should check need vector better another list implementation checking also the list must syncronized not performance ',positive
'fixme this correct for ',positive
'todo externalize string nonnls ',positive
'todo multiplicity checks ',positive
'todo author fdietz until can get all the settings update immediately just open message box telling the user restart ',positive
'todo real status here ',positive
'fixme should align the menu the left instead menushowb bgetwidth menugetwidth bgetheight ',positive
'author tstich its better call the shutdownmanager since the above called automatically from shutdownmanager modified allow one shutdown call only never should have multishutdown problems again ',positive
'todo should come with better name for the menu item ',positive
'todo author fdietz add export feature ',positive
'since columba doing its own logging handlers should not use handlers the parent logger ',positive
'the javahelp cant added borderlayout because isnt component for this demo well use the embeded method since dont want frame created ',positive
'author fdietz problem extensions dont run using java webstart jws even though assign allpermission our columbajnlp file this only applies the initial java webstart classloader but create our own classloaders for loading extensions these classloaders dont have the same permission settings anymore ',positive
'what here could start new server ',positive
'workaround this call effectly disables the sandbox mode and seems work fine below use another way the policy for all classloaders set allpermissions dont really know the difference though ',positive
'for the mac screenbarmenus work this must declared before any awt swing gets initialised not move plugin init location because that too late ',positive
'kids dont this home ',positive
'author fdietz the following line not working just dont know why urllisttoarraynew url workaround modify the system class loader instead horrible but works ',positive
'author fdietz workaround simply append urls the existing global class loader and use the same parent note that create new url classloader for every class instanciate might want support hotswapping changed classes later ',positive
'cant use systemclassloader here because that doesnt work with java webstart instead use which seems work perfectly ',positive
'todo author karlpeder existing meta tags are kept code changes are necessary ',positive
'todo create exception for this ',positive
'todo author javaprog better exception handling ',positive
'todo author fdietz fix account info panel check ',positive
'todo author fdietz move this constructor create filterlist datastructure ',positive
'todo add javadocs ',positive
'fixme this function needs documentation return boolean param xmlelement ',positive
'fixme this function needs documentation return string param string name ',positive
'todo author fdietz add proper description here ',positive
'fixme this function needs documentation constructor ',positive
'fixme this function needs documentation param out outputstream print the data ',positive
'fixme this function needs documentation constructor param name string param data string ',positive
'todo create javadocs for class ',positive
'fixme this function needs documentation param attrs hashtable use the attributes ',positive
'fixme this function needs documentation return xmlelement param string path ',positive
'todo add javadocs ',positive
'fixme this function needs documentation return vector ',positive
'fixme this function needs documentation return enumeration ',positive
'fixme this function needs documentation constructor param string name param hashtable attributes ',positive
'fixme this function needs documentation constructor param string name ',positive
'todo author fdietz replace with regular expression ',positive
'todo implement ',positive
'todo author fdietz implement ',positive
'todo implement validation ',positive
'create subject headerfield using the senders message subject and prepending fwd not already there param header which contains the headerfields the message want replyforward fixme author fdietz need this ',positive
'todo finish marshalling all available properties ',positive
