class-att,fix,hack,should,todo,workaround
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,2.140878,2.041933,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,2.140878,3.236387,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,3.897103,0,0,0,0
1,0,0,0,0,0
1,0,0,3.393212,3.236387,0
1,0,3.663878,0,0,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,2.140878,0,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,3.236387,0
1,0,0,0,3.236387,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,3.663878,0,0,0
1,0,0,0,2.041933,0
1,0,3.663878,0,0,0
1,0,0,0,2.041933,0
1,0,0,2.140878,0,0
1,0,3.663878,0,0,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,3.897103,0,0,0,0
1,0,3.663878,0,0,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,0,0
1,3.897103,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,3.663878,0,0,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,2.140878,0,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,3.663878,2.140878,0,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,3.897103,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.663878,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,3.897103,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,3.663878,0,0,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,3.897103,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,3.663878,3.393212,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,3.663878,2.140878,0,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,3.663878,0,0,0
1,0,0,2.140878,2.041933,0
1,0,3.663878,0,0,0
1,0,0,0,0,0
1,0,3.663878,0,2.041933,0
1,0,0,0,0,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,3.663878,0,0,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,3.663878,0,0,0
1,0,0,3.393212,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,3.663878,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,2.140878,0,0
1,0,0,2.140878,0,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,2.140878,0,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,3.393212,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,3.663878,2.140878,2.041933,0
1,0,3.663878,0,0,0
1,0,0,0,2.041933,0
1,0,0,2.140878,0,0
1,0,0,0,2.041933,0
1,0,3.663878,0,0,0
1,0,3.663878,0,0,0
1,0,0,0,0,0
1,0,0,2.140878,0,0
1,0,0,0,2.041933,0
1,0,0,2.140878,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,0,0,0,2.041933,0
1,3.897103,0,0,0,0
1,0,0,3.393212,3.236387,0
1,0,0,0,2.041933,0
1,0,0,2.140878,0,0
