TP, FN, FP, TN, P    , R    , F1   , ER   , RI
21, 81, 4, 2946, 0.840, 0.206, 0.331, 0.960, 24.134
904, 65, 174, 4283, 0.839, 0.933, 0.883, 0.787, 3.696
103, 25, 10, 3952, 0.912, 0.805, 0.855, 0.966, 28.125
25, 49, 0, 2511, 1.000, 0.338, 0.505, 0.971, 33.932
272, 105, 16, 2099, 0.944, 0.721, 0.818, 0.840, 5.243
32, 163, 2, 4447, 0.941, 0.164, 0.279, 0.955, 21.414
73, 28, 28, 2365, 0.723, 0.723, 0.723, 0.944, 16.847
220, 62, 17, 3849, 0.928, 0.780, 0.848, 0.927, 12.654
331, 52, 30, 3239, 0.917, 0.864, 0.890, 0.886, 7.743
123, 78, 9, 4263, 0.932, 0.612, 0.739, 0.952, 19.736
63, 22, 20, 1544, 0.759, 0.741, 0.750, 0.932, 13.725
243, 78, 114, 2889, 0.681, 0.757, 0.717, 0.858, 6.048
205, 44, 71, 4115, 0.743, 0.823, 0.781, 0.924, 12.229
788, 258, 212, 28082, 0.788, 0.753, 0.770, 0.955, 21.103
94, 42, 32, 1051, 0.746, 0.691, 0.718, 0.850, 5.687
521, 97, 89, 14326, 0.854, 0.843, 0.849, 0.952, 19.776
68, 30, 16, 7598, 0.810, 0.694, 0.747, 0.984, 62.705
56, 36, 10, 3537, 0.848, 0.609, 0.709, 0.970, 32.561
185, 102, 62, 11869, 0.749, 0.645, 0.693, 0.969, 30.885
30, 33, 10, 2618, 0.750, 0.476, 0.583, 0.969, 31.036
