TP, FN, FP, TN, P    , R    , F1   , ER   , RI
45, 57, 7, 2943, 0.865, 0.441, 0.584, 0.961, 24.894
905, 64, 175, 4282, 0.838, 0.934, 0.883, 0.787, 3.692
104, 24, 10, 3952, 0.912, 0.813, 0.860, 0.966, 28.150
25, 49, 0, 2511, 1.000, 0.338, 0.505, 0.971, 33.932
269, 108, 16, 2099, 0.944, 0.714, 0.813, 0.840, 5.239
38, 157, 7, 4442, 0.844, 0.195, 0.317, 0.950, 19.111
73, 28, 28, 2365, 0.723, 0.723, 0.723, 0.944, 16.847
220, 62, 18, 3848, 0.924, 0.780, 0.846, 0.926, 12.597
336, 47, 33, 3236, 0.911, 0.877, 0.894, 0.885, 7.683
123, 78, 10, 4262, 0.925, 0.612, 0.737, 0.951, 19.581
63, 22, 21, 1543, 0.750, 0.741, 0.746, 0.931, 13.550
200, 121, 100, 2903, 0.667, 0.623, 0.644, 0.855, 5.903
204, 45, 69, 4117, 0.747, 0.819, 0.782, 0.925, 12.310
782, 264, 214, 28080, 0.785, 0.748, 0.766, 0.955, 21.023
94, 42, 32, 1051, 0.746, 0.691, 0.718, 0.850, 5.687
524, 94, 97, 14318, 0.844, 0.848, 0.846, 0.951, 19.526
67, 31, 36, 7578, 0.650, 0.684, 0.667, 0.980, 50.189
56, 36, 10, 3537, 0.848, 0.609, 0.709, 0.970, 32.561
219, 68, 76, 11855, 0.742, 0.763, 0.753, 0.968, 30.604
33, 30, 11, 2617, 0.750, 0.524, 0.617, 0.969, 31.036
