Target project, P, R, F1
Ant, 1.0, 0.015625, 0.0307692307692
ArgoUML, 0.852459016393, 0.8125, 0.832
Columba, 0.93893129771, 0.9609375, 0.949806949807
EMF, 0.88785046729, 0.7421875, 0.808510638298
Hibernate, 0.929824561404, 0.828125, 0.876033057851
JEdit, 0.833333333333, 0.078125, 0.142857142857
JFreeChart, 0.926315789474, 0.6875, 0.789237668161
JMeter, 0.911504424779, 0.8046875, 0.854771784232
JRuby, 0.915254237288, 0.84375, 0.878048780488
SQuirrel, 0.909090909091, 0.703125, 0.79295154185
Dubbo, 0.933333333333, 0.109375, 0.195804195804
Gradle, 0.0, 0.0, 0.0
Groovy, 0.0, 0.0, 0.0
Hive, 0.0, 0.0, 0.0
Maven, 0.0, 0.0, 0.0
Poi, 0.926605504587, 0.7890625, 0.852320675105
SpringFramework, 0.887931034483, 0.8046875, 0.844262295082
Storm, 0.880341880342, 0.8046875, 0.840816326531
Tomcat, 0.0, 0.0, 0.0
Zookeeper, 0.0, 0.0, 0.0
