Target project, P, R, F1
Ant, 0.0, 0.0, 0.0
ArgoUML, 0.892857142857, 0.337837837838, 0.490196078431
Columba, 0.684210526316, 0.351351351351, 0.464285714286
EMF, 0.97619047619, 0.554054054054, 0.706896551724
Hibernate, 1.0, 0.351351351351, 0.52
JEdit, 1.0, 0.0810810810811, 0.15
JFreeChart, 1.0, 0.310810810811, 0.474226804124
JMeter, 1.0, 0.337837837838, 0.505050505051
JRuby, 0.903225806452, 0.378378378378, 0.533333333333
SQuirrel, 0.931034482759, 0.364864864865, 0.52427184466
Dubbo, 0.0, 0.0, 0.0
Gradle, 0.0, 0.0, 0.0
Groovy, 0.0, 0.0, 0.0
Hive, 0.0, 0.0, 0.0
Maven, 0.0, 0.0, 0.0
Poi, 1.0, 0.310810810811, 0.474226804124
SpringFramework, 0.961538461538, 0.337837837838, 0.5
Storm, 0.909090909091, 0.405405405405, 0.560747663551
Tomcat, 0.0, 0.0, 0.0
Zookeeper, 0.0, 0.0, 0.0
