Target project, P, R, F1
Ant, 0.571428571429, 0.0410256410256, 0.0765550239234
ArgoUML, 0.809523809524, 0.174358974359, 0.286919831224
Columba, 0.717391304348, 0.169230769231, 0.273858921162
EMF, 0.842105263158, 0.246153846154, 0.380952380952
Hibernate, 0.923076923077, 0.123076923077, 0.217194570136
JEdit, 0.952380952381, 0.205128205128, 0.337552742616
JFreeChart, 0.888888888889, 0.0410256410256, 0.078431372549
JMeter, 0.941176470588, 0.164102564103, 0.279475982533
JRuby, 0.905660377358, 0.246153846154, 0.387096774194
SQuirrel, 0.944444444444, 0.174358974359, 0.294372294372
Dubbo, 0.0, 0.0, 0.0
Gradle, 0.0, 0.0, 0.0
Groovy, 0.0, 0.0, 0.0
Hive, 0.0, 0.0, 0.0
Maven, 0.0, 0.0, 0.0
Poi, 0.888888888889, 0.0410256410256, 0.078431372549
SpringFramework, 0.942857142857, 0.169230769231, 0.286956521739
Storm, 0.760869565217, 0.179487179487, 0.290456431535
Tomcat, 0.0, 0.0, 0.0
Zookeeper, 0.0, 0.0, 0.0
