Target project, P, R, F1
Ant, 0.0, 0.0, 0.0
ArgoUML, 0.722772277228, 0.722772277228, 0.722772277228
Columba, 0.712871287129, 0.712871287129, 0.712871287129
EMF, 0.921568627451, 0.465346534653, 0.618421052632
Hibernate, 0.725490196078, 0.732673267327, 0.729064039409
JEdit, 1.0, 0.039603960396, 0.0761904761905
JFreeChart, 0.914893617021, 0.425742574257, 0.581081081081
JMeter, 0.722772277228, 0.722772277228, 0.722772277228
JRuby, 0.718446601942, 0.732673267327, 0.725490196078
SQuirrel, 0.921568627451, 0.465346534653, 0.618421052632
Dubbo, 0.529411764706, 0.267326732673, 0.355263157895
Gradle, 0.0, 0.0, 0.0
Groovy, 0.0, 0.0, 0.0
Hive, 0.0, 0.0, 0.0
Maven, 0.0, 0.0, 0.0
Poi, 0.714285714286, 0.693069306931, 0.70351758794
SpringFramework, 0.71568627451, 0.722772277228, 0.71921182266
Storm, 0.712962962963, 0.762376237624, 0.736842105263
Tomcat, 0.0, 0.0, 0.0
Zookeeper, 0.0, 0.0, 0.0
