Target project, P, R, F1
Ant, 0.0, 0.0, 0.0
ArgoUML, 0.905737704918, 0.783687943262, 0.84030418251
Columba, 0.868644067797, 0.72695035461, 0.791505791506
EMF, 0.92735042735, 0.769503546099, 0.841085271318
Hibernate, 0.923423423423, 0.72695035461, 0.813492063492
JEdit, 1.0, 0.0744680851064, 0.138613861386
JFreeChart, 0.922018348624, 0.712765957447, 0.804
JMeter, 0.928870292887, 0.787234042553, 0.852207293666
JRuby, 0.924369747899, 0.780141843972, 0.846153846154
SQuirrel, 0.923404255319, 0.769503546099, 0.839458413926
Dubbo, 1.0, 0.0106382978723, 0.0210526315789
Gradle, 0.0, 0.0, 0.0
Groovy, 0.0, 0.0, 0.0
Hive, 0.0, 0.0, 0.0
Maven, 0.0, 0.0, 0.0
Poi, 0.923076923077, 0.723404255319, 0.811133200795
SpringFramework, 0.928270042194, 0.780141843972, 0.847784200385
Storm, 0.890688259109, 0.780141843972, 0.831758034026
Tomcat, 0.0, 0.0, 0.0
Zookeeper, 0.0, 0.0, 0.0
