Target project, P, R, F1
Ant, 0.7, 0.0182767624021, 0.0356234096692
ArgoUML, 0.897297297297, 0.86684073107, 0.881806108898
Columba, 0.901639344262, 0.861618798956, 0.881174899866
EMF, 0.914572864322, 0.475195822454, 0.625429553265
Hibernate, 0.920454545455, 0.845953002611, 0.881632653061
JEdit, 0.904761904762, 0.0496083550914, 0.0940594059406
JFreeChart, 0.916201117318, 0.42819843342, 0.583629893238
JMeter, 0.911845730028, 0.864229765013, 0.887399463807
JRuby, 0.919137466307, 0.890339425587, 0.90450928382
SQuirrel, 0.909547738693, 0.472584856397, 0.621993127148
Dubbo, 0.923076923077, 0.407310704961, 0.565217391304
Gradle, 0.0, 0.0, 0.0
Groovy, 0.0, 0.0, 0.0
Hive, 0.0, 0.0, 0.0
Maven, 0.0, 0.0, 0.0
Poi, 0.919308357349, 0.832898172324, 0.87397260274
SpringFramework, 0.914364640884, 0.864229765013, 0.888590604027
Storm, 0.892761394102, 0.869451697128, 0.880952380952
Tomcat, 0.0, 0.0, 0.0
Zookeeper, 0.0, 0.0, 0.0
