Target project, P, R, F1
Ant, 0.0, 0.0, 0.0
ArgoUML, 0.746031746032, 0.691176470588, 0.717557251908
Columba, 0.704545454545, 0.683823529412, 0.694029850746
EMF, 0.737704918033, 0.661764705882, 0.697674418605
Hibernate, 0.75, 0.683823529412, 0.715384615385
JEdit, 0.8, 0.0294117647059, 0.0567375886525
JFreeChart, 0.739495798319, 0.647058823529, 0.690196078431
JMeter, 0.746031746032, 0.691176470588, 0.717557251908
JRuby, 0.744186046512, 0.705882352941, 0.724528301887
SQuirrel, 0.737704918033, 0.661764705882, 0.697674418605
Dubbo, 1.0, 0.0294117647059, 0.0571428571429
Gradle, 0.0, 0.0, 0.0
Groovy, 0.0, 0.0, 0.0
Hive, 0.0, 0.0, 0.0
Maven, 0.0, 0.0, 0.0
Poi, 0.747967479675, 0.676470588235, 0.710424710425
SpringFramework, 0.7421875, 0.698529411765, 0.719696969697
Storm, 0.734848484848, 0.713235294118, 0.723880597015
Tomcat, 0.0, 0.0, 0.0
Zookeeper, 0.0, 0.0, 0.0
