Training project, P, R, F1
Ant, 0.594, 0.144, 0.221
ArgoUML, 0.598, 0.543, 0.514
Columba, 0.67, 0.473, 0.51
EMF, 0.593, 0.217, 0.311
Hibernate, 0.646, 0.425, 0.48
JEdit, 0.584, 0.104, 0.172
JFreeChart, 0.528, 0.393, 0.422
JMeter, 0.635, 0.443, 0.488
JRuby, 0.66, 0.46, 0.506
SQuirrel, 0.565, 0.353, 0.422
Dubbo, 0.516, 0.398, 0.42
Gradle, 0.435, 0.45, 0.42
Groovy, 0.493, 0.47, 0.448
Hive, 0.536, 0.434, 0.439
Maven, 0.523, 0.399, 0.417
Poi, 0.598, 0.478, 0.491
SpringFramework, 0.515, 0.408, 0.418
Storm, 0.569, 0.356, 0.412
Tomcat, 0.517, 0.367, 0.402
Zookeeper, 0.535, 0.272, 0.331
