Target project, P, R, F1
Ant, 0.0, 0.0, 0.0
ArgoUML, 0.708333333333, 0.69387755102, 0.701030927835
Columba, 0.465753424658, 0.69387755102, 0.55737704918
EMF, 0.755555555556, 0.69387755102, 0.723404255319
Hibernate, 0.790697674419, 0.69387755102, 0.739130434783
JEdit, 0.714285714286, 0.0510204081633, 0.0952380952381
JFreeChart, 0.8, 0.65306122449, 0.719101123596
JMeter, 0.809523809524, 0.69387755102, 0.747252747253
JRuby, 0.769230769231, 0.714285714286, 0.740740740741
SQuirrel, 0.80487804878, 0.673469387755, 0.733333333333
Dubbo, 1.0, 0.0204081632653, 0.04
Gradle, 0.0, 0.0, 0.0
Groovy, 0.0, 0.0, 0.0
Hive, 0.0, 0.0, 0.0
Maven, 0.0, 0.0, 0.0
Poi, 0.80487804878, 0.673469387755, 0.733333333333
SpringFramework, 0.824175824176, 0.765306122449, 0.793650793651
Storm, 0.533834586466, 0.724489795918, 0.614718614719
Tomcat, 0.0, 0.0, 0.0
Zookeeper, 0.0, 0.0, 0.0
