Target project, P, R, F1
Ant, 0.714285714286, 0.0793650793651, 0.142857142857
ArgoUML, 0.673913043478, 0.492063492063, 0.56880733945
Columba, 0.559322033898, 0.52380952381, 0.540983606557
EMF, 0.666666666667, 0.380952380952, 0.484848484848
Hibernate, 0.74358974359, 0.460317460317, 0.56862745098
JEdit, 1.0, 0.031746031746, 0.0615384615385
JFreeChart, 0.6875, 0.349206349206, 0.463157894737
JMeter, 0.75, 0.47619047619, 0.582524271845
JRuby, 0.75, 0.47619047619, 0.582524271845
SQuirrel, 0.585365853659, 0.380952380952, 0.461538461538
Dubbo, 1.0, 0.0952380952381, 0.173913043478
Gradle, 0.0, 0.0, 0.0
Groovy, 0.0, 0.0, 0.0
Hive, 0.0, 0.0, 0.0
Maven, 0.0, 0.0, 0.0
Poi, 0.736842105263, 0.444444444444, 0.554455445545
SpringFramework, 0.697674418605, 0.47619047619, 0.566037735849
Storm, 0.596153846154, 0.492063492063, 0.539130434783
Tomcat, 0.0, 0.0, 0.0
Zookeeper, 0.0, 0.0, 0.0
