Training project, P, R, F1
Ant, 0.5909090909090909, 0.17567567567567569, 0.27083333333333337
ArgoUML, 0.38596491228070173, 0.2972972972972973, 0.33587786259541985
Columba, 0.9565217391304348, 0.2972972972972973, 0.4536082474226804
EMF, 1.0, 1.0, 1.0
Hibernate, 0.3333333333333333, 0.32432432432432434, 0.32876712328767127
JEdit, 0.2878787878787879, 0.25675675675675674, 0.2714285714285714
JFreeChart, 0.43103448275862066, 0.33783783783783783, 0.3787878787878788
JMeter, 0.8387096774193549, 0.35135135135135137, 0.4952380952380952
JRuby, 0.65, 0.35135135135135137, 0.456140350877193
SQuirrel, 0.6153846153846154, 0.32432432432432434, 0.4247787610619469
Dubbo, 0.6, 0.16216216216216217, 0.25531914893617025
Gradle, 0.41509433962264153, 0.2972972972972973, 0.3464566929133859
Groovy, 0.8571428571428571, 0.24324324324324326, 0.37894736842105264
Hive, 0.76, 0.25675675675675674, 0.3838383838383838
Maven, 0.30303030303030304, 0.2702702702702703, 0.2857142857142857
Poi, 0.75, 0.24324324324324326, 0.3673469387755103
SpringFramework, 1.0, 0.21621621621621623, 0.35555555555555557
Storm, 0.6470588235294118, 0.14864864864864866, 0.24175824175824176
Tomcat, 0.8421052631578947, 0.21621621621621623, 0.34408602150537637
Zookeeper, 0.7894736842105263, 0.20270270270270271, 0.3225806451612903
