Training project, P, R, F1
Ant, 0.6910569105691057, 0.3413654618473896, 0.45698924731182794
ArgoUML, 0.5331125827814569, 0.6465863453815262, 0.5843920145190562
Columba, 0.7327586206896551, 0.6827309236947792, 0.7068607068607068
EMF, 0.683982683982684, 0.6345381526104418, 0.6583333333333333
Hibernate, 0.6390728476821192, 0.7751004016064257, 0.7005444646098005
JEdit, 0.4885844748858447, 0.42971887550200805, 0.45726495726495725
JFreeChart, 0.5748299319727891, 0.678714859437751, 0.6224677716390423
JMeter, 0.7181467181467182, 0.7469879518072289, 0.7322834645669292
JRuby, 0.6778523489932886, 0.8112449799196787, 0.7385740402193784
SQuirrel, 0.6788321167883211, 0.7469879518072289, 0.7112810707456978
Dubbo, 0.7261146496815286, 0.4578313253012048, 0.5615763546798029
Gradle, 0.6616915422885572, 0.5341365461847389, 0.591111111111111
Groovy, 0.9959839357429718, 0.9959839357429718, 0.9959839357429718
Hive, 0.7327935222672065, 0.7269076305220884, 0.7298387096774194
Maven, 0.5164835164835165, 0.5662650602409639, 0.5402298850574714
Poi, 0.75, 0.7108433734939759, 0.7298969072164948
SpringFramework, 0.8243243243243243, 0.4899598393574297, 0.614609571788413
Storm, 0.7967914438502673, 0.5983935742971888, 0.6834862385321101
Tomcat, 0.8074534161490683, 0.5220883534136547, 0.6341463414634146
Zookeeper, 0.7972972972972973, 0.4738955823293173, 0.5944584382871536
