Training project, P, R, F1
Ant, 0.9299363057324841, 0.38726790450928383, 0.5468164794007492
ArgoUML, 0.8764478764478765, 0.6021220159151194, 0.7138364779874213
Columba, 0.9368029739776952, 0.6684350132625995, 0.7801857585139319
EMF, 0.9272030651340997, 0.6419098143236074, 0.7586206896551723
Hibernate, 1.0, 0.9946949602122016, 0.9973404255319148
JEdit, 0.7926267281105991, 0.4562334217506631, 0.5791245791245792
JFreeChart, 0.8380281690140845, 0.6312997347480106, 0.7201210287443267
JMeter, 0.9316546762589928, 0.6870026525198939, 0.7908396946564885
JRuby, 0.9093959731543624, 0.7188328912466844, 0.802962962962963
SQuirrel, 0.9172661870503597, 0.6763925729442971, 0.7786259541984734
Dubbo, 0.9151515151515152, 0.4005305039787798, 0.5571955719557196
Gradle, 0.8904761904761904, 0.4960212201591512, 0.6371379897785349
Groovy, 0.9299065420560748, 0.5278514588859416, 0.673434856175973
Hive, 0.8909774436090225, 0.6286472148541115, 0.7371695178849145
Maven, 0.8129770992366412, 0.5649867374005305, 0.6666666666666666
Poi, 0.935361216730038, 0.6525198938992043, 0.76875
SpringFramework, 0.9810126582278481, 0.41114058355437666, 0.5794392523364486
Storm, 0.9380952380952381, 0.5225464190981433, 0.6712095400340716
Tomcat, 0.9132947976878613, 0.41909814323607425, 0.5745454545454545
Zookeeper, 0.9151515151515152, 0.4005305039787798, 0.5571955719557196
