Training project, P, R, F1
Ant, 0.6764705882352942, 0.11794871794871795, 0.20087336244541484
ArgoUML, 0.660377358490566, 0.1794871794871795, 0.282258064516129
Columba, 0.6875, 0.05641025641025641, 0.10426540284360189
EMF, 0.8048780487804879, 0.16923076923076924, 0.2796610169491525
Hibernate, 0.5806451612903226, 0.27692307692307694, 0.37500000000000006
JEdit, 1.0, 1.0, 1.0
JFreeChart, 0.5901639344262295, 0.18461538461538463, 0.28125
JMeter, 0.5909090909090909, 0.13333333333333333, 0.2175732217573222
JRuby, 0.7454545454545455, 0.21025641025641026, 0.32799999999999996
SQuirrel, 0.76, 0.19487179487179487, 0.3102040816326531
Dubbo, 0.46153846153846156, 0.06153846153846154, 0.1085972850678733
Gradle, 0.6666666666666666, 0.12307692307692308, 0.2077922077922078
Groovy, 0.6451612903225806, 0.10256410256410256, 0.1769911504424779
Hive, 0.75, 0.16923076923076924, 0.2761506276150627
Maven, 0.4883720930232558, 0.2153846153846154, 0.298932384341637
Poi, 0.7741935483870968, 0.12307692307692308, 0.21238938053097345
SpringFramework, 0.7857142857142857, 0.05641025641025641, 0.10526315789473685
Storm, 0.6666666666666666, 0.041025641025641026, 0.07729468599033817
Tomcat, 0.6842105263157895, 0.13333333333333333, 0.22317596566523606
Zookeeper, 0.7142857142857143, 0.07692307692307693, 0.1388888888888889
