Training project, P, R, F1
Ant, 0.8095238095238095, 0.16831683168316833, 0.27868852459016397
ArgoUML, 0.75, 0.38613861386138615, 0.5098039215686275
Columba, 0.7051282051282052, 0.5445544554455446, 0.6145251396648044
EMF, 0.8958333333333334, 0.42574257425742573, 0.5771812080536912
Hibernate, 0.6923076923076923, 0.5346534653465347, 0.6033519553072626
JEdit, 0.631578947368421, 0.2376237623762376, 0.34532374100719426
JFreeChart, 1.0, 0.9801980198019802, 0.99
JMeter, 0.875, 0.48514851485148514, 0.6242038216560509
JRuby, 0.7403846153846154, 0.7623762376237624, 0.751219512195122
SQuirrel, 0.8703703703703703, 0.46534653465346537, 0.6064516129032258
Dubbo, 0.8269230769230769, 0.42574257425742573, 0.5620915032679739
Gradle, 0.7619047619047619, 0.31683168316831684, 0.44755244755244755
Groovy, 0.918918918918919, 0.33663366336633666, 0.4927536231884059
Hive, 0.9016393442622951, 0.5445544554455446, 0.6790123456790124
Maven, 0.75, 0.4158415841584158, 0.535031847133758
Poi, 0.7045454545454546, 0.6138613861386139, 0.656084656084656
SpringFramework, 0.9666666666666667, 0.2871287128712871, 0.44274809160305345
Storm, 0.875, 0.3465346534653465, 0.4964539007092199
Tomcat, 0.6329113924050633, 0.49504950495049505, 0.5555555555555556
Zookeeper, 0.8378378378378378, 0.3069306930693069, 0.4492753623188406
