Training project, P, R, F1
Ant, 0.768595041322314, 0.32978723404255317, 0.46153846153846145
ArgoUML, 0.7408906882591093, 0.648936170212766, 0.6918714555765596
Columba, 0.905, 0.6418439716312057, 0.7510373443983402
EMF, 0.893048128342246, 0.5921985815602837, 0.7121535181236673
Hibernate, 0.8565217391304348, 0.6985815602836879, 0.76953125
JEdit, 0.6888888888888889, 0.32978723404255317, 0.4460431654676259
JFreeChart, 0.6653992395437263, 0.6205673758865248, 0.6422018348623854
JMeter, 0.9964539007092199, 0.9964539007092199, 0.9964539007092199
JRuby, 0.8986784140969163, 0.723404255319149, 0.8015717092337917
SQuirrel, 0.8828828828828829, 0.6950354609929078, 0.7777777777777778
Dubbo, 0.8740157480314961, 0.39361702127659576, 0.5427872860635697
Gradle, 0.8538011695906432, 0.5177304964539007, 0.6445916114790287
Groovy, 0.8855721393034826, 0.6312056737588653, 0.7370600414078675
Hive, 0.8888888888888888, 0.6808510638297872, 0.7710843373493975
Maven, 0.7203791469194313, 0.5390070921985816, 0.6166328600405679
Poi, 0.9095238095238095, 0.6773049645390071, 0.7764227642276423
SpringFramework, 0.9477611940298507, 0.450354609929078, 0.610576923076923
Storm, 0.9225806451612903, 0.5070921985815603, 0.6544622425629291
Tomcat, 0.9133333333333333, 0.4858156028368794, 0.6342592592592592
Zookeeper, 0.8787878787878788, 0.41134751773049644, 0.5603864734299516
