Training project, P, R, F1
Ant, 0.7188755020080321, 0.2896440129449838, 0.4129181084198385
ArgoUML, 0.7154811715481172, 0.5533980582524272, 0.6240875912408759
Columba, 0.8333333333333334, 0.6796116504854369, 0.7486631016042781
EMF, 0.7654584221748401, 0.580906148867314, 0.6605335786568538
Hibernate, 0.6509863429438544, 0.6941747572815534, 0.6718872357086922
JEdit, 0.4200426439232409, 0.3187702265372168, 0.3624655013799448
JFreeChart, 0.6785714285714286, 0.5841423948220065, 0.6278260869565219
JMeter, 0.8061224489795918, 0.63915857605178, 0.7129963898916968
JRuby, 0.7676923076923077, 0.8074433656957929, 0.7870662460567824
SQuirrel, 0.7389770723104057, 0.6779935275080906, 0.7071729957805907
Dubbo, 0.7620481927710844, 0.40938511326860844, 0.5326315789473685
Gradle, 0.6940874035989717, 0.4368932038834951, 0.5362462760675272
Groovy, 0.8085642317380353, 0.5194174757281553, 0.632512315270936
Hive, 0.8014705882352942, 0.7055016181229773, 0.7504302925989672
Maven, 0.5955882352941176, 0.5242718446601942, 0.5576592082616179
Poi, 1.0, 0.9967637540453075, 0.9983792544570502
SpringFramework, 0.8738170347003155, 0.4482200647249191, 0.5925133689839572
Storm, 0.8100558659217877, 0.4692556634304207, 0.5942622950819672
Tomcat, 0.8270142180094787, 0.5647249190938511, 0.6711538461538461
Zookeeper, 0.8133802816901409, 0.3737864077669903, 0.5121951219512195
