Training project, P, R, F1
Ant, 0.7536231884057971, 0.25870646766169153, 0.3851851851851852
ArgoUML, 0.6627906976744186, 0.5671641791044776, 0.6112600536193029
Columba, 0.8846153846153846, 0.572139303482587, 0.6948640483383686
EMF, 0.8429752066115702, 0.5074626865671642, 0.6335403726708075
Hibernate, 0.6648351648351648, 0.6019900497512438, 0.6318537859007833
JEdit, 0.5338345864661654, 0.35323383084577115, 0.4251497005988024
JFreeChart, 0.6233766233766234, 0.47761194029850745, 0.5408450704225352
JMeter, 0.8450704225352113, 0.5970149253731343, 0.6997084548104956
JRuby, 0.8238993710691824, 0.6517412935323383, 0.7277777777777777
SQuirrel, 0.9900990099009901, 0.9950248756218906, 0.9925558312655087
Dubbo, 0.6055045871559633, 0.3283582089552239, 0.42580645161290326
Gradle, 0.6742424242424242, 0.4427860696517413, 0.5345345345345345
Groovy, 0.8596491228070176, 0.48756218905472637, 0.6222222222222222
Hive, 0.8, 0.47761194029850745, 0.5981308411214953
Maven, 0.574468085106383, 0.5373134328358209, 0.5552699228791774
Poi, 0.8297872340425532, 0.582089552238806, 0.6842105263157895
SpringFramework, 0.9310344827586207, 0.40298507462686567, 0.5625
Storm, 0.9078947368421053, 0.34328358208955223, 0.4981949458483755
Tomcat, 0.75, 0.3880597014925373, 0.5114754098360655
Zookeeper, 0.8933333333333333, 0.3333333333333333, 0.4855072463768116
