Training project, P, R, F1
Ant,0.996,0.99,0.993
ArgoUML,0.997,0.991,0.994
Columba,0.997,0.989,0.993
EMF,0.996,0.99,0.993
Hibernate,0.996,0.99,0.993
JEdit,0.997,0.99,0.993
JFreeChart,0.997,0.99,0.993
JMeter,0.996,0.991,0.994
JRuby,0.996,0.989,0.993
SQuirrel,0.997,0.99,0.993
Dubbo,0.997,0.989,0.993
Gradle,0.997,0.991,0.994
Groovy,0.996,0.99,0.993
Hive,0.997,0.991,0.994
Maven,0.996,0.99,0.993
Poi,0.997,0.989,0.993
SpringFramework,0.996,0.99,0.993
Storm,0.997,0.99,0.993
Tomcat,0.997,0.99,0.994
Zookeeper,0.996,0.99,0.993
