Training project, P, R, F1
Ant, 0.5833333333333334, 0.22826086956521738, 0.328125
ArgoUML, 0.4787234042553192, 0.4891304347826087, 0.4838709677419355
Columba, 0.7027027027027027, 0.5652173913043478, 0.6265060240963856
EMF, 0.6301369863013698, 0.5, 0.5575757575757576
Hibernate, 0.4025974025974026, 0.6739130434782609, 0.5040650406504066
JEdit, 0.30303030303030304, 0.32608695652173914, 0.3141361256544502
JFreeChart, 0.42276422764227645, 0.5652173913043478, 0.48372093023255813
JMeter, 0.6944444444444444, 0.5434782608695652, 0.6097560975609756
JRuby, 0.6020408163265306, 0.6413043478260869, 0.6210526315789474
SQuirrel, 0.7323943661971831, 0.5652173913043478, 0.6380368098159509
Dubbo, 0.6, 0.32608695652173914, 0.4225352112676057
Gradle, 0.5396825396825397, 0.3695652173913043, 0.43870967741935485
Groovy, 0.5529411764705883, 0.5108695652173914, 0.5310734463276837
Hive, 0.7575757575757576, 0.5434782608695652, 0.6329113924050633
Maven, 0.34959349593495936, 0.4673913043478261, 0.39999999999999997
Poi, 0.8, 0.5652173913043478, 0.6624203821656051
SpringFramework, 0.8297872340425532, 0.42391304347826086, 0.5611510791366906
Storm, 1.0, 1.0, 1.0
Tomcat, 0.7457627118644068, 0.4782608695652174, 0.5827814569536424
Zookeeper, 0.6739130434782609, 0.33695652173913043, 0.4492753623188406
