Training project, P, R, F1
Ant, 0.5849056603773585, 0.3240418118466899, 0.4170403587443946
ArgoUML, 0.41818181818181815, 0.4808362369337979, 0.4473257698541329
Columba, 0.6651162790697674, 0.49825783972125437, 0.5697211155378487
EMF, 0.563953488372093, 0.33797909407665505, 0.4226579520697168
Hibernate, 0.39436619718309857, 0.4878048780487805, 0.43613707165109034
JEdit, 0.3, 0.27177700348432055, 0.2851919561243144
JFreeChart, 0.41543026706231456, 0.4878048780487805, 0.44871794871794873
JMeter, 0.5793991416309013, 0.47038327526132406, 0.5192307692307693
JRuby, 0.6237288135593221, 0.6411149825783972, 0.6323024054982818
SQuirrel, 0.5644444444444444, 0.4425087108013937, 0.49609374999999994
Dubbo, 0.5080213903743316, 0.3310104529616725, 0.40084388185654013
Gradle, 0.47029702970297027, 0.3310104529616725, 0.3885480572597137
Groovy, 0.5878378378378378, 0.30313588850174217, 0.4
Hive, 0.6049382716049383, 0.5121951219512195, 0.5547169811320755
Maven, 0.34324324324324323, 0.4425087108013937, 0.3866057838660579
Poi, 0.7044534412955465, 0.6062717770034843, 0.6516853932584269
SpringFramework, 0.673469387755102, 0.22996515679442509, 0.34285714285714286
Storm, 0.7348484848484849, 0.33797909407665505, 0.46300715990453456
Tomcat, 1.0, 0.9965156794425087, 0.9982547993019197
Zookeeper, 0.6204379562043796, 0.2961672473867596, 0.4009433962264151
