Training project, P, R, F1
Ant, 0.6363636363636364, 0.3333333333333333, 0.43749999999999994
ArgoUML, 0.3220338983050847, 0.30158730158730157, 0.31147540983606553
Columba, 0.5581395348837209, 0.38095238095238093, 0.45283018867924524
EMF, 0.6176470588235294, 0.3333333333333333, 0.4329896907216495
Hibernate, 0.35064935064935066, 0.42857142857142855, 0.3857142857142857
JEdit, 0.24691358024691357, 0.31746031746031744, 0.27777777777777773
JFreeChart, 0.4583333333333333, 0.3492063492063492, 0.39639639639639634
JMeter, 0.4883720930232558, 0.3333333333333333, 0.39622641509433965
JRuby, 0.5483870967741935, 0.5396825396825397, 0.544
SQuirrel, 0.5853658536585366, 0.38095238095238093, 0.4615384615384615
Dubbo, 0.46511627906976744, 0.31746031746031744, 0.3773584905660377
Gradle, 0.5609756097560976, 0.36507936507936506, 0.4423076923076923
Groovy, 0.47058823529411764, 0.38095238095238093, 0.42105263157894735
Hive, 0.65, 0.4126984126984127, 0.5048543689320388
Maven, 0.34285714285714286, 0.38095238095238093, 0.3609022556390977
Poi, 0.717948717948718, 0.4444444444444444, 0.5490196078431373
SpringFramework, 0.6818181818181818, 0.23809523809523808, 0.3529411764705882
Storm, 0.7037037037037037, 0.30158730158730157, 0.4222222222222222
Tomcat, 0.8333333333333334, 0.3968253968253968, 0.5376344086021505
Zookeeper, 0.9841269841269841, 0.9841269841269841, 0.9841269841269841
