Training project, P, R, F1
Ant, 0.8037383177570093, 0.8431372549019608, 0.8229665071770335
ArgoUML, 0.10835214446952596, 0.47058823529411764, 0.17614678899082567
Columba, 0.20652173913043478, 0.5588235294117647, 0.30158730158730157
EMF, 0.2236024844720497, 0.35294117647058826, 0.27376425855513303
Hibernate, 0.18930041152263374, 0.45098039215686275, 0.26666666666666666
JEdit, 0.1779935275080906, 0.5392156862745098, 0.26763990267639903
JFreeChart, 0.20095693779904306, 0.4117647058823529, 0.270096463022508
JMeter, 0.18095238095238095, 0.37254901960784315, 0.24358974358974356
JRuby, 0.20567375886524822, 0.5686274509803921, 0.3020833333333333
SQuirrel, 0.1557377049180328, 0.37254901960784315, 0.21965317919075142
Dubbo, 0.14583333333333334, 0.27450980392156865, 0.19047619047619047
Gradle, 0.14563106796116504, 0.14705882352941177, 0.14634146341463417
Groovy, 0.23008849557522124, 0.2549019607843137, 0.24186046511627904
Hive, 0.2727272727272727, 0.5588235294117647, 0.3665594855305466
Maven, 0.11711711711711711, 0.2549019607843137, 0.16049382716049382
Poi, 0.3146853146853147, 0.4411764705882353, 0.36734693877551017
SpringFramework, 0.37037037037037035, 0.19607843137254902, 0.2564102564102564
Storm, 0.17277486910994763, 0.3235294117647059, 0.22525597269624575
Tomcat, 0.2196969696969697, 0.5686274509803921, 0.3169398907103825
Zookeeper, 0.3448275862068966, 0.49019607843137253, 0.4048582995951417
