Training project, P, R, F1
Ant, 0.5114942528735632, 0.6953125, 0.5894039735099337
ArgoUML, 0.24881516587677724, 0.8203125, 0.38181818181818183
Columba, 0.7365269461077845, 0.9609375, 0.8338983050847457
EMF, 0.485, 0.7578125, 0.5914634146341464
Hibernate, 0.43829787234042555, 0.8046875, 0.5674931129476584
JEdit, 0.3595890410958904, 0.8203125, 0.5
JFreeChart, 0.34901960784313724, 0.6953125, 0.464751958224543
JMeter, 0.5555555555555556, 0.78125, 0.6493506493506493
JRuby, 0.36042402826855124, 0.796875, 0.49635036496350365
SQuirrel, 0.4112903225806452, 0.796875, 0.5425531914893617
Dubbo, 0.3684210526315789, 0.4921875, 0.42140468227424743
Gradle, 0.1978021978021978, 0.140625, 0.16438356164383564
Groovy, 0.5328467153284672, 0.5703125, 0.550943396226415
Hive, 0.4724770642201835, 0.8046875, 0.5953757225433526
Maven, 0.34977578475336324, 0.609375, 0.4444444444444445
Poi, 0.455, 0.7109375, 0.5548780487804877
SpringFramework, 0.752, 0.734375, 0.7430830039525692
Storm, 0.46543778801843316, 0.7890625, 0.5855072463768115
Tomcat, 0.4090909090909091, 0.7734375, 0.5351351351351351
Zookeeper, 0.7, 0.765625, 0.7313432835820896
